種別,地域階層,地域,都内の高校から他県への就職者総数（人）,都内の高校から他県への就職者総数／男（人）,都内の高校から他県への就職者総数／女（人）,他県の高校から都内への就職者総数（人）,他県の高校から都内への就職者総数／男（人）,他県の高校から都内への就職者総数／女（人）
総数（国・公・私立）,0,総数,579,439,140,6611,4390,2221
総数（国・公・私立）,1,北海道,9,9,－,149,115,34
総数（国・公・私立）,1,青森,－,－,－,329,237,92
総数（国・公・私立）,1,岩手,1,1,－,225,153,72
総数（国・公・私立）,1,宮城,1,1,－,281,187,94
総数（国・公・私立）,1,秋田,－,－,－,143,84,59
総数（国・公・私立）,1,山形,4,3,1,118,66,52
総数（国・公・私立）,1,福島,2,2,－,176,121,55
総数（国・公・私立）,1,茨城,18,13,5,193,123,70
総数（国・公・私立）,1,栃木,2,－,2,145,116,29
総数（国・公・私立）,1,群馬,10,7,3,102,82,20
総数（国・公・私立）,1,埼玉,140,100,40,1228,743,485
総数（国・公・私立）,1,千葉,95,73,22,615,361,254
総数（国・公・私立）,1,神奈川,211,160,51,633,360,273
総数（国・公・私立）,1,新潟,5,3,2,88,57,31
総数（国・公・私立）,1,富山,－,－,－,20,12,8
総数（国・公・私立）,1,石川,2,2,－,22,17,5
総数（国・公・私立）,1,福井,－,－,－,5,2,3
総数（国・公・私立）,1,山梨,8,3,5,67,52,15
総数（国・公・私立）,1,長野,8,7,1,68,49,19
総数（国・公・私立）,1,岐阜,－,－,－,69,53,16
総数（国・公・私立）,1,静岡,4,4,－,124,85,39
総数（国・公・私立）,1,愛知,14,12,2,98,63,35
総数（国・公・私立）,1,三重,2,2,－,17,9,8
総数（国・公・私立）,1,滋賀,－,－,－,12,6,6
総数（国・公・私立）,1,京都,3,2,1,14,9,5
総数（国・公・私立）,1,大阪,16,11,5,137,105,32
総数（国・公・私立）,1,兵庫,－,－,－,96,69,27
総数（国・公・私立）,1,奈良,－,－,－,17,16,1
総数（国・公・私立）,1,和歌山,－,－,－,9,7,2
総数（国・公・私立）,1,鳥取,－,－,－,15,10,5
総数（国・公・私立）,1,島根,2,2,－,21,17,4
総数（国・公・私立）,1,岡山,－,－,－,76,58,18
総数（国・公・私立）,1,広島,3,3,－,64,52,12
総数（国・公・私立）,1,山口,1,1,－,37,30,7
総数（国・公・私立）,1,徳島,1,1,－,15,9,6
総数（国・公・私立）,1,香川,4,4,－,17,14,3
総数（国・公・私立）,1,愛媛,－,－,－,52,39,13
総数（国・公・私立）,1,高知,1,1,－,16,12,4
総数（国・公・私立）,1,福岡,1,1,－,200,154,46
総数（国・公・私立）,1,佐賀,－,－,－,60,43,17
総数（国・公・私立）,1,長崎,1,1,－,71,44,27
総数（国・公・私立）,1,熊本,－,－,－,246,168,78
総数（国・公・私立）,1,大分,1,1,－,48,33,15
総数（国・公・私立）,1,宮崎,－,－,－,153,113,40
総数（国・公・私立）,1,鹿児島,1,1,－,182,127,55
総数（国・公・私立）,1,沖縄,2,2,－,138,108,30
総数（国・公・私立）,1,その他,6,6,－,－,－,－
,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,
１５－８　卒業後の状況調査（高等学校  全日制・定時制）　都内から他県へ及び他県から都内への就職者総数,,,,,,,,
注１）進学しながら就職している者及び専修学校等へ入学しながら就職している者を含む。,,,,,,,,
注２）「その他」とは、国外勤務者及び就職先が不詳の者である。,,,,,,,,
注３）他県の高校から都内への就職者数は、文部科学省「令和４年度学校基本統計（学校基本調査報告書）」による。,,,,,,,,
地域階層（0:総数　1:都道府県・その他）,,,,,,,,
