地域階層,地域,区分,総数／学校数（校）,総数／学級数（学級）,総数／生徒数（人）,総数／生徒数／１学年（人）,総数／生徒数／２学年（人）,総数／生徒数／３学年（人）,総数／うち公立／学校数（校）,総数／うち公立／学級数（学級）,総数／うち公立／生徒数（人）,総数／うち公立／生徒数／１学年（人）,総数／うち公立／生徒数／２学年（人）,総数／うち公立／生徒数／３学年（人）
0,総数,総数,232,712,4792,1642,1588,1562,231,703,4683,1606,1552,1525
0,総数,知的障害,…,613,4130,1391,1374,1365,…,613,4130,1391,1374,1365
0,総数,肢体不自由,…,5,14,5,2,7,…,5,14,5,2,7
0,総数,病弱・身体虚弱,…,1,1,－,1,－,…,1,1,－,1,－
0,総数,弱視,…,－,－,－,－,－,…,－,－,－,－,－
0,総数,難聴,…,－,－,－,－,－,…,－,－,－,－,－
0,総数,言語障害,…,－,－,－,－,－,…,－,－,－,－,－
0,総数,情緒障害,…,93,647,246,211,190,…,84,538,210,175,153
1,区部,総数,126,353,2354,790,787,777,126,353,2354,790,787,777
1,区部,知的障害,…,331,2217,732,733,752,…,331,2217,732,733,752
1,区部,肢体不自由,…,2,9,3,1,5,…,2,9,3,1,5
1,区部,病弱・身体虚弱,…,－,－,－,－,－,…,－,－,－,－,－
1,区部,弱視,…,－,－,－,－,－,…,－,－,－,－,－
1,区部,難聴,…,－,－,－,－,－,…,－,－,－,－,－
1,区部,言語障害,…,－,－,－,－,－,…,－,－,－,－,－
1,区部,情緒障害,…,20,128,55,53,20,…,20,128,55,53,20
1,市部,総数,98,346,2396,843,783,770,97,337,2287,807,747,733
1,市部,知的障害,…,273,1877,651,626,600,…,273,1877,651,626,600
1,市部,肢体不自由,…,2,4,2,－,2,…,2,4,2,－,2
1,市部,病弱・身体虚弱,…,1,1,－,1,－,…,1,1,－,1,－
1,市部,弱視,…,－,－,－,－,－,…,－,－,－,－,－
1,市部,難聴,…,－,－,－,－,－,…,－,－,－,－,－
1,市部,言語障害,…,－,－,－,－,－,…,－,－,－,－,－
1,市部,情緒障害,…,70,514,190,156,168,…,61,405,154,120,131
1,郡部,総数,4,6,27,5,10,12,4,6,27,5,10,12
1,郡部,知的障害,…,5,24,5,9,10,…,5,24,5,9,10
1,郡部,肢体不自由,…,－,－,－,－,－,…,－,－,－,－,－
1,郡部,病弱・身体虚弱,…,－,－,－,－,－,…,－,－,－,－,－
1,郡部,弱視,…,－,－,－,－,－,…,－,－,－,－,－
1,郡部,難聴,…,－,－,－,－,－,…,－,－,－,－,－
1,郡部,言語障害,…,－,－,－,－,－,…,－,－,－,－,－
1,郡部,情緒障害,…,1,3,－,1,2,…,1,3,－,1,2
1,島部,総数,4,7,15,4,8,3,4,7,15,4,8,3
1,島部,知的障害,…,4,12,3,6,3,…,4,12,3,6,3
1,島部,肢体不自由,…,1,1,－,1,－,…,1,1,－,1,－
1,島部,病弱・身体虚弱,…,－,－,－,－,－,…,－,－,－,－,－
1,島部,弱視,…,－,－,－,－,－,…,－,－,－,－,－
1,島部,難聴,…,－,－,－,－,－,…,－,－,－,－,－
1,島部,言語障害,…,－,－,－,－,－,…,－,－,－,－,－
1,島部,情緒障害,…,2,2,1,1,－,…,2,2,1,1,－
,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,
５－８　中学校　特別支援学級のある学校数、設置目的別学級数及び学年別生徒数,,,,,,,,,,,,,,
注）国立には、特別支援学級はない。,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,,,,,,
