種別,性別,課程,区分,大学等進学者数（人）,大学等進学者数／大学（学部）（人）,大学等進学者数／短期大学（本科）（人）,大学等進学者数／大学・短期大学の通信教育部（人）,大学等進学者数／大学・短期大学（別科）（人）,大学等進学者数／高等学校（専攻科）（人）,大学等進学者数／特別支援学校高等部（専攻科）（人）
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,総数,70555,68782,1636,98,4,35,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,普通（普通）,65725,64347,1305,69,4,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,普通（学際領域）,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,普通（地域社会）,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,普通（その他）,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,農業,188,159,28,1,－,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,工業,983,967,12,4,－,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,商業,794,713,76,5,－,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,水産,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,家庭,99,56,41,2,－,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,看護,35,1,－,－,－,34,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,情報,23,17,6,－,－,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,福祉,6,4,2,－,－,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,その他,1134,1089,40,4,－,1,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,総合学科,1568,1429,126,13,－,－,－
総数（国・公・私立）,総数（男・女）,全日制,総数,69697,68000,1584,74,4,35,－
総数（国・公・私立）,総数（男・女）,全日制,普通（普通）,65179,63841,1280,54,4,－,－
総数（国・公・私立）,総数（男・女）,全日制,普通（学際領域）,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,全日制,普通（地域社会）,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,全日制,普通（その他）,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,全日制,農業,185,156,28,1,－,－,－
総数（国・公・私立）,総数（男・女）,全日制,工業,967,954,11,2,－,－,－
総数（国・公・私立）,総数（男・女）,全日制,商業,793,712,76,5,－,－,－
総数（国・公・私立）,総数（男・女）,全日制,水産,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,全日制,家庭,99,56,41,2,－,－,－
総数（国・公・私立）,総数（男・女）,全日制,看護,35,1,－,－,－,34,－
総数（国・公・私立）,総数（男・女）,全日制,情報,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,全日制,福祉,6,4,2,－,－,－,－
総数（国・公・私立）,総数（男・女）,全日制,その他,1132,1087,40,4,－,1,－
総数（国・公・私立）,総数（男・女）,全日制,総合学科,1301,1189,106,6,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,総数,858,782,52,24,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,普通（普通）,546,506,25,15,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,普通（学際領域）,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,普通（地域社会）,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,普通（その他）,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,農業,3,3,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,工業,16,13,1,2,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,商業,1,1,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,水産,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,家庭,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,看護,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,情報,23,17,6,－,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,福祉,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,その他,2,2,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,定時制,総合学科,267,240,20,7,－,－,－
総数（国・公・私立）,男,総数（全日制・定時制）,総数,33705,33509,153,38,4,1,－
総数（国・公・私立）,男,総数（全日制・定時制）,普通（普通）,31524,31360,131,29,4,－,－
総数（国・公・私立）,男,総数（全日制・定時制）,普通（学際領域）,－,－,－,－,－,－,－
総数（国・公・私立）,男,総数（全日制・定時制）,普通（地域社会）,－,－,－,－,－,－,－
総数（国・公・私立）,男,総数（全日制・定時制）,普通（その他）,－,－,－,－,－,－,－
総数（国・公・私立）,男,総数（全日制・定時制）,農業,68,67,1,－,－,－,－
総数（国・公・私立）,男,総数（全日制・定時制）,工業,778,770,4,4,－,－,－
総数（国・公・私立）,男,総数（全日制・定時制）,商業,377,370,7,－,－,－,－
総数（国・公・私立）,男,総数（全日制・定時制）,水産,－,－,－,－,－,－,－
総数（国・公・私立）,男,総数（全日制・定時制）,家庭,9,9,－,－,－,－,－
総数（国・公・私立）,男,総数（全日制・定時制）,看護,－,－,－,－,－,－,－
総数（国・公・私立）,男,総数（全日制・定時制）,情報,12,10,2,－,－,－,－
総数（国・公・私立）,男,総数（全日制・定時制）,福祉,4,3,1,－,－,－,－
総数（国・公・私立）,男,総数（全日制・定時制）,その他,336,334,－,1,－,1,－
総数（国・公・私立）,男,総数（全日制・定時制）,総合学科,597,586,7,4,－,－,－
総数（国・公・私立）,男,全日制,総数,33233,33058,140,30,4,1,－
総数（国・公・私立）,男,全日制,普通（普通）,31218,31063,126,25,4,－,－
総数（国・公・私立）,男,全日制,普通（学際領域）,－,－,－,－,－,－,－
総数（国・公・私立）,男,全日制,普通（地域社会）,－,－,－,－,－,－,－
総数（国・公・私立）,男,全日制,普通（その他）,－,－,－,－,－,－,－
総数（国・公・私立）,男,全日制,農業,65,64,1,－,－,－,－
総数（国・公・私立）,男,全日制,工業,773,767,4,2,－,－,－
総数（国・公・私立）,男,全日制,商業,377,370,7,－,－,－,－
