地域階層,地域,和暦（年度）,西暦（年度）,学校数（校）,学校数／うち分校（校）,学校数／国立（校）,学校数／公立（校）,学校数／公立／うち分校（校）,学校数／公立／うち都立（校）,学校数／公立／うち都立／うち分校（校）,学校数／私立（校）
0,総数,平成29,2017,70,－,4,62,－,57,－,4
0,総数,平成30,2018,70,－,4,62,－,57,－,4
0,総数,令和元,2019,70,－,4,62,－,57,－,4
0,総数,令和2,2020,70,－,4,62,－,57,－,4
0,総数,令和3,2021,71,－,4,63,－,58,－,4
0,総数,令和4,2022,71,－,4,63,－,58,－,4
1,区部,令和4,2022,47,－,3,41,－,36,－,3
2,千代田区,令和4,2022,－,－,－,－,－,－,－,－
2,中央区,令和4,2022,－,－,－,－,－,－,－,－
2,港区,令和4,2022,3,－,－,2,－,2,－,1
2,新宿区,令和4,2022,1,－,－,1,－,－,－,－
2,文京区,令和4,2022,3,－,2,1,－,1,－,－
2,台東区,令和4,2022,－,－,－,－,－,－,－,－
2,墨田区,令和4,2022,1,－,－,1,－,1,－,－
2,江東区,令和4,2022,4,－,－,4,－,4,－,－
2,品川区,令和4,2022,2,－,－,1,－,1,－,1
2,目黒区,令和4,2022,－,－,－,－,－,－,－,－
2,大田区＊,令和4,2022,4,－,－,4,－,3,－,－
2,世田谷区,令和4,2022,3,－,－,3,－,3,－,－
2,渋谷区,令和4,2022,－,－,－,－,－,－,－,－
2,中野区,令和4,2022,1,－,－,1,－,1,－,－
2,杉並区,令和4,2022,3,－,－,3,－,2,－,－
2,豊島区,令和4,2022,1,－,－,1,－,1,－,－
2,北区,令和4,2022,2,－,－,2,－,2,－,－
2,荒川区,令和4,2022,－,－,－,－,－,－,－,－
2,板橋区＊,令和4,2022,5,－,1,4,－,3,－,－
2,練馬区,令和4,2022,4,－,－,3,－,3,－,1
2,足立区,令和4,2022,2,－,－,2,－,2,－,－
2,葛飾区＊,令和4,2022,6,－,－,6,－,5,－,－
2,江戸川区,令和4,2022,2,－,－,2,－,2,－,－
1,市部,令和4,2022,23,－,1,21,－,21,－,1
2,八王子市,令和4,2022,5,－,－,5,－,5,－,－
2,立川市,令和4,2022,1,－,－,1,－,1,－,－
2,武蔵野市,令和4,2022,－,－,－,－,－,－,－,－
2,三鷹市,令和4,2022,－,－,－,－,－,－,－,－
2,青梅市,令和4,2022,1,－,－,1,－,1,－,－
2,府中市,令和4,2022,2,－,－,2,－,2,－,－
2,昭島市,令和4,2022,－,－,－,－,－,－,－,－
2,調布市,令和4,2022,1,－,－,1,－,1,－,－
2,町田市,令和4,2022,2,－,－,1,－,1,－,1
2,小金井市,令和4,2022,1,－,－,1,－,1,－,－
2,小平市,令和4,2022,1,－,－,1,－,1,－,－
2,日野市,令和4,2022,1,－,－,1,－,1,－,－
2,東村山市,令和4,2022,－,－,－,－,－,－,－,－
2,国分寺市,令和4,2022,－,－,－,－,－,－,－,－
2,国立市,令和4,2022,－,－,－,－,－,－,－,－
2,福生市,令和4,2022,－,－,－,－,－,－,－,－
2,狛江市,令和4,2022,－,－,－,－,－,－,－,－
2,東大和市,令和4,2022,－,－,－,－,－,－,－,－
2,清瀬市,令和4,2022,1,－,－,1,－,1,－,－
2,東久留米市,令和4,2022,2,－,1,1,－,1,－,－
2,武蔵村山市,令和4,2022,1,－,－,1,－,1,－,－
2,多摩市,令和4,2022,1,－,－,1,－,1,－,－
2,稲城市,令和4,2022,－,－,－,－,－,－,－,－
2,羽村市,令和4,2022,1,－,－,1,－,1,－,－
2,あきる野市,令和4,2022,1,－,－,1,－,1,－,－
2,西東京市,令和4,2022,1,－,－,1,－,1,－,－
1,郡部,令和4,2022,－,－,－,－,－,－,－,－
2,瑞穂町,令和4,2022,－,－,－,－,－,－,－,－
2,日の出町,令和4,2022,－,－,－,－,－,－,－,－
2,檜原村,令和4,2022,－,－,－,－,－,－,－,－
2,奥多摩町,令和4,2022,－,－,－,－,－,－,－,－
1,島部,令和4,2022,－,－,－,－,－,－,－,－
2,大島町,令和4,2022,－,－,－,－,－,－,－,－
2,利島村,令和4,2022,－,－,－,－,－,－,－,－
2,新島村,令和4,2022,－,－,－,－,－,－,－,－
2,神津島村,令和4,2022,－,－,－,－,－,－,－,－
2,三宅村,令和4,2022,－,－,－,－,－,－,－,－
2,御蔵島村,令和4,2022,－,－,－,－,－,－,－,－
2,八丈町,令和4,2022,－,－,－,－,－,－,－,－
2,青ヶ島村,令和4,2022,－,－,－,－,－,－,－,－
2,小笠原村,令和4,2022,－,－,－,－,－,－,－,－
1,都外,令和4,2022,1,－,－,1,－,1,－,－
,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,
１０－１　特別支援学校　区市町村、設置者別学校数,,,,,,,,,,,
注１）公立には、都立と区立がある。,,,,,,,,,,,
注２）地域の＊印は、都外にある区立の学校を含んだ数値である。また地域の「都外」は都立の学校である。,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部・都外　2:区市町村）,,,,,,,,,,,
