種別,産業,男女計／構成比／全国（％）,男女計／構成比／東京都（％）,男女計／就職者総数／全国（人）,男女計／就職者総数／東京都（人）,男／構成比／全国（％）,男／構成比／東京都（％）,男／就職者総数／全国（人）,男／就職者総数／東京都（人）,女／構成比／全国（％）,女／構成比／東京都（％）,女／就職者総数／全国（人）,女／就職者総数／東京都（人）
総数（国、公、私立）,総数,100,100,145887,4747,100,100,91746,3001,100,100,54141,1746
総数（国、公、私立）,農業，林業,0.9,0.8,1364,38,1,0.9,931,27,0.8,0.6,433,11
総数（国、公、私立）,漁業,0.3,0.1,405,6,0.4,0.2,374,6,0.1,－,31,－
総数（国、公、私立）,鉱業，採石業，砂利採取業,0.2,0.2,223,9,0.2,0.3,184,8,0.1,0.1,39,1
総数（国、公、私立）,建設業,10.1,13,14745,618,14.1,18.4,12964,553,3.3,3.7,1781,65
総数（国、公、私立）,製造業,39.7,19.5,57859,927,44.5,21,40840,629,31.4,17.1,17019,298
総数（国、公、私立）,電気・ガス・熱供給・水道業,1.5,1.9,2191,90,2.1,2.4,1908,72,0.5,1,283,18
総数（国、公、私立）,情報通信業,1,1.9,1482,88,1,2.1,915,63,1,1.4,567,25
総数（国、公、私立）,運輸業，郵便業,5.4,11.9,7809,565,6.1,15,5554,451,4.2,6.5,2255,114
総数（国、公、私立）,卸売業，小売業,10.2,12.9,14905,613,7,9.2,6393,275,15.7,19.4,8512,338
総数（国、公、私立）,金融業，保険業,1,1,1480,48,0.2,0.2,204,5,2.4,2.5,1276,43
総数（国、公、私立）,不動産業，物品賃貸業,0.6,1.1,900,50,0.4,0.7,406,21,0.9,1.7,494,29
総数（国、公、私立）,学術研究，専門・技術サービス業,1.6,2.1,2379,101,1.7,2.5,1530,74,1.6,1.5,849,27
総数（国、公、私立）,宿泊業，飲食サービス業,3.7,5.4,5466,256,2.2,3.6,2012,108,6.4,8.5,3454,148
総数（国、公、私立）,生活関連サービス業，娯楽業,3.7,6.2,5381,296,1.7,4,1581,119,7,10.1,3800,177
総数（国、公、私立）,教育，学習支援業,0.3,0.6,503,29,0.2,0.4,193,12,0.6,1,310,17
総数（国、公、私立）,医療，福祉,5.4,5.1,7848,244,1.9,2,1739,60,11.3,10.5,6109,184
総数（国、公、私立）,複合サービス事業,1.4,1.5,2114,73,0.8,1.2,760,36,2.5,2.1,1354,37
総数（国、公、私立）,サービス業（他に分類されないもの）,3.7,5.6,5358,266,3.8,5.8,3497,173,3.4,5.3,1861,93
総数（国、公、私立）,公務（他に分類されるものを除く）,8.3,7.2,12148,340,9.7,8.4,8912,252,6,5,3236,88
総数（国、公、私立）,上記以外のもの,0.9,1.9,1327,90,0.9,1.9,849,57,0.9,1.9,478,33
,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,
付表Ⅰ　全国及び他県との比較　２－５就職者総数の産業別構成比（高等学校(全日制・定時制）卒業者）,,,,,,,,,,,,,
注１） 就職者総数には、大学等進学者、専修学校（専門課程）進学者、専修学校（一般課程）等入学者、公共職業能力開発施設等入学者のうち就職している者を含む。,,,,,,,,,,,,,
注２） 全国の数値は、文部科学省「令和４年度学校基本統計（学校基本調査報告書）」による。,,,,,,,,,,,,,
