種別,性別,地域階層,地域,和暦（年）,西暦（年）,月,卒業者数（人）,卒業者数／高等学校進学者（Ａ）（人）,卒業者数／専修学校（高等課程）進学者（Ｂ）（人）,卒業者数／専修学校（一般課程）等入学者（Ｃ）（人）,卒業者数／公共職業能力開発施設等入学者（D）（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／自営業主等（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／無期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／有期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／臨時労働者（人）,卒業者数／就職者（人）,卒業者数／左記以外の者（人）,卒業者数／不詳・死亡（人）,左記Ａのうち他県への進学者（再掲）（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ａのうち（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ｂのうち（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ｃのうち（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ｄのうち（人）,左記Ｅ有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）（人）,高等学校等進学率（％）,就職者総数（再掲）（人）,卒業者に占める就職者の割合（％）
総数（公立）,総数（男・女）,0,総数,平成29,2017,3月,743,740,－,1,－,…,…,…,…,－,2,－,39,－,－,－,－,－,…,99.6,－,－
総数（公立）,総数（男・女）,0,総数,平成30,2018,3月,697,690,－,－,－,…,…,…,…,－,7,－,30,－,－,－,－,－,…,99,－,－
総数（公立）,総数（男・女）,0,総数,平成31,2019,3月,663,658,－,－,－,…,…,…,…,－,5,－,38,－,－,－,－,－,…,99.2,－,－
総数（公立）,総数（男・女）,0,総数,令和2,2020,3月,666,652,2,－,－,1,－,－,－,…,11,－,62,－,－,－,－,－,－,97.9,1,0.2
総数（公立）,総数（男・女）,0,総数,令和3,2021,3月,850,841,4,－,－,－,－,－,－,…,5,－,75,－,－,－,－,－,－,98.9,－,－
総数（公立）,総数（男・女）,0,総数,令和4,2022,3月,869,864,1,－,－,－,－,－,－,…,4,－,72,－,－,－,－,－,－,99.4,－,－
総数（公立）,総数（男・女）,1,区部,令和4,2022,3月,764,761,－,－,－,－,－,－,－,…,3,－,57,－,－,－,－,－,－,99.6,－,－
総数（公立）,総数（男・女）,2,江東区,令和4,2022,3月,45,45,－,－,－,－,－,－,－,…,－,－,2,－,－,－,－,－,－,100,－,－
総数（公立）,総数（男・女）,2,品川区,令和4,2022,3月,719,716,－,－,－,－,－,－,－,…,3,－,55,－,－,－,－,－,－,99.6,－,－
総数（公立）,総数（男・女）,1,市部,令和4,2022,3月,105,103,1,－,－,－,－,－,－,…,1,－,15,－,－,－,－,－,－,98.1,－,－
総数（公立）,総数（男・女）,2,八王子市,令和4,2022,3月,105,103,1,－,－,－,－,－,－,…,1,－,15,－,－,－,－,－,－,98.1,－,－
総数（公立）,総数（男・女）,1,郡部,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,総数（男・女）,1,島部,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,男,0,総数,平成29,2017,3月,404,401,－,1,－,…,…,…,…,－,2,－,26,－,－,－,－,－,…,99.3,－,－
総数（公立）,男,0,総数,平成30,2018,3月,362,359,－,－,－,…,…,…,…,－,3,－,19,－,－,－,－,－,…,99.2,－,－
総数（公立）,男,0,総数,平成31,2019,3月,335,335,－,－,－,…,…,…,…,－,－,－,22,－,－,－,－,－,…,100,－,－
総数（公立）,男,0,総数,令和2,2020,3月,329,320,2,－,－,1,－,－,－,…,6,－,37,－,－,－,－,－,－,97.3,1,0.3
総数（公立）,男,0,総数,令和3,2021,3月,458,453,2,－,－,－,－,－,－,…,3,－,52,－,－,－,－,－,－,98.9,－,－
