種別,地域階層,地域,和暦（年度）,西暦（年度）,教員数（本務者）（人）,教員数（本務者）／男（人）,教員数（本務者）／女（人）,教員数（本務者）／園長／男（人）,教員数（本務者）／園長／女（人）,教員数（本務者）／副園長／男（人）,教員数（本務者）／副園長／女（人）,教員数（本務者）／教頭／男（人）,教員数（本務者）／教頭／女（人）,教員数（本務者）／主幹保育教諭／男（人）,教員数（本務者）／主幹保育教諭／女（人）,教員数（本務者）／指導保育教諭／男（人）,教員数（本務者）／指導保育教諭／女（人）,教員数（本務者）／保育教諭／男（人）,教員数（本務者）／保育教諭／女（人）,教員数（本務者）／助保育教諭／男（人）,教員数（本務者）／助保育教諭／女（人）,教員数（本務者）／主幹養護教諭／男（人）,教員数（本務者）／主幹養護教諭／女（人）,教員数（本務者）／養護教諭／男（人）,教員数（本務者）／養護教諭／女（人）,教員数（本務者）／養護助教諭／男（人）,教員数（本務者）／養護助教諭／女（人）,教員数（本務者）／主幹栄養教諭／男（人）,教員数（本務者）／主幹栄養教諭／女（人）,教員数（本務者）／栄養教諭／男（人）,教員数（本務者）／栄養教諭／女（人）,教員数（本務者）／講師／男（人）,教員数（本務者）／講師／女（人）,教員数（兼務者）／男（人）,教員数（兼務者）／女（人）,教諭等／本務者（人）,教諭等／本務者／男（人）,教諭等／本務者／女（人）,教諭等／兼務者／男（人）,教諭等／兼務者／女（人）,保育士／本務者（人）,保育士／本務者／男（人）,保育士／本務者／女（人）,保育士／兼務者／男（人）,保育士／兼務者／女（人）,教育・保育補助員／本務者（人）,教育・保育補助員／本務者／男（人）,教育・保育補助員／本務者／女（人）,教育・保育補助員／兼務者／男（人）,教育・保育補助員／兼務者／女（人）,その他職員数（本務者）（人）,その他職員数（本務者）／男（人）,その他職員数（本務者）／女（人）
総数（公・私立）,0,総数,平成29,2017,682,55,627,8,19,3,21,－,2,3,27,3,11,37,531,－,3,－,－,－,1,－,－,－,2,－,9,1,1,2,110,8,2,6,－,8,7,－,7,－,16,32,2,30,6,87,99,22,77
総数（公・私立）,0,総数,平成30,2018,744,58,686,9,21,5,23,－,2,1,32,3,17,39,576,－,－,－,－,－,1,－,－,－,4,－,8,1,2,2,159,11,6,5,1,9,13,－,13,－,20,39,2,37,10,109,116,28,88
総数（公・私立）,0,総数,令和元,2019,803,63,740,10,22,4,23,－,3,3,37,3,19,42,618,－,－,－,－,－,1,－,－,－,3,－,12,1,2,2,170,15,6,9,－,10,12,－,12,－,29,36,1,35,8,117,130,34,96
総数（公・私立）,0,総数,令和2,2020,855,69,786,11,23,4,23,－,2,3,39,2,22,48,665,－,－,－,－,－,1,－,－,－,3,－,8,1,－,2,121,19,7,12,－,10,12,2,10,－,39,39,1,38,7,163,137,33,104
総数（公・私立）,0,総数,令和3,2021,1035,74,961,14,27,4,26,1,1,4,43,1,21,49,797,－,16,－,－,－,3,－,－,－,4,－,13,1,10,2,126,10,5,5,－,7,14,2,12,－,39,101,2,99,9,210,176,40,136
総数（公・私立）,0,総数,令和4,2022,1169,89,1080,15,31,5,29,1,2,9,52,1,26,56,882,－,15,－,－,－,3,－,－,－,4,－,24,2,12,12,161,7,4,3,－,6,35,1,34,－,47,153,4,149,7,219,209,39,170
総数（公・私立）,1,区部,令和4,2022,694,53,641,8,19,3,15,1,1,2,23,1,10,36,555,－,1,－,－,－,1,－,－,－,－,－,14,2,2,9,63,2,1,1,－,－,22,－,22,－,24,86,4,82,3,141,105,25,80
総数（公・私立）,2,千代田区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,中央区,令和4,2022,17,1,16,－,1,－,－,－,－,－,1,－,1,1,12,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,2,－,－,－,－,－,－,－,－,－,－,3,－,3,－,1,3,1,2
総数（公・私立）,2,港区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,新宿区,令和4,2022,96,6,90,－,4,－,3,－,－,－,－,－,－,6,83,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,3,－,－,－,－,22,2,－,2
総数（公・私立）,2,文京区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,台東区,令和4,2022,21,－,21,－,1,－,1,－,－,－,－,－,－,－,19,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,墨田区,令和4,2022,92,12,80,1,3,1,3,1,－,－,3,－,－,8,62,－,－,－,－,－,－,－,－,－,－,－,7,1,2,－,1,－,－,－,－,－,20,－,20,－,10,16,3,13,－,6,21,4,17
総数（公・私立）,2,江東区,令和4,2022,92,9,83,2,1,1,2,－,－,－,4,－,3,6,73,－,－,－,－,－,－,－,－,－,－,－,－,－,－,8,9,－,－,－,－,－,－,－,－,－,－,3,－,3,－,32,18,4,14
総数（公・私立）,2,品川区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,目黒区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,大田区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,世田谷区,令和4,2022,134,14,120,2,3,1,2,－,－,－,6,－,－,11,104,－,－,－,－,－,1,－,－,－,－,－,4,－,－,－,15,1,－,1,－,－,1,－,1,－,3,12,－,12,3,42,29,4,25
総数（公・私立）,2,渋谷区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,中野区,令和4,2022,48,4,44,－,2,－,－,－,－,1,3,－,－,2,36,－,－,－,－,－,－,－,－,－,－,－,3,1,－,1,9,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,6,1,5
総数（公・私立）,2,杉並区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,豊島区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,2,北区,令和4,2022,11,－,11,－,1,－,1,－,－,－,－,－,－,－,9,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,8,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2,－,－,－
総数（公・私立）,2,荒川区,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
