種別,地域階層,地域,区分,総数／学校数（校）,総数／学級数（学級）,総数／児童生徒数（人）,総数／児童生徒数／１学年（人）,総数／児童生徒数／２学年（人）,総数／児童生徒数／３学年（人）,総数／児童生徒数／４学年（人）,総数／児童生徒数／５学年（人）,総数／児童生徒数／６学年（人）,総数／児童生徒数／７学年（人）,総数／児童生徒数／８学年（人）,総数／児童生徒数／９学年（人）
総数（公立）,0,総数,総数,7,33,217,22,16,23,16,20,13,40,27,40
総数（公立）,0,総数,知的障害,…,33,217,22,16,23,16,20,13,40,27,40
総数（公立）,0,総数,肢体不自由,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,0,総数,病弱・身体虚弱,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,0,総数,弱視,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,0,総数,難聴,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,0,総数,言語障害,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,0,総数,情緒障害,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,区部,総数,6,25,160,18,12,14,11,16,12,30,22,25
総数（公立）,1,区部,知的障害,…,25,160,18,12,14,11,16,12,30,22,25
総数（公立）,1,区部,肢体不自由,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,区部,病弱・身体虚弱,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,区部,弱視,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,区部,難聴,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,区部,言語障害,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,区部,情緒障害,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,市部,総数,1,8,57,4,4,9,5,4,1,10,5,15
総数（公立）,1,市部,知的障害,…,8,57,4,4,9,5,4,1,10,5,15
総数（公立）,1,市部,肢体不自由,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,市部,病弱・身体虚弱,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,市部,弱視,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,市部,難聴,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,市部,言語障害,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,市部,情緒障害,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,郡部,総数,－,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,郡部,知的障害,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,郡部,肢体不自由,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,郡部,病弱・身体虚弱,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,郡部,弱視,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,郡部,難聴,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,郡部,言語障害,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,郡部,情緒障害,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,島部,総数,－,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,島部,知的障害,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,島部,肢体不自由,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,島部,病弱・身体虚弱,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,島部,弱視,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,島部,難聴,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,島部,言語障害,…,－,－,－,－,－,－,－,－,－,－,－
総数（公立）,1,島部,情緒障害,…,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,
６－６　義務教育学校　特別支援学級のある学校数、設置目的別学級数及び学年別児童生徒数,,,,,,,,,,,,,,,
注) 国立・私立には義務教育学校はない。,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,,,,,,,
