種別,区分,就職者総数（人）,就職者総数／専門的・技術的職業従事者（人）,就職者総数／事務従事者（人）,就職者総数／販売従事者（人）,就職者総数／サービス職業従事者（人）,就職者総数／保安職業従事者（人）,就職者総数／農林漁業従事者／農林業従事者（人）,就職者総数／農林漁業従事者／漁業従事者（人）,就職者総数／生産工程従事者（人）,就職者総数／輸送・機械運転従事者（人）,就職者総数／建設・採掘従事者（人）,就職者総数／運搬・清掃等従事者（人）,就職者総数／左記以外の者（人）,就職者総数／生産工程従事者（再掲）／計（人）,就職者総数／生産工程従事者（再掲）／製造・加工従事者（人）,就職者総数／生産工程従事者（再掲）／機械組立従事者（人）,就職者総数／生産工程従事者（再掲）／機械修理従事者（人）,就職者総数／生産工程従事者（再掲）／検査従事者（人）,就職者総数／生産工程従事者（再掲）／その他（人）,就職者総数／職業安定所又は学校を通じて就職した者（再掲）（人）,就職者総数／自家・自営業に就いた者（再掲）（人）
総数（公・私立）,総数,761,28,34,55,195,5,2,－,363,9,15,20,35,363,359,2,1,－,1,601,12
総数（公・私立）,男,504,19,11,16,91,2,2,－,301,9,15,18,20,301,298,2,1,－,－,419,7
総数（公・私立）,女,257,9,23,39,104,3,－,－,62,－,－,2,15,62,61,－,－,－,1,182,5
公立,総数,81,4,13,21,17,1,－,－,2,5,3,3,12,2,2,－,－,－,－,12,3
公立,男,32,－,3,3,8,－,－,－,1,5,3,3,6,1,1,－,－,－,－,6,2
公立,女,49,4,10,18,9,1,－,－,1,－,－,－,6,1,1,－,－,－,－,6,1
私立,総数,680,24,21,34,178,4,2,－,361,4,12,17,23,361,357,2,1,－,1,589,9
私立,男,472,19,8,13,83,2,2,－,300,4,12,15,14,300,297,2,1,－,－,413,5
私立,女,208,5,13,21,95,2,－,－,61,－,－,2,9,61,60,－,－,－,1,176,4
,,,,,,,,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,,,,,,,,
１６－２　卒業後の状況調査（高等学校  通信制）　卒業後の状況調査（高等学校  全日制・定時制）　通信制課程の設置者、職業別就職者総数,,,,,,,,,,,,,,,,,,,,,,
