種別,和暦（年度）,西暦（年度）,園数（園）,園数／本園（園）,園数／分園（園）,学級数（学級）,園児数（人）,園児数／男（人）,園児数／女（人）,教員数（本務者）（人）,教員数（本務者）／男（人）,教員数（本務者）／女（人）,教育補助員数（本務者）／男（人）,教育補助員数（本務者）／女（人）
総数（公・私立）,平成27,2015,17,17,－,116,3649,1858,1791,428,25,403,－,－
総数（公・私立）,平成28,2016,21,21,－,137,4333,2169,2164,570,43,527,1,1
総数（公・私立）,平成29,2017,27,27,－,165,5110,2593,2517,682,55,627,2,30
総数（公・私立）,平成30,2018,30,30,－,187,5812,2949,2863,744,58,686,2,37
総数（公・私立）,令和元,2019,32,32,－,190,6043,3141,2902,803,63,740,1,35
総数（公・私立）,令和2,2020,34,34,－,208,6218,3207,3011,855,69,786,1,38
総数（公・私立）,令和3,2021,40,40,－,222,6949,3535,3414,1035,74,961,2,99
総数（公・私立）,令和4,2022,45,45,－,236,7367,3703,3664,1169,89,1080,4,149
,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,
付表Ⅰ　学校数等の推移　１－２学校数等の推移（幼保連携型認定こども園）,,,,,,,,,,,,,,
注1）幼保連携型認定こども園は平成27年度から設置された。,,,,,,,,,,,,,,
注2）国立には幼保連携型認定こども園はない。,,,,,,,,,,,,,,
