種別,区分,入学志願者数（人）,入学志願者数／高等学校（本科）（人）,入学志願者数／高等学校／全日制（本科）（人）,入学志願者数／高等学校／定時制（本科）（人）,入学志願者数／中等教育学校後期課程（本科）（人）,入学志願者数／中等教育学校後期課程／全日制（本科）（人）,入学志願者数／中等教育学校後期課程／定時制（本科）（人）,入学志願者数／高等専門学校（人）,特別支援学校高等部（本科）
総数（国・公・私立）,総数,97453,95927,93314,2613,8,8,－,492,1026
総数（国・公・私立）,男,49670,48570,47242,1328,6,6,－,369,725
総数（国・公・私立）,女,47783,47357,46072,1285,2,2,－,123,301
国立,総数,855,855,853,2,－,－,－,－,－
国立,男,469,469,468,1,－,－,－,－,－
国立,女,386,386,385,1,－,－,－,－,－
公立,総数,71730,70214,67633,2581,7,7,－,488,1021
公立,男,37434,36343,35034,1309,5,5,－,365,721
公立,女,34296,33871,32599,1272,2,2,－,123,300
私立,総数,24868,24858,24828,30,1,1,－,4,5
私立,男,11767,11758,11740,18,1,1,－,4,4
私立,女,13101,13100,13088,12,－,－,－,－,1
,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,
１３－５　卒業後の状況調査（中学校）　設置者別高等学校等への入学志願者数,,,,,,,,,,
注）同一人が2校（又は2課程）以上志願した場合は実際に進学した学校（又は課程）に計上し、いずれにも入学しなかった場合には第一志望の学校（又は課程）に計上している。,,,,,,,,,,
