種別,区分,性別,社会福祉施設等入所・通所者数（人）,社会福祉施設等入所・通所者数／児童福祉施設（人）,社会福祉施設等入所・通所者数／障害者支援施設等（人）,社会福祉施設等入所・通所者数／医療機関（人）
総数（国・公・私立）,総数,総数（男・女）,882,1,880,1
総数（国・公・私立）,総数,男,546,－,545,1
総数（国・公・私立）,総数,女,336,1,335,－
総数（国・公・私立）,総数のうち視覚障害,総数（男・女）,10,－,10,－
総数（国・公・私立）,総数のうち聴覚障害,総数（男・女）,5,－,5,－
総数（国・公・私立）,総数のうち知的障害,総数（男・女）,730,1,729,－
総数（国・公・私立）,総数のうち肢体不自由,総数（男・女）,136,－,136,－
総数（国・公・私立）,総数のうち病弱・身体虚弱,総数（男・女）,1,－,－,1
,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,
１８－４　卒業後の状況調査（特別支援学校）　障害種別社会福祉施設等入所・通所者数（高等部）,,,,,,
＊法の経過措置終了に伴い、厚生施設と授産施設は障害者支援施設等に移行した。,,,,,,
