種別,区分,学級数（学級）,学級数／幼稚部（学級）,学級数／小学部（学級）,学級数／中学部（学級）,学級数／高等部（学級）,学級数／訪問教育学級(再掲）／小学部（学級）,学級数／訪問教育学級(再掲）／中学部（学級）,学級数／訪問教育学級(再掲）／高等部（学級）,在学者数（人）,在学者数／幼稚部（人）,在学者数／小学部（人）,在学者数／中学部（人）,在学者数／高等部（人）,在学者数／訪問教育学級（再掲）／小学部（人）,在学者数／訪問教育学級（再掲）／中学部（人）,在学者数／訪問教育学級（再掲）／高等部（人）
総数（国・公・私立）,総数,2878,46,1293,676,863,56,42,22,14160,173,5524,2875,5588,130,91,40
総数（国・公・私立）,視覚障害,81,9,20,14,38,－,－,－,323,29,73,58,163,－,－,－
総数（国・公・私立）,聴覚障害,141,30,59,26,26,－,－,－,685,119,269,130,167,－,－,－
総数（国・公・私立）,知的障害,1513,3,621,334,555,－,－,－,9585,15,3322,1791,4457,－,－,－
総数（国・公・私立）,肢体不自由,320,－,165,85,70,－,－,－,1384,－,673,360,351,－,－,－
総数（国・公・私立）,病弱・身体虚弱,63,－,35,20,8,5,3,2,147,－,99,31,17,14,2,3
総数（国・公・私立）,視覚障害と聴覚障害,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,視覚障害と知的障害,25,－,12,6,7,－,－,－,67,－,36,14,17,－,－,－
総数（国・公・私立）,視覚障害と肢体不自由,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,視覚障害と病弱・身体虚弱,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,聴覚障害と知的障害,30,3,15,6,6,－,－,－,81,6,40,17,18,－,－,－
総数（国・公・私立）,聴覚障害と肢体不自由,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,聴覚障害と病弱・身体虚弱,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,知的障害と肢体不自由,492,－,259,124,109,33,21,18,1342,－,743,319,280,81,44,36
総数（国・公・私立）,知的障害と病弱・身体虚弱,155,－,77,38,40,－,－,－,413,－,199,98,116,－,－,－
総数（国・公・私立）,肢体不自由と病弱・身体虚弱,43,－,21,18,4,17,17,2,83,－,37,44,2,32,43,1
総数（国・公・私立）,視覚障害と聴覚障害と知的障害,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,視覚障害と聴覚障害と肢体不自由,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,視覚障害と聴覚障害と病弱・身体虚弱,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,視覚障害と知的障害と肢体不自由,1,1,－,－,－,－,－,－,4,4,－,－,－,－,－,－
総数（国・公・私立）,視覚障害と知的障害と病弱・身体虚弱,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,視覚障害と肢体不自由と病弱・身体虚弱,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,聴覚障害と知的障害と肢体不自由,1,－,1,－,－,－,－,－,10,－,10,－,－,－,－,－
総数（国・公・私立）,聴覚障害と知的障害と病弱・身体虚弱,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,聴覚障害と肢体不自由と病弱・身体虚弱,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,知的障害と肢体不自由と病弱・身体虚弱,11,－,6,5,－,1,1,－,30,－,17,13,－,3,2,－
総数（国・公・私立）,視覚障害のみ無し,1,－,1,－,－,－,－,－,3,－,3,－,－,－,－,－
総数（国・公・私立）,聴覚障害のみ無し,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,知的障害のみ無し,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,肢体不自由のみ無し,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,病弱・身体虚弱のみ無し,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,全てあり,1,－,1,－,－,－,－,－,3,－,3,－,－,－,－,－
,,,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,,,
１０－５　特別支援学校　障害種、部別学級数及び在学者数（訪問教育学級再掲）,,,,,,,,,,,,,,,,,
注）高等部には、専攻科を含む。,,,,,,,,,,,,,,,,,
