種別,地域階層,地域,和暦（年度）,西暦（年度）,教員数（本務者）（人）,教員数（本務者）／男（人）,教員数（本務者）／女（人）,教員数（本務者）／校長／男（人）,教員数（本務者）／校長／女（人）,教員数（本務者）／副校長／男（人）,教員数（本務者）／副校長／女（人）,教員数（本務者）／教頭／男（人）,教員数（本務者）／教頭／女（人）,教員数（本務者）／主幹教諭／男（人）,教員数（本務者）／主幹教諭／女（人）,教員数（本務者）／指導教諭／男（人）,教員数（本務者）／指導教諭／女（人）,教員数（本務者）／教諭／男（人）,教員数（本務者）／教諭／女（人）,教員数（本務者）／助教諭／男（人）,教員数（本務者）／助教諭／女（人）,教員数（本務者）／養護教諭／男（人）,教員数（本務者）／養護教諭／女（人）,教員数（本務者）／養護助教諭／男（人）,教員数（本務者）／養護助教諭／女（人）,教員数（本務者）／栄養教諭／男（人）,教員数（本務者）／栄養教諭／女（人）,教員数（本務者）／講師／男（人）,教員数（本務者）／講師／女（人）,教員数（兼務者）／男（人）,教員数（兼務者）／女（人）
総数（国・公・私立）,0,総数,平成29,2017,537,331,206,5,1,11,5,－,－,43,14,3,4,269,166,－,－,－,16,－,－,－,－,－,－,73,80
総数（国・公・私立）,0,総数,平成30,2018,546,341,205,6,1,12,5,－,－,48,17,3,4,272,162,－,－,－,16,－,－,－,－,－,－,70,80
総数（国・公・私立）,0,総数,令和元,2019,528,326,202,6,1,14,3,－,－,38,14,2,4,266,165,－,－,－,15,－,－,－,－,－,－,81,73
総数（国・公・私立）,0,総数,令和2,2020,536,340,196,6,1,16,1,－,－,54,17,1,3,263,159,－,－,－,15,－,－,－,－,－,－,87,69
総数（国・公・私立）,0,総数,令和3,2021,548,351,197,6,1,17,－,－,－,57,18,1,3,270,159,－,－,－,15,－,－,－,1,－,－,88,71
総数（国・公・私立）,0,総数,令和4,2022,546,352,194,5,1,14,3,－,－,56,18,2,3,275,153,－,－,－,15,－,－,－,1,－,－,89,84
国立,0,総数,令和4,2022,104,58,46,1,－,3,1,－,－,1,2,－,－,53,39,－,－,－,4,－,－,－,－,－,－,25,19
国立,1,中野区,令和4,2022,42,25,17,－,－,1,1,－,－,1,1,－,－,23,13,－,－,－,2,－,－,－,－,－,－,4,9
国立,1,練馬区,令和4,2022,62,33,29,1,－,2,－,－,－,－,1,－,－,30,26,－,－,－,2,－,－,－,－,－,－,21,10
公立,0,総数,令和4,2022,442,294,148,4,1,11,2,－,－,55,16,2,3,222,114,－,－,－,11,－,－,－,1,－,－,64,65
公立,1,千代田区,令和4,2022,74,50,24,1,－,2,－,－,－,2,2,－,－,45,20,－,－,－,2,－,－,－,－,－,－,10,8
公立,1,文京区,令和4,2022,61,36,25,1,－,2,－,－,－,7,2,－,－,26,21,－,－,－,2,－,－,－,－,－,－,14,15
公立,1,目黒区,令和4,2022,58,31,27,1,－,1,1,－,－,4,4,－,－,25,19,－,－,－,2,－,－,－,1,－,－,6,16
公立,1,八王子市,令和4,2022,107,79,28,－,1,1,1,－,－,29,7,1,1,48,16,－,－,－,2,－,－,－,－,－,－,15,5
公立,1,立川市,令和4,2022,62,41,21,－,－,3,－,－,－,5,－,－,－,33,19,－,－,－,2,－,－,－,－,－,－,15,14
公立,1,三鷹市,令和4,2022,80,57,23,1,－,2,－,－,－,8,1,1,2,45,19,－,－,－,1,－,－,－,－,－,－,4,7
私立,0,総数,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
９－４　中等教育学校　設置者、所在地、職名別教員数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区市町村）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
