種別,区分,就職者総数（人）,就職者総数／第１次産業／農業，林業（人）,就職者総数／第１次産業／漁業（人）,就職者総数／第２次産業／鉱業，採石業，砂利採取業（人）,就職者総数／第２次産業／建設業（人）,就職者総数／第２次産業／製造業（人）,就職者総数／第３次産業／電気・ガス・熱供給・水道業（人）,就職者総数／第３次産業／情報通信業（人）,就職者総数／第３次産業／運輸業，郵便業（人）,就職者総数／第３次産業／卸売業，小売業（人）,就職者総数／第３次産業／金融業，保険業（人）,就職者総数／第３次産業／不動産業，物品賃貸業（人）,就職者総数／第３次産業／学術研究，専門・技術サービス業（人）,就職者総数／第３次産業／宿泊業，飲食サービス業（人）,就職者総数／第３次産業／生活関連サービス業，娯楽業（人）,就職者総数／第３次産業／教育，学習支援業（人）,就職者総数／第３次産業／医療，福祉（人）,就職者総数／第３次産業／複合サービス事業（人）,就職者総数／第３次産業／サービス業（他に分類されないもの）（人）,就職者総数／第３次産業／公務（他に分類されるものを除く）（人）,就職者総数／左記以外のもの（人）
総数（公・私立）,総数,761,5,－,－,28,373,2,4,30,61,3,－,3,98,57,3,45,1,18,5,25
総数（公・私立）,男,504,5,－,－,26,309,1,3,24,23,2,－,2,56,14,1,13,1,9,3,12
総数（公・私立）,女,257,－,－,－,2,64,1,1,6,38,1,－,1,42,43,2,32,－,9,2,13
公立,総数,81,－,－,－,5,2,1,1,7,23,1,－,2,4,16,－,4,－,3,－,12
公立,男,32,－,－,－,4,1,－,1,6,6,－,－,1,1,3,－,2,－,1,－,6
公立,女,49,－,－,－,1,1,1,－,1,17,1,－,1,3,13,－,2,－,2,－,6
私立,総数,680,5,－,－,23,371,1,3,23,38,2,－,1,94,41,3,41,1,15,5,13
私立,男,472,5,－,－,22,308,1,2,18,17,2,－,1,55,11,1,11,1,8,3,6
私立,女,208,－,－,－,1,63,－,1,5,21,－,－,－,39,30,2,30,－,7,2,7
,,,,,,,,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,,,,,,,,
１６－３　卒業後の状況調査（高等学校  通信制）　通信制課程の設置者、産業別就職者総数,,,,,,,,,,,,,,,,,,,,,,
