種別,性別,課程,区分,卒業者数（人）,卒業者数／大学等進学者（Ａ）（人）,卒業者数／専修学校（専門課程）進学者（Ｂ）（人）,卒業者数／専修学校（一般課程）等入学者（Ｃ）（人）,卒業者数／公共職業能力開発施設等入学者（Ｄ）（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／自営業主等（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／無期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／有期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／臨時労働者（人）,卒業者数／左記以外の者（人）,卒業者数／不詳・死亡（人）,"左記Ａ,Ｂ,Ｃ,Ｄのうち就職している者（再掲）（人）","左記Ａ,Ｂ,Ｃ,Ｄのうち就職している者（再掲）／自営業主等無期雇用労働者（人）","左記Ａ,Ｂ,Ｃ,Ｄのうち就職している者（再掲）／雇用契約期間が一年以上、かつフルタイム勤務相当の者（人）",左記Ｅ有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）（人）,Ａのうち大学・短期大学の通信教育部を除く進学者（再掲）（人）,大学等進学率（％）,就職者総数（再掲）（人）,卒業者に占める就職者の割合（％）
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,総数,98713,70555,10847,5091,245,122,4447,400,191,6813,2,4,2,2,174,70457,71.5,4747,4.8
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,普通（普通）,86977,65725,8488,4464,120,64,1883,156,144,5931,2,3,1,2,32,65656,75.6,1982,2.3
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,普通（学際領域）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,普通（地域社会）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,普通（その他）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,農業,673,188,204,47,15,5,161,10,7,36,－,－,－,－,－,187,27.9,166,24.7
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,工業,3681,983,534,208,55,31,1517,138,8,207,－,－,－,－,127,979,26.7,1675,45.5
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,商業,2244,794,568,115,7,13,581,39,18,109,－,－,－,－,9,789,35.4,603,26.9
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,水産,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,家庭,267,99,76,29,2,1,46,4,3,7,－,－,－,－,－,97,37.1,47,17.6
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,看護,36,35,1,－,－,－,－,－,－,－,－,－,－,－,－,35,97.2,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,情報,55,23,14,1,－,－,－,－,－,17,－,－,－,－,－,23,41.8,－,－
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,福祉,18,6,6,－,－,－,5,1,－,－,－,－,－,－,－,6,33.3,5,27.8
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,その他,1759,1134,195,85,17,3,115,10,－,200,－,1,1,－,1,1130,64.5,120,6.8
総数（国・公・私立）,総数（男・女）,総数（全日制・定時制）,総合学科,3003,1568,761,142,29,5,139,42,11,306,－,－,－,－,5,1555,52.2,149,5
総数（国・公・私立）,総数（男・女）,全日制,総数,95953,69697,10276,4991,175,100,3915,260,158,6379,2,4,2,2,153,69623,72.6,4172,4.3
総数（国・公・私立）,総数（男・女）,全日制,普通（普通）,85288,65179,8132,4405,84,52,1551,77,121,5685,2,3,1,2,13,65125,76.4,1619,1.9
総数（国・公・私立）,総数（男・女）,全日制,普通（学際領域）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（男・女）,全日制,普通（地域社会）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
