種別,区分,就職者総数（人）,就職者総数／都内（人）,就職者総数／都外（人）,就職者総数／男（人）,就職者総数／女（人）
総数（国・公・私立）,総数,78,74,4,67,11
総数（国・公・私立）,第１次産業,8,8,－,7,1
総数（国・公・私立）,第２次産業,32,32,－,30,2
総数（国・公・私立）,第３次産業,32,30,2,27,5
総数（国・公・私立）,上記以外のもの,6,4,2,3,3
国立,総数,－,－,－,－,－
国立,第１次産業,－,－,－,－,－
国立,第２次産業,－,－,－,－,－
国立,第３次産業,－,－,－,－,－
国立,上記以外のもの,－,－,－,－,－
公立,総数,78,74,4,67,11
公立,第１次産業,8,8,－,7,1
公立,第２次産業,32,32,－,30,2
公立,第３次産業,32,30,2,27,5
公立,上記以外のもの,6,4,2,3,3
私立,総数,－,－,－,－,－
私立,第１次産業,－,－,－,－,－
私立,第２次産業,－,－,－,－,－
私立,第３次産業,－,－,－,－,－
私立,上記以外のもの,－,－,－,－,－
,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,
１３－６　卒業後の状況調査（中学校）　設置者、産業別就職者総数,,,,,,
注１）産業分類（３区分）の詳細については、１５－９表を参照,,,,,,
注２）進学しながら就職している者及び専修学校等へ入学しながら就職している者を含む。,,,,,,
注３）「上記以外のもの」とは、分類不能の産業及び就職先の産業別が不明の者である。,,,,,,
