種別,性別,区分,卒業者数（人）,卒業者数／大学等進学者（Ａ）（人）,卒業者数／大学等進学者（Ａ）／大学（学部）（人）,卒業者数／大学等進学者（Ａ）／短期大学（本科）（人）,卒業者数／大学等進学者（Ａ）／大学・短期大学の通信教育部（人）,卒業者数／大学等進学者（Ａ）／大学・短期大学（別科）（人）,卒業者数／大学等進学者（Ａ）／高等学校（専攻科）（人）,卒業者数／大学等進学者（Ａ）／特別支援学校高等部（専攻科）（人）,卒業者数／専修学校（専門課程）進学者（Ｂ）（人）,卒業者数／専修学校（一般課程）等入学者（Ｃ）（人）,卒業者数／専修学校（一般課程）等入学者（Ｃ）／専修学校（一般課程）等（人）,卒業者数／専修学校（一般課程）等入学者（Ｃ）／各種学校（人）,卒業者数／公共職業能力開発施設等入学者（Ｄ）（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／自営業主等（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／無期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／有期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／臨時労働者（人）,卒業者数／左記以外の者（Ｆ）（人）,卒業者数／不詳・死亡（人）,"左記Ａ,Ｂ,Ｃ,Ｄのうち就職している者（再掲）（人）","左記Ａ,Ｂ,Ｃ,Ｄのうち就職している者（再掲）／Ａのうち（人）","左記Ａ,Ｂ,Ｃ,Ｄのうち就職している者（再掲）／Ｂのうち（人）","左記Ａ,Ｂ,Ｃ,Ｄのうち就職している者（再掲）／Ｃのうち（人）","左記Ａ,Ｂ,Ｃ,Ｄのうち就職している者（再掲）／Ｄのうち（人）",左記Ｅ有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）（人）,左記Ｆのうち社会福祉施設等入所、通所者（再掲）（人）,大学等進学率（％）,就職者総数（再掲）（人）,卒業者に占める就職者の割合（％）
総数（国・公・私立）,総数（男・女）,総数,1727,79,45,3,1,－,－,30,5,2,－,2,5,2,89,608,2,935,－,－,－,－,－,－,257,882,4.6,348,20.2
総数（国・公・私立）,総数（男・女）,視覚障害,37,25,16,－,1,－,－,8,－,－,－,－,－,－,1,－,－,11,－,－,－,－,－,－,－,10,67.6,1,2.7
総数（国・公・私立）,総数（男・女）,聴覚障害,55,37,19,1,－,－,－,17,3,－,－,－,－,－,3,7,－,5,－,－,－,－,－,－,1,5,67.3,4,7.3
総数（国・公・私立）,総数（男・女）,知的障害,1471,6,1,－,－,－,－,5,－,2,－,2,4,2,85,594,2,776,－,－,－,－,－,－,253,730,0.4,340,23.1
総数（国・公・私立）,総数（男・女）,肢体不自由,163,11,9,2,－,－,－,－,2,－,－,－,1,－,－,7,－,142,－,－,－,－,－,－,3,136,6.7,3,1.8
総数（国・公・私立）,総数（男・女）,病弱・身体虚弱,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,1,－,－,－
総数（国・公・私立）,男,総数,1121,40,22,1,1,－,－,16,1,1,－,1,5,2,63,425,2,582,－,－,－,－,－,－,174,546,3.6,239,21.3
総数（国・公・私立）,男,視覚障害,17,12,7,－,1,－,－,4,－,－,－,－,－,－,－,－,－,5,－,－,－,－,－,－,－,4,70.6,－,－
総数（国・公・私立）,男,聴覚障害,29,17,10,－,－,－,－,7,－,－,－,－,－,－,2,6,－,4,－,－,－,－,－,－,1,4,58.6,3,10.3
総数（国・公・私立）,男,知的障害,987,5,－,－,－,－,－,5,－,1,－,1,4,2,61,412,2,500,－,－,－,－,－,－,170,468,0.5,233,23.6
総数（国・公・私立）,男,肢体不自由,87,6,5,1,－,－,－,－,1,－,－,－,1,－,－,7,－,72,－,－,－,－,－,－,3,69,6.9,3,3.4
総数（国・公・私立）,男,病弱・身体虚弱,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,1,－,－,－
総数（国・公・私立）,女,総数,606,39,23,2,－,－,－,14,4,1,－,1,－,－,26,183,－,353,－,－,－,－,－,－,83,336,6.4,109,18
総数（国・公・私立）,女,視覚障害,20,13,9,－,－,－,－,4,－,－,－,－,－,－,1,－,－,6,－,－,－,－,－,－,－,6,65,1,5
総数（国・公・私立）,女,聴覚障害,26,20,9,1,－,－,－,10,3,－,－,－,－,－,1,1,－,1,－,－,－,－,－,－,－,1,76.9,1,3.8
総数（国・公・私立）,女,知的障害,484,1,1,－,－,－,－,－,－,1,－,1,－,－,24,182,－,276,－,－,－,－,－,－,83,262,0.2,107,22.1
総数（国・公・私立）,女,肢体不自由,76,5,4,1,－,－,－,－,1,－,－,－,－,－,－,－,－,70,－,－,－,－,－,－,－,67,6.6,－,－
総数（国・公・私立）,女,病弱・身体虚弱,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１８－２　卒業後の状況調査（特別支援学校）　卒業後の状況調査（高等学校  通信制）　障害種、状況別卒業者数、大学等進学率及び卒業者に占める就職者の割合（高等部）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
