種別,区分,性別,卒業者数（人）,卒業者数／高等学校等進学者（Ａ）（人）,卒業者数／高等学校等進学者（Ａ）／高等学校本科（人）,卒業者数／高等学校等進学者（Ａ）／高等学校本科／全日制（人）,卒業者数／高等学校等進学者（Ａ）／高等学校本科／定時制（人）,卒業者数／高等学校等進学者（Ａ）／高等学校本科／通信制（人）,卒業者数／高等学校等進学者（Ａ）／中等教育学校後期課程本科（人）,卒業者数／高等学校等進学者（Ａ）／中等教育学校後期課程本科／全日制（人）,卒業者数／高等学校等進学者（Ａ）／中等教育学校後期課程本科／定時制（人）,卒業者数／高等学校等進学者（Ａ）／高等学校別科（人）,卒業者数／高等学校等進学者（Ａ）／中等教育学校後期課程別科（人）,卒業者数／高等学校等進学者（Ａ）／高等専門学校（人）,卒業者数／高等学校等進学者（Ａ）／特別支援学校高等部（人）,卒業者数／高等学校等進学者（Ａ）／特別支援学校高等部／本科（人）,卒業者数／高等学校等進学者（Ａ）／特別支援学校高等部／別科（人）,卒業者数／専修学校（高等課程）進学者（Ｂ）（人）,卒業者数／専修学校（一般課程）等入学者（Ｃ）（人）,卒業者数／専修学校（一般課程）等入学者（Ｃ）／専修学校（一般課程）（人）,卒業者数／専修学校（一般課程）等入学者（Ｃ）／各種学校（人）,卒業者数／公共職業能力開発施設等入学者（Ｄ）（人）,卒業者数／就職者等（左記Ａ～Ｄを除く（Ｅ）／自営業主等（人）,卒業者数／就職者等（左記Ａ～Ｄを除く（Ｅ）／常用雇用者／無期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く（Ｅ）／常用雇用者／有期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く（Ｅ）／臨時労働者（人）,卒業者数／左記以外の者（F）（人）,卒業者数／不詳・死亡（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ａのうち（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ｂのうち（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ｃのうち（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ｄのうち（人）,左記Ｅ有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）（人）,左記Ｆのうち社会福祉施設等入所、通所者（再掲）（人）,高等学校等進学率（％）,就職者総数（再掲）（人）,卒業者に占める就職者の割合（％）
総数（国・公・私立）,総数,総数（男・女）,858,852,12,9,1,2,－,－,－,－,－,－,840,840,－,－,－,－,－,－,－,－,－,1,5,－,－,－,－,－,－,－,－,99.3,－,－
総数（国・公・私立）,総数,男,559,556,6,4,1,1,－,－,－,－,－,－,550,550,－,－,－,－,－,－,－,－,－,1,2,－,－,－,－,－,－,－,－,99.5,－,－
総数（国・公・私立）,総数,女,299,296,6,5,－,1,－,－,－,－,－,－,290,290,－,－,－,－,－,－,－,－,－,－,3,－,－,－,－,－,－,－,－,99,－,－
総数（国・公・私立）,視覚障害,総数（男・女）,22,22,1,－,－,1,－,－,－,－,－,－,21,21,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,100,－,－
総数（国・公・私立）,視覚障害,男,11,11,1,－,－,1,－,－,－,－,－,－,10,10,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,100,－,－
総数（国・公・私立）,視覚障害,女,11,11,－,－,－,－,－,－,－,－,－,－,11,11,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,100,－,－
総数（国・公・私立）,聴覚障害,総数（男・女）,51,51,7,7,－,－,－,－,－,－,－,－,44,44,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,100,－,－
総数（国・公・私立）,聴覚障害,男,31,31,4,4,－,－,－,－,－,－,－,－,27,27,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,100,－,－
総数（国・公・私立）,聴覚障害,女,20,20,3,3,－,－,－,－,－,－,－,－,17,17,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,100,－,－
総数（国・公・私立）,知的障害,総数（男・女）,635,631,1,－,1,－,－,－,－,－,－,－,630,630,－,－,－,－,－,－,－,－,－,1,3,－,－,－,－,－,－,－,－,99.4,－,－
総数（国・公・私立）,知的障害,男,449,447,1,－,1,－,－,－,－,－,－,－,446,446,－,－,－,－,－,－,－,－,－,1,1,－,－,－,－,－,－,－,－,99.6,－,－
総数（国・公・私立）,知的障害,女,186,184,－,－,－,－,－,－,－,－,－,－,184,184,－,－,－,－,－,－,－,－,－,－,2,－,－,－,－,－,－,－,－,98.9,－,－
総数（国・公・私立）,肢体不自由,総数（男・女）,150,148,3,2,－,1,－,－,－,－,－,－,145,145,－,－,－,－,－,－,－,－,－,－,2,－,－,－,－,－,－,－,－,98.7,－,－
総数（国・公・私立）,肢体不自由,男,68,67,－,－,－,－,－,－,－,－,－,－,67,67,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,98.5,－,－
総数（国・公・私立）,肢体不自由,女,82,81,3,2,－,1,－,－,－,－,－,－,78,78,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,98.8,－,－
総数（国・公・私立）,病弱・身体虚弱,総数（男・女）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
