種別,区分,特別支援学級卒業者数（人）,特別支援学級卒業者数／高等学校等進学者（人）,特別支援学級卒業者数／高等学校等進学者／高等学校及び中等教育学校後期課程の本科及び別科、高等専門学校（人）,特別支援学級卒業者数／高等学校等進学者／特別支援学校本科及び別科（人）,特別支援学級卒業者数／専修学校（高等課程）進学者（人）,特別支援学級卒業者数／専修学校（一般課程）等入学者（人）,特別支援学級卒業者数／公共職業能力開発施設等入学者（人）,特別支援学級卒業者数／就職者等（人）,特別支援学級卒業者数／左記以外の者、不詳・死亡（人）
総数（国・公・私立）,総数,1436,1351,424,927,57,2,－,2,24
総数（国・公・私立）,男,1024,961,308,653,45,－,－,2,16
総数（国・公・私立）,女,412,390,116,274,12,2,－,－,8
国立,総数,－,－,－,－,－,－,－,－,－
国立,男,－,－,－,－,－,－,－,－,－
国立,女,－,－,－,－,－,－,－,－,－
公立,総数,1400,1349,424,925,24,2,－,2,23
公立,男,997,960,308,652,20,－,－,2,15
公立,女,403,389,116,273,4,2,－,－,8
私立,総数,36,2,－,2,33,－,－,－,1
私立,男,27,1,－,1,25,－,－,－,1
私立,女,9,1,－,1,8,－,－,－,－
,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,
１３－７　卒業後の状況調査（中学校）　特別支援学級の状況別卒業者数,,,,,,,,,,
