種別,性別,地域階層,地域,和暦（年）,西暦（年）,月,卒業者数（人）,卒業者数／大学等進学者（Ａ）（人）,卒業者数／専修学校（専門課程）進学者（Ｂ）（人）,卒業者数／専修学校（一般課程）等入学者（Ｃ）（人）,卒業者数／公共職業能力開発施設等入学者（D）（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／自営業主等（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／無期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／有期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／臨時労働者（人）,卒業者数／就職者（人）,卒業者数／就職者／正規の職員等（人）,卒業者数／就職者／正規の職員等でない者（人）,卒業者数／一時的な仕事に就いた者（人）,卒業者数／左記以外の者（人）,卒業者数／不詳・死亡（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／自営業主等無期雇用労働者（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／雇用契約期間が一年以上、かつフルタイム勤務相当の者（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／正規の職員等（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／正規の職員等でない者（人）,左記Ｅ有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）（人）,Ａのうち大学・短期大学の通信教育部を除く進学者（再掲）（人）,大学等進学率（％）,就職者総数（再掲）（人）,卒業者に占める就職者の割合（％）
総数（国・公・私立）,総数（男・女）,0,総数,平成29,2017,3月,102326,67455,12040,5987,320,…,…,…,…,6840,6804,36,612,9055,17,9,…,…,7,2,…,67416,65.9,6849,6.7
総数（国・公・私立）,総数（男・女）,0,総数,平成30,2018,3月,101782,65863,10839,7842,312,…,…,…,…,6567,6541,26,489,9860,10,3,…,…,2,1,…,65814,64.7,6570,6.5
総数（国・公・私立）,総数（男・女）,0,総数,平成31,2019,3月,101723,66248,11846,6901,279,…,…,…,…,6426,6377,49,539,9479,5,5,…,…,4,1,…,66150,65.1,6431,6.3
総数（国・公・私立）,総数（男・女）,0,総数,令和2,2020,3月,100178,66737,12261,6351,258,305,5860,418,251,…,…,…,…,7731,6,13,8,5,…,…,55,66643,66.6,6233,6.2
総数（国・公・私立）,総数（男・女）,0,総数,令和3,2021,3月,98943,68292,12239,5220,289,174,4975,447,114,…,…,…,…,7192,1,8,4,4,…,…,152,68181,69,5309,5.4
総数（国・公・私立）,総数（男・女）,0,総数,令和4,2022,3月,98713,70555,10847,5091,245,122,4447,400,191,…,…,…,…,6813,2,4,2,2,…,…,174,70457,71.5,4747,4.8
総数（国・公・私立）,総数（男・女）,1,区部,令和4,2022,3月,70078,50661,6818,3758,163,105,3117,201,161,…,…,…,…,5092,2,4,2,2,…,…,52,50593,72.3,3278,4.7
総数（国・公・私立）,総数（男・女）,2,千代田区,令和4,2022,3月,3466,2832,126,261,8,2,43,1,－,…,…,…,…,193,－,－,－,－,…,…,1,2827,81.7,46,1.3
総数（国・公・私立）,総数（男・女）,2,中央区,令和4,2022,3月,430,307,2,54,4,－,－,5,－,…,…,…,…,58,－,－,－,－,…,…,5,306,71.4,5,1.2
総数（国・公・私立）,総数（男・女）,2,港区,令和4,2022,3月,4041,3175,120,93,7,－,84,1,1,…,…,…,…,560,－,－,－,－,…,…,－,3173,78.6,84,2.1
総数（国・公・私立）,総数（男・女）,2,新宿区,令和4,2022,3月,2496,1915,48,220,－,2,4,－,－,…,…,…,…,307,－,－,－,－,…,…,－,1914,76.7,6,0.2
総数（国・公・私立）,総数（男・女）,2,文京区,令和4,2022,3月,5046,4020,280,285,2,2,40,9,1,…,…,…,…,407,－,－,－,－,…,…,－,4017,79.7,42,0.8
総数（国・公・私立）,総数（男・女）,2,台東区,令和4,2022,3月,1675,1052,219,65,6,2,247,－,－,…,…,…,…,84,－,－,－,－,…,…,－,1049,62.8,249,14.9
総数（国・公・私立）,総数（男・女）,2,墨田区,令和4,2022,3月,1837,1389,218,33,6,1,77,6,－,…,…,…,…,107,－,－,－,－,…,…,－,1389,75.6,78,4.2
総数（国・公・私立）,総数（男・女）,2,江東区,令和4,2022,3月,2288,1474,176,137,7,7,296,－,15,…,…,…,…,176,－,－,－,－,…,…,－,1469,64.4,303,13.2
総数（国・公・私立）,総数（男・女）,2,品川区,令和4,2022,3月,2872,2171,189,201,3,10,39,2,28,…,…,…,…,229,－,1,－,1,…,…,－,2170,75.6,50,1.7
総数（国・公・私立）,総数（男・女）,2,目黒区,令和4,2022,3月,2677,2124,104,183,1,3,11,－,－,…,…,…,…,251,－,2,2,－,…,…,－,2118,79.3,16,0.6
総数（国・公・私立）,総数（男・女）,2,大田区,令和4,2022,3月,3173,1923,560,170,23,12,231,11,19,…,…,…,…,224,－,－,－,－,…,…,11,1922,60.6,254,8
総数（国・公・私立）,総数（男・女）,2,世田谷区,令和4,2022,3月,8094,5949,927,261,23,21,138,34,25,…,…,…,…,716,－,－,－,－,…,…,19,5942,73.5,178,2.2
総数（国・公・私立）,総数（男・女）,2,渋谷区,令和4,2022,3月,2808,2266,146,166,－,－,47,9,－,…,…,…,…,174,－,－,－,－,…,…,1,2265,80.7,48,1.7
総数（国・公・私立）,総数（男・女）,2,中野区,令和4,2022,3月,3042,2307,298,142,4,－,126,2,1,…,…,…,…,162,－,－,－,－,…,…,－,2302,75.8,126,4.1
総数（国・公・私立）,総数（男・女）,2,杉並区,令和4,2022,3月,5317,4168,404,374,9,5,156,7,22,…,…,…,…,172,－,－,－,－,…,…,3,4164,78.4,164,3.1
総数（国・公・私立）,総数（男・女）,2,豊島区,令和4,2022,3月,4025,3088,197,319,3,3,173,5,－,…,…,…,…,236,1,－,－,－,…,…,5,3083,76.7,181,4.5
総数（国・公・私立）,総数（男・女）,2,北区,令和4,2022,3月,2631,1922,343,65,8,－,53,18,－,…,…,…,…,222,－,1,－,1,…,…,3,1920,73.1,57,2.2
総数（国・公・私立）,総数（男・女）,2,荒川区,令和4,2022,3月,791,347,115,169,3,6,96,－,－,…,…,…,…,55,－,－,－,－,…,…,－,344,43.9,102,12.9
総数（国・公・私立）,総数（男・女）,2,板橋区,令和4,2022,3月,3255,2366,284,265,10,2,157,4,－,…,…,…,…,167,－,－,－,－,…,…,2,2361,72.7,161,4.9
総数（国・公・私立）,総数（男・女）,2,練馬区,令和4,2022,3月,2842,1830,445,163,10,10,230,23,－,…,…,…,…,131,－,－,－,－,…,…,－,1825,64.4,240,8.4
総数（国・公・私立）,総数（男・女）,2,足立区,令和4,2022,3月,2495,1140,608,24,11,5,445,12,37,…,…,…,…,212,1,－,－,－,…,…,2,1139,45.7,452,18.1
