種別,性別,地域階層,地域,和暦（年）,西暦（年）,月,修了者数（人）,修了者数／高等学校等進学者（Ａ）（人）,修了者数／高等学校等進学者（Ａ）／高等学校本科（人）,修了者数／高等学校等進学者（Ａ）／高等学校本科／全日制（人）,修了者数／高等学校等進学者（Ａ）／高等学校本科／定時制（人）,修了者数／高等学校等進学者（Ａ）／高等学校本科／通信制（人）,修了者数／高等学校等進学者（Ａ）／中等教育学校後期課程本科（人）,修了者数／高等学校等進学者（Ａ）／中等教育学校後期課程本科／全日制（人）,修了者数／高等学校等進学者（Ａ）／中等教育学校後期課程本科／定時制（人）,修了者数／高等学校等進学者（Ａ）／高等学校別科（人）,修了者数／高等学校等進学者（Ａ）／中等教育学校後期課程別科（人）,修了者数／高等学校等進学者（Ａ）／高等専門学校（人）,修了者数／高等学校等進学者（Ａ）／特別支援学校高等部（人）,修了者数／高等学校等進学者（Ａ）／特別支援学校高等部／本科（人）,修了者数／高等学校等進学者（Ａ）／特別支援学校高等部／別科（人）,修了者数／専修学校（高等課程）進学者（Ｂ）（人）,修了者数／専修学校（一般課程）等入学者（Ｃ）（人）,修了者数／専修学校（一般課程）等入学者（Ｃ）／専修学校（一般課程）（人）,修了者数／専修学校（一般課程）等入学者（Ｃ）／各種学校（人）,修了者数／公共職業能力開発施設等入学者（Ｄ）（人）,修了者数／就職者等（左記Ａ～Ｄを除く（Ｅ）／自営業主等（人）,修了者数／就職者等（左記Ａ～Ｄを除く（Ｅ）／常用雇用者／無期雇用労働者（人）,修了者数／就職者等（左記Ａ～Ｄを除く（Ｅ）／常用雇用者／有期雇用労働者（人）,修了者数／就職者等（左記Ａ～Ｄを除く（Ｅ）／臨時労働者（人）,修了者数／就職者（人）,修了者数／左記以外の者（人）,修了者数／不詳・死亡（人）,左記Ａのうち他県への進学者（再掲）（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ａのうち（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ｂのうち（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ｃのうち（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ｄのうち（人）,左記Ｅ有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）（人）,高等学校等進学率（％）,就職者総数（再掲）（人）,卒業者に占める就職者の割合（％）
総数（国・公・私立）,総数（男・女）,0,総数,平成29,2017,3月,1183,1182,20,15,－,5,1162,1162,－,－,－,－,－,－,－,－,－,－,－,－,…,…,…,…,－,1,－,6,－,－,－,－,－,…,99.9,－,－
総数（国・公・私立）,総数（男・女）,0,総数,平成30,2018,3月,1196,1193,13,6,3,4,1179,1179,－,－,－,1,－,－,－,－,－,－,－,－,…,…,…,…,－,3,－,2,－,－,－,－,－,…,99.7,－,－
総数（国・公・私立）,総数（男・女）,0,総数,令和元,2019,3月,1194,1192,25,10,6,9,1166,1166,－,－,－,1,－,－,－,1,－,－,－,－,…,…,…,…,－,1,－,2,－,－,－,－,－,…,99.8,－,－
総数（国・公・私立）,総数（男・女）,0,総数,令和2,2020,3月,1201,1200,20,14,1,5,1180,1180,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,1,－,4,－,－,－,－,－,－,99.9,－,－
総数（国・公・私立）,総数（男・女）,0,総数,令和3,2021,3月,1194,1192,21,9,1,11,1171,1171,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,2,－,9,－,－,－,－,－,－,99.8,－,－
総数（国・公・私立）,総数（男・女）,0,総数,令和4,2022,3月,1188,1186,29,9,2,18,1157,1157,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,2,－,7,－,－,－,－,－,－,99.8,－,－
国立,総数（男・女）,0,総数,令和4,2022,3月,241,241,5,1,1,3,236,236,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,1,－,－,－,－,－,－,100,－,－
国立,総数（男・女）,1,中野区,令和4,2022,3月,120,120,1,1,－,－,119,119,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,100,－,－
国立,総数（男・女）,1,練馬区,令和4,2022,3月,121,121,4,－,1,3,117,117,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,1,－,－,－,－,－,－,100,－,－
公立,総数（男・女）,0,総数,令和4,2022,3月,947,945,24,8,1,15,921,921,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,2,－,6,－,－,－,－,－,－,99.8,－,－
公立,総数（男・女）,1,千代田区,令和4,2022,3月,159,158,7,2,－,5,151,151,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,1,－,5,－,－,－,－,－,－,99.4,－,－
