種別,課程,性別,生徒数（人）,生徒数／１５歳（人）,生徒数／１６歳（人）,生徒数／１７歳（人）,生徒数／１８歳（人）,生徒数／１９歳（人）,生徒数／２０～２４歳（人）,生徒数／２５～２９歳（人）,生徒数／３０～３９歳（人）,生徒数／４０～４９歳（人）,生徒数／５０～５９歳（人）,生徒数／６０歳以上（人）,生徒数／公立（人）,生徒数／公立／１５歳（人）,生徒数／公立／１６歳（人）,生徒数／公立／１７歳（人）,生徒数／公立／１８歳（人）,生徒数／公立／１９歳（人）,生徒数／公立／２０～２４歳（人）,生徒数／公立／２５～２９歳（人）,生徒数／公立／３０～３９歳（人）,生徒数／公立／４０～４９歳（人）,生徒数／公立／５０～５９歳（人）,生徒数／公立／６０歳以上（人）,生徒数／私立（人）,生徒数／私立／１５歳（人）,生徒数／私立／１６歳（人）,生徒数／私立／１７歳（人）,生徒数／私立／１８歳（人）,生徒数／私立／１９歳（人）,生徒数／私立／２０～２４歳（人）,生徒数／私立／２５～２９歳（人）,生徒数／私立／３０～３９歳（人）,生徒数／私立／４０～４９歳（人）,生徒数／私立／５０～５９歳（人）,生徒数／私立／６０歳以上（人）
総数（公・私立）,総数,総数（男・女）,10416,2438,2941,3435,730,269,343,67,86,55,24,28,1544,114,260,482,285,135,192,27,23,12,7,7,8872,2324,2681,2953,445,134,151,40,63,43,17,21
総数（公・私立）,総数,男,5513,1306,1584,1821,383,128,183,31,28,26,9,14,711,52,113,213,138,58,104,14,5,6,4,4,4802,1254,1471,1608,245,70,79,17,23,20,5,10
総数（公・私立）,総数,女,4903,1132,1357,1614,347,141,160,36,58,29,15,14,833,62,147,269,147,77,88,13,18,6,3,3,4070,1070,1210,1345,200,64,72,23,40,23,12,11
総数（公・私立）,普通（普通）,男,4750,1090,1335,1539,367,128,183,31,28,26,9,14,711,52,113,213,138,58,104,14,5,6,4,4,4039,1038,1222,1326,229,70,79,17,23,20,5,10
総数（公・私立）,普通（普通）,女,4817,1107,1332,1581,344,141,160,36,58,29,15,14,833,62,147,269,147,77,88,13,18,6,3,3,3984,1045,1185,1312,197,64,72,23,40,23,12,11
総数（公・私立）,普通（学際領域）,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,普通（学際領域）,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,普通（地域社会）,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,普通（地域社会）,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,普通（その他）,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,普通（その他）,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,農業　　,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,農業　　,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,工業　　,男,763,216,249,282,16,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,763,216,249,282,16,－,－,－,－,－,－,－
総数（公・私立）,工業　　,女,86,25,25,33,3,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,86,25,25,33,3,－,－,－,－,－,－,－
総数（公・私立）,商業　　,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,商業　　,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,水産　　,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,水産　　,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,家庭　　,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,家庭　　,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,看護　　,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,看護　　,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,情報　　,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,情報　　,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,福祉　　,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,福祉　　,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,その他　　　　,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（公・私立）,その他　　　　,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
８－２　高等学校（通信制）　通信制課程の学科、年齢別生徒数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注）生徒数には特科生は含まれていない。（特科生：高等学校通信教育規程附則第２項により、当該学校長が受講を許可した生徒）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
