"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","知っている（実際に見たことがある）[人]","知っているが、見たことはない[人]","知らなかったが、見てみたい[人]","知らないし、見たいとも思わない[人]","無回答[人]"
"202003","平和","Q27. 区では、平成17年に区立芝公園に「平和の灯（広島県広島市）」、「ナガサキ誓いの火（長崎県長崎市）」及び「平和の火（福岡県八女市）」の火を合わせた「平和の灯（ひ）」を設置しました。あなたは、この「平和の灯」を知っていますか。（１つ選択）","全体",,"658","95","51","382","120","10"
"202003","平和","Q27. 区では、平成17年に区立芝公園に「平和の灯（広島県広島市）」、「ナガサキ誓いの火（長崎県長崎市）」及び「平和の火（福岡県八女市）」の火を合わせた「平和の灯（ひ）」を設置しました。あなたは、この「平和の灯」を知っていますか。（１つ選択）","性・年代別","男性（計）","248","31","14","134","63","6"
"202003","平和","Q27. 区では、平成17年に区立芝公園に「平和の灯（広島県広島市）」、「ナガサキ誓いの火（長崎県長崎市）」及び「平和の火（福岡県八女市）」の火を合わせた「平和の灯（ひ）」を設置しました。あなたは、この「平和の灯」を知っていますか。（１つ選択）","性・年代別","男性 18～29歳","23","0","1","12","10","0"
"202003","平和","Q27. 区では、平成17年に区立芝公園に「平和の灯（広島県広島市）」、「ナガサキ誓いの火（長崎県長崎市）」及び「平和の火（福岡県八女市）」の火を合わせた「平和の灯（ひ）」を設置しました。あなたは、この「平和の灯」を知っていますか。（１つ選択）","性・年代別","男性 30～39歳","35","6","2","19","8","0"
"202003","平和","Q27. 区では、平成17年に区立芝公園に「平和の灯（広島県広島市）」、「ナガサキ誓いの火（長崎県長崎市）」及び「平和の火（福岡県八女市）」の火を合わせた「平和の灯（ひ）」を設置しました。あなたは、この「平和の灯」を知っていますか。（１つ選択）","性・年代別","男性 40～49歳","41","5","1","25","10","0"
"202003","平和","Q27. 区では、平成17年に区立芝公園に「平和の灯（広島県広島市）」、「ナガサキ誓いの火（長崎県長崎市）」及び「平和の火（福岡県八女市）」の火を合わせた「平和の灯（ひ）」を設置しました。あなたは、この「平和の灯」を知っていますか。（１つ選択）","性・年代別","男性 50～59歳","49","7","4","23","15","0"
"202003","平和","Q27. 区では、平成17年に区立芝公園に「平和の灯（広島県広島市）」、「ナガサキ誓いの火（長崎県長崎市）」及び「平和の火（福岡県八女市）」の火を合わせた「平和の灯（ひ）」を設置しました。あなたは、この「平和の灯」を知っていますか。（１つ選択）","性・年代別","男性 60～69歳","39","8","3","21","6","1"
"202003","平和","Q27. 区では、平成17年に区立芝公園に「平和の灯（広島県広島市）」、「ナガサキ誓いの火（長崎県長崎市）」及び「平和の火（福岡県八女市）」の火を合わせた「平和の灯（ひ）」を設置しました。あなたは、この「平和の灯」を知っていますか。（１つ選択）","性・年代別","男性 70歳以上","60","5","3","33","14","5"
"202003","平和","Q27. 区では、平成17年に区立芝公園に「平和の灯（広島県広島市）」、「ナガサキ誓いの火（長崎県長崎市）」及び「平和の火（福岡県八女市）」の火を合わせた「平和の灯（ひ）」を設置しました。あなたは、この「平和の灯」を知っていますか。（１つ選択）","性・年代別","男性 無回答","1","0","0","1","0","0"
"202003","平和","Q27. 区では、平成17年に区立芝公園に「平和の灯（広島県広島市）」、「ナガサキ誓いの火（長崎県長崎市）」及び「平和の火（福岡県八女市）」の火を合わせた「平和の灯（ひ）」を設置しました。あなたは、この「平和の灯」を知っていますか。（１つ選択）","性・年代別","女性（計）","400","62","36","243","56","3"
"202003","平和","Q27. 区では、平成17年に区立芝公園に「平和の灯（広島県広島市）」、「ナガサキ誓いの火（長崎県長崎市）」及び「平和の火（福岡県八女市）」の火を合わせた「平和の灯（ひ）」を設置しました。あなたは、この「平和の灯」を知っていますか。（１つ選択）","性・年代別","女性 18～29歳","28","8","0","11","9","0"
"202003","平和","Q27. 区では、平成17年に区立芝公園に「平和の灯（広島県広島市）」、「ナガサキ誓いの火（長崎県長崎市）」及び「平和の火（福岡県八女市）」の火を合わせた「平和の灯（ひ）」を設置しました。あなたは、この「平和の灯」を知っていますか。（１つ選択）","性・年代別","女性 30～39歳","65","9","5","41","10","0"
"202003","平和","Q27. 区では、平成17年に区立芝公園に「平和の灯（広島県広島市）」、「ナガサキ誓いの火（長崎県長崎市）」及び「平和の火（福岡県八女市）」の火を合わせた「平和の灯（ひ）」を設置しました。あなたは、この「平和の灯」を知っていますか。（１つ選択）","性・年代別","女性 40～49歳","95","13","6","62","14","0"
"202003","平和","Q27. 区では、平成17年に区立芝公園に「平和の灯（広島県広島市）」、「ナガサキ誓いの火（長崎県長崎市）」及び「平和の火（福岡県八女市）」の火を合わせた「平和の灯（ひ）」を設置しました。あなたは、この「平和の灯」を知っていますか。（１つ選択）","性・年代別","女性 50～59歳","82","11","9","50","12","0"
"202003","平和","Q27. 区では、平成17年に区立芝公園に「平和の灯（広島県広島市）」、「ナガサキ誓いの火（長崎県長崎市）」及び「平和の火（福岡県八女市）」の火を合わせた「平和の灯（ひ）」を設置しました。あなたは、この「平和の灯」を知っていますか。（１つ選択）","性・年代別","女性 60～69歳","55","7","6","36","5","1"
"202003","平和","Q27. 区では、平成17年に区立芝公園に「平和の灯（広島県広島市）」、「ナガサキ誓いの火（長崎県長崎市）」及び「平和の火（福岡県八女市）」の火を合わせた「平和の灯（ひ）」を設置しました。あなたは、この「平和の灯」を知っていますか。（１つ選択）","性・年代別","女性 70歳以上","75","14","10","43","6","2"
"202003","平和","Q27. 区では、平成17年に区立芝公園に「平和の灯（広島県広島市）」、「ナガサキ誓いの火（長崎県長崎市）」及び「平和の火（福岡県八女市）」の火を合わせた「平和の灯（ひ）」を設置しました。あなたは、この「平和の灯」を知っていますか。（１つ選択）","性・年代別","女性 無回答","0","0","0","0","0","0"
"202003","平和","Q27. 区では、平成17年に区立芝公園に「平和の灯（広島県広島市）」、「ナガサキ誓いの火（長崎県長崎市）」及び「平和の火（福岡県八女市）」の火を合わせた「平和の灯（ひ）」を設置しました。あなたは、この「平和の灯」を知っていますか。（１つ選択）","性・年代別","無回答","10","2","1","5","1","1"
