"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","的確に提供されている[人]","まあ的確に提供されている[人]","あまり的確に提供されていない[人]","的確に提供されていない[人]","わからない[人]","無回答[人]"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","全体",,"558","96","300","40","19","100","3"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","男性（計）","231","38","119","20","8","46","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","男性 18～29歳","13","3","5","2","0","3","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","男性 30～39歳","38","1","18","3","2","14","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","男性 40～49歳","50","9","21","8","1","11","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","男性 50～59歳","47","12","25","2","1","7","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","男性 60～69歳","42","5","25","5","2","5","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","男性 70歳以上","40","8","24","0","2","6","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","男性 無回答","1","0","1","0","0","0","0"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","女性（計）","313","57","176","19","11","48","2"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","女性 18～29歳","26","2","16","2","0","5","1"
"202203","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","女性 30～39歳","49","7","28","3","1","10","0"
