 3-(1)海上出入貨物月別前年比較表,,,,,,,,,,(単位：トン）,,,,,,,,,,(単位：トン）
月,令和元年(2019年),,,,,,,,,,平成30年(2018年),,,,,,,,,
,合計,外貿,,,（外貿コンテナ）,,,内貿,,,合計,外貿,,,（外貿コンテナ）,,,内貿,,
,,計,輸出,輸入,計,輸出,輸入,計,移出,移入,,計,輸出,輸入,計,輸出,輸入,計,移出,移入
１月　,"6,993,483","3,853,638","805,196","3,048,442","3,719,222","770,131","2,949,091","3,139,845","1,122,618","2,017,227","7,134,542","3,972,814","906,141","3,066,673","3,841,822","877,238","2,964,584","3,161,728","1,232,454","1,929,274"
,98.0%,97.0%,88.9%,99.4%,96.8%,87.8%,99.5%,99.3%,91.1%,104.6%,,,,,,,,,,
２月　,"6,882,062","3,591,864","1,041,631","2,550,233","3,453,484","989,585","2,463,899","3,290,198","1,215,286","2,074,912","7,396,227","3,972,839","1,042,705","2,930,134","3,844,838","995,923","2,848,915","3,423,388","1,298,038","2,125,350"
,93.0%,90.4%,99.9%,87.0%,89.8%,99.4%,86.5%,96.1%,93.6%,97.6%,,,,,,,,,,
３月　,"7,912,306","4,196,241","1,092,793","3,103,448","4,059,024","1,055,130","3,003,894","3,716,065","1,413,344","2,302,721","7,627,504","3,830,576","1,144,444","2,686,132","3,684,261","1,120,064","2,564,197","3,796,928","1,487,102","2,309,826"
,103.7%,109.5%,95.5%,115.5%,110.2%,94.2%,117.1%,97.9%,95.0%,99.7%,,,,,,,,,,
４月　,"7,605,967","4,200,122","1,174,212","3,025,910","3,997,223","1,124,826","2,872,397","3,405,845","1,263,957","2,141,888","7,840,215","4,245,494","1,157,668","3,087,826","3,997,288","1,094,295","2,902,993","3,594,721","1,383,274","2,211,447"
,97.0%,98.9%,101.4%,98.0%,100.0%,102.8%,98.9%,94.7%,91.4%,96.9%,,,,,,,,,,
５月　,"6,867,500","3,814,020","904,827","2,909,193","3,669,077","868,294","2,800,783","3,053,480","1,158,488","1,894,992","7,494,854","4,164,013","1,065,224","3,098,789","4,004,103","1,028,948","2,975,155","3,330,841","1,268,768","2,062,073"
,91.6%,91.6%,84.9%,93.9%,91.6%,84.4%,94.1%,91.7%,91.3%,91.9%,,,,,,,,,,
６月　,"7,513,819","4,134,598","1,162,097","2,972,501","3,989,472","1,108,206","2,881,266","3,379,221","1,322,104","2,057,117","7,760,119","4,190,902","1,223,614","2,967,288","4,008,943","1,156,956","2,851,987","3,569,217","1,372,420","2,196,797"
,96.8%,98.7%,95.0%,100.2%,99.5%,95.8%,101.0%,94.7%,96.3%,93.6%,,,,,,,,,,
７月　,"7,921,074","4,364,836","1,106,244","3,258,592","4,239,659","1,066,185","3,173,474","3,556,238","1,402,449","2,153,789","7,682,614","4,159,236","1,121,348","3,037,888","4,028,310","1,086,418","2,941,892","3,523,378","1,311,671","2,211,707"
,103.1%,104.9%,98.7%,107.3%,105.2%,98.1%,107.9%,100.9%,106.9%,97.4%,,,,,,,,,,
８月　,"6,983,566","3,935,405","969,787","2,965,618","3,758,692","905,881","2,852,811","3,048,161","1,180,303","1,867,858","7,368,390","4,169,778","1,108,510","3,061,268","4,012,586","1,067,137","2,945,449","3,198,612","1,189,529","2,009,083"
,94.8%,94.4%,87.5%,96.9%,93.7%,84.9%,96.9%,95.3%,99.2%,93.0%,,,,,,,,,,
９月　,"7,247,832","4,150,213","1,097,249","3,052,964","4,000,361","1,084,229","2,916,132","3,097,619","1,227,506","1,870,113","7,514,543","4,220,122","1,137,416","3,082,706","4,081,548","1,076,331","3,005,217","3,294,421","1,246,077","2,048,344"
,96.5%,98.3%,96.5%,99.0%,98.0%,100.7%,97.0%,94.0%,98.5%,91.3%,,,,,,,,,,
１０月　,"7,199,497","3,987,988","1,071,106","2,916,882","3,820,983","985,010","2,835,973","3,211,509","1,260,752","1,950,757","8,045,082","4,343,787","1,143,852","3,199,935","4,182,707","1,103,741","3,078,966","3,701,295","1,396,284","2,305,011"
,89.5%,91.8%,93.6%,91.2%,91.4%,89.2%,92.1%,86.8%,90.3%,84.6%,,,,,,,,,,
１１月　,-,-,-,-,-,-,-,-,-,-,"7,975,414","4,397,169","1,066,839","3,330,330","4,269,937","1,039,908","3,230,029","3,578,245","1,328,675","2,249,570"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
１２月　,-,-,-,-,-,-,-,-,-,-,"7,703,952","4,159,065","1,170,897","2,988,168","4,025,626","1,123,452","2,902,174","3,544,887","1,237,130","2,307,757"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
累計,"73,127,106","40,228,925","10,425,142","29,803,783","38,707,197","9,957,477","28,749,720","32,898,181","12,566,807","20,331,374","91,543,456","49,825,795","13,288,658","36,537,137","47,981,969","12,770,411","35,211,558","41,717,661","15,751,422","25,966,239"
,96.4%,97.5%,94.3%,98.6%,97.5%,93.9%,98.9%,95.1%,95.3%,95.0%,,,,,,,,,,
前年累計,"75,864,090","41,269,561","11,050,922","30,218,639","39,686,406","10,607,051","29,079,355","34,594,529","13,185,617","21,408,912",,,,,,,,,,
増(－)減,"-2,736,984","-1,040,636","-625,780","-414,856","-979,209","-649,574","-329,635","-1,696,348","-618,810","-1,077,538",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
（注）下段：前年同月比％,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
