 2-(4)入港船舶係留施設別表,,,,,,,,,,,,単位：隻、総トン
係留施設,合計,,,,外航船,,,,内航船,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,829 ","14,399,404 ","19,455 ","149,828,714 ",420 ,"10,640,918 ","4,346 ","111,663,184 ","1,409 ","3,758,486 ","15,109 ","38,165,530 "
公共計,914 ,"5,163,552 ","9,723 ","54,829,647 ",160 ,"2,229,141 ","1,717 ","25,308,732 ",754 ,"2,934,411 ","8,006 ","29,520,915 "
ドルフィン,4 ,"2,493 ",44 ,"28,371 ",-,-,-,-,4 ,"2,493 ",44 ,"28,371 "
芝浦ふ頭,34 ,"68,257 ",313 ,"782,921 ",-,-,-,-,34 ,"68,257 ",313 ,"782,921 "
芝浦物揚場,22 ,"10,129 ",244 ,"111,435 ",-,-,-,-,22 ,"10,129 ",244 ,"111,435 "
日の出ふ頭,7 ,"5,297 ",72 ,"53,948 ",-,-,-,-,7 ,"5,297 ",72 ,"53,948 "
竹芝ふ頭,137 ,"352,534 ","1,666 ","3,630,839 ",-,-,-,-,137 ,"352,534 ","1,666 ","3,630,839 "
品川岸壁,139 ,"1,542,661 ","1,424 ","15,465,087 ",73 ,"739,536 ",736 ,"7,419,628 ",66 ,"803,125 ",688 ,"8,045,459 "
 品川コンテナ,78 ,"745,126 ",766 ,"7,083,248 ",73 ,"739,536 ",707 ,"7,024,712 ",5 ,"5,590 ",59 ,"58,536 "
 品川外貿,-,-,29 ,"394,916 ",-,-,29 ,"394,916 ",-,-,-,-
 品川内貿,61 ,"797,535 ",629 ,"7,986,923 ",-,-,-,-,61 ,"797,535 ",629 ,"7,986,923 "
晴海ふ頭,17 ,"222,423 ",87 ,"1,472,937 ",6 ,"139,721 ",34 ,"1,237,446 ",11 ,"82,702 ",53 ,"235,491 "
月島ふ頭,6 ,"2,330 ",37 ,"12,977 ",-,-,-,-,6 ,"2,330 ",37 ,"12,977 "
漁業基地,2 ,"2,872 ",23 ,"36,880 ",-,-,1 ,"1,211 ",2 ,"2,872 ",22 ,"35,669 "
10号西岸壁,62 ,"675,367 ",685 ,"7,470,128 ",-,-,-,-,62 ,"675,367 ",685 ,"7,470,128 "
10号東岸壁,35 ,"15,080 ",309 ,"135,884 ",-,-,-,-,35 ,"15,080 ",309 ,"135,884 "
東京港フェリーふ頭,29 ,"366,444 ",289 ,"3,651,804 ",-,-,-,-,29 ,"366,444 ",289 ,"3,651,804 "
多目的ふ頭,3 ,"17,384 ",23 ,"69,100 ",-,-,1 ,"1,920 ",3 ,"17,384 ",22 ,"67,180 "
辰巳ふ頭,45 ,"19,648 ",771 ,"276,144 ",-,-,-,-,45 ,"19,648 ",771 ,"276,144 "
青海コンテナふ頭（公共）,118 ,"1,294,103 ","1,301 ","15,054,878 ",74 ,"1,256,552 ",837 ,"14,640,652 ",44 ,"37,551 ",464 ,"414,226 "
有明ふ頭,8 ,"5,608 ",60 ,"46,778 ",-,-,-,-,8 ,"5,608 ",60 ,"46,778 "
大井水産物ふ頭,1 ,379 ,6 ,"418,940 ",-,-,5 ,"418,561 ",1 ,379 ,1 ,379 
大井食品ふ頭（OL）,14 ,"49,599 ",188 ,"626,579 ",2 ,"47,511 ",27 ,"600,972 ",12 ,"2,088 ",161 ,"25,607 "
大井食品ふ頭（OM）,4 ,"35,892 ",47 ,"425,230 ",4 ,"35,892 ",47 ,"425,230 ",-,-,-,-
大井食品ふ頭（ON）,-,-,6 ,"59,126 ",-,-,5 ,"58,924 ",-,-,1 ,202 
若洲内貿ふ頭,12 ,"120,408 ",117 ,"1,173,978 ",-,-,-,-,12 ,"120,408 ",117 ,"1,173,978 "
15号地木材ふ頭,-,-,38 ,"237,550 ",-,-,7 ,"231,032 ",-,-,31 ,"6,518 "
若洲建材ふ頭,42 ,"23,555 ",403 ,"230,073 ",-,-,-,-,42 ,"23,555 ",403 ,"230,073 "
大井建材ふ頭,84 ,"47,837 ",788 ,"455,175 ",-,-,-,-,84 ,"47,837 ",788 ,"455,175 "
城南島建設発生土ふ頭,48 ,"34,939 ",412 ,"279,904 ",-,-,-,-,48 ,"34,939 ",412 ,"279,904 "
中央防波堤内側ばら物ふ頭,4 ,"11,057 ",50 ,"318,598 ",1 ,"9,929 ",17 ,"273,156 ",3 ,"1,128 ",33 ,"45,442 "
中央防波堤内側建設発生土ふ頭,11 ,"13,302 ",45 ,"61,256 ",-,-,-,-,11 ,"13,302 ",45 ,"61,256 "
中央防波堤内側内貿ふ頭,20 ,"211,617 ",205 ,"2,169,816 ",-,-,-,-,20 ,"211,617 ",205 ,"2,169,816 "
官公庁（晴海）,4 ,"8,520 ",17 ,"38,865 ",-,-,-,-,4 ,"8,520 ",17 ,"38,865 "
官公庁（月島）,-,-,42 ,"8,156 ",-,-,-,-,-,-,42 ,"8,156 "
官公庁（有明）,2 ,"3,817 ",11 ,"26,290 ",-,-,-,-,2 ,"3,817 ",11 ,"26,290 "
東京港埠頭㈱計,360 ,"8,339,500 ","3,714 ","85,677,336 ",235 ,"8,136,994 ","2,379 ","83,513,842 ",125 ,"202,506 ","1,335 ","2,163,494 "
青海コンテナふ頭(埠頭㈱),76 ,"1,893,928 ",756 ,"19,267,431 ",62 ,"1,879,970 ",636 ,"19,149,331 ",14 ,"13,958 ",120 ,"118,100 "
お台場ライナーふ頭,26 ,"267,583 ",337 ,"2,458,174 ",13 ,"198,318 ",113 ,"1,687,835 ",13 ,"69,265 ",224 ,"770,339 "
大井コンテナふ頭,258 ,"6,177,989 ","2,621 ","63,951,731 ",160 ,"6,058,706 ","1,630 ","62,676,676 ",98 ,"119,283 ",991 ,"1,275,055 "
民間計,555 ,"896,352 ","6,018 ","9,321,731 ",25 ,"274,783 ",250 ,"2,840,610 ",530 ,"621,569 ","5,768 ","6,481,121 "
(注) 実績の無いけい留施設は表示なし,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
