（輸出）,, 5-(2)外貿コンテナ貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"985,010",89.2%,"9,957,477",93.9%,100.0%
1,アメリカ,"230,324",87.5%,"2,537,725",109.0%,25.5%
2,中国,"247,502",79.1%,"2,499,226",83.6%,25.1%
,(香港),"34,879",87.4%,"343,045",87.0%,3.4%
3,タイ,"77,493",128.7%,"676,389",89.4%,6.8%
4,ベトナム,"82,190",180.0%,"601,031",127.3%,6.0%
5,台湾,"56,094",101.0%,"476,639",91.7%,4.8%
6,オランダ,"38,328",76.7%,"410,074",90.9%,4.1%
7,韓国,"33,347",79.4%,"363,505",86.6%,3.7%
8,マレーシア,"34,012",74.3%,"346,311",78.9%,3.5%
9,インドネシア,"30,778",76.2%,"340,642",93.3%,3.4%
10,インド,"26,225",71.9%,"302,420",103.9%,3.0%
11,ドイツ,"17,019",71.0%,"198,771",97.5%,2.0%
12,フィリピン,"20,238",105.9%,"189,381",92.7%,1.9%
13,シンガポール,"18,308",100.3%,"181,854",91.2%,1.8%
14,イギリス,"11,857",82.8%,"123,679",84.1%,1.2%
15,カナダ,"8,895",81.8%,"106,322",83.4%,1.1%
16,ロシア,"5,633",107.1%,"76,530",104.0%,0.8%
17,ブラジル,"5,408",86.3%,"56,205",92.1%,0.6%
18,アラブ首長国,"4,132",98.7%,"55,495",96.4%,0.6%
19,フランス,"3,714",64.9%,"46,911",81.6%,0.5%
20,オーストラリア,"5,012",94.7%,"42,043",97.0%,0.4%
,その他,"28,501",74.5%,"326,324",81.4%,3.3%
,,,,,,
