"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","高校生世代の長崎・広島への派遣研修[人]","被爆都市との交流イベント[人]","学校、職場への平和啓発掲示物等の配布[人]","区内の平和関連史跡を活用した取組[人]","平和を祈念したコンサート等イベント開催[人]","戦争体験者との交流会[人]","その他[人]"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","全体",,"558","221","152","126","131","99","248","45"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","性・年代別","男性（計）","231","81","62","57","60","32","95","27"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","性・年代別","男性 18～29歳","13","3","4","4","6","1","7","0"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","性・年代別","男性 30～39歳","38","18","7","4","9","5","14","7"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","性・年代別","男性 40～49歳","50","18","11","9","12","8","22","8"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","性・年代別","男性 50～59歳","47","14","14","12","19","6","25","4"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","性・年代別","男性 60～69歳","42","12","14","17","4","6","12","4"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","性・年代別","男性 70歳以上","40","16","12","10","10","5","14","4"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","性・年代別","男性 無回答","1","0","0","1","0","1","1","0"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","性・年代別","女性（計）","313","140","90","68","70","66","152","17"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","性・年代別","女性 18～29歳","26","11","5","6","5","8","6","1"
"202203","平和","Q23. 2020 年に被爆 75 周年を迎え、戦争を知らない世代が増えています。若年層（10～30 代）に対し、戦争の悲惨さや平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","性・年代別","女性 30～39歳","49","26","19","15","15","14","23","1"
