年次,Year,地域階層,地域コード,地域,District,第1号被保険者数 (1月末) Primary insured persons (as of the end of  January),要介護(要支援)認定者数 (1月末) Persons certified for LTC/support (as of the end of January) ／第1号 Primary,要介護(要支援)認定者数 (1月末) Persons certified for LTC/support (as of the end of January) ／第2号 Secondary,居宅介護(支援)サービス受給者数 (3月分) Recipients of in-home LTC services (for March)／第1号 Primary,居宅介護(支援)サービス受給者数 (3月分) Recipients of in-home LTC services (for March)／第2号 Secondary,地域密着型サービス受給者数 (3月分) Recipient of communitybased LTC services (for March)／第1号 Primary,地域密着型サービス受給者数 (3月分) Recipient of communitybased LTC services (for March)／第2号 Secondary,施設介護サービス受給者数 (3月分) Recipients of LTC services in facilities (for March)／第1号 Primary,施設介護サービス受給者数 (3月分) Recipient of long-term care facilities (for March)／第2号 Secondary
平成29,2017,0,13000,総数,Tokyo-to,3093161,577522,12603,340684,8137,69954,1339,73137,844
平成30,2018,0,13000,総数,Tokyo-to,3115904,592011,12762,352584,8298,71646,1293,74263,824
令和元,2019,0,13000,総数,Tokyo-to,3135649,605996,12886,364005,8428,71416,1230,75635,789
令和元,2019,1,13100,区部,All ku,2065905,407830,8521,250300,5551,49784,852,47108,498
令和元,2019,2,13101,千代田区,Chiyoda-ku,11228,2231,35,1404,21,298,5,224,2
令和元,2019,2,13102,中央区,Chuo-ku,25233,5038,143,2951,88,771,23,491,7
令和元,2019,2,13103,港区,Minato-ku,44778,9096,174,5559,124,559,15,1084,7
令和元,2019,2,13104,新宿区,Shinjuku-ku,68927,13817,238,8399,165,1734,31,1632,16
令和元,2019,2,13105,文京区,Bunkyo-ku,43885,8420,187,5411,124,1029,19,937,5
令和元,2019,2,13106,台東区,Taito-ku,46755,10066,215,5915,131,1060,15,1236,10
令和元,2019,2,13107,墨田区,Sumida-ku,61872,11692,248,7256,163,1755,32,1606,16
令和元,2019,2,13108,江東区,Koto-ku,113432,20306,465,11490,294,2036,33,2455,33
令和元,2019,2,13109,品川区,Shinagawa-ku,82835,15370,351,10041,225,1577,30,1858,20
令和元,2019,2,13110,目黒区,Meguro-ku,56043,12016,213,7588,158,1592,28,1261,7
令和元,2019,2,13111,大田区,Ota-ku,167279,30069,677,21351,429,4603,78,2961,46
令和元,2019,2,13112,世田谷区,Setagaya-ku,185379,39425,771,25365,519,5339,70,3608,28
令和元,2019,2,13113,渋谷区,Shibuya-ku,43549,8855,215,5328,133,663,17,1005,12
令和元,2019,2,13114,中野区,Nakano-ku,68704,13068,213,8526,141,1814,19,1436,15
令和元,2019,2,13115,杉並区,Suginami-ku,120787,24838,464,15165,303,3835,71,2791,20
令和元,2019,2,13116,豊島区,Toshima-ku,58259,11713,191,6963,141,1193,19,1412,5
令和元,2019,2,13117,北区,Kita-ku,88476,18361,381,10650,234,1671,27,2212,25
令和元,2019,2,13118,荒川区,Arakawa-ku,50653,9286,226,5866,154,1180,23,1247,18
令和元,2019,2,13119,板橋区,Itabashi-ku,132423,25578,468,14777,303,2574,42,3008,27
令和元,2019,2,13120,練馬区,Nerima-ku,161481,34037,663,20645,448,4121,76,4281,44
令和元,2019,2,13121,足立区,Adachi-ku,171390,35803,829,19872,482,3804,43,4781,57
令和元,2019,2,13122,葛飾区,Katsushika-ku,114360,22435,466,13912,332,3130,58,2767,31
令和元,2019,2,13123,江戸川区,Edogawa-ku,148177,26310,688,15866,439,3446,78,2815,47
令和元,2019,1,13200,市部,All shi,1042997,193702,4269,111519,2822,21200,372,27398,281
令和元,2019,2,13201,八王子市,Hachioji-shi,150421,27992,594,14809,389,3473,64,3645,42
令和元,2019,2,13202,立川市,Tachikawa-shi,44722,8414,203,4823,134,1023,16,1258,13
令和元,2019,2,13203,武蔵野市,Musashino-shi,32835,6414,132,3880,90,553,10,993,9
令和元,2019,2,13204,三鷹市,Mitaka-shi,41113,7632,169,4695,122,860,17,950,9
令和元,2019,2,13205,青梅市,Ome-shi,38678,5898,163,2785,100,500,11,1301,12
令和元,2019,2,13206,府中市,Fuchu-shi,57297,11067,254,6212,156,1064,20,1425,15
令和元,2019,2,13207,昭島市,Akishima-shi,29408,5397,137,3089,101,681,12,987,11
令和元,2019,2,13208,調布市,Chofu-shi,51158,10226,204,5984,141,864,10,1208,8
令和元,2019,2,13209,町田市,Machida-shi,114777,21448,430,12782,305,2498,38,2858,29
令和元,2019,2,13210,小金井市,Koganei-shi,26204,5251,106,3100,71,675,12,689,8
令和元,2019,2,13211,小平市,Kodaira-shi,45129,9171,200,5052,118,884,14,1072,14
令和元,2019,2,13212,日野市,Hino-shi,46272,9079,183,4995,127,865,22,1236,16
令和元,2019,2,13213,東村山市,Higashimurayama-shi,39971,8116,211,4728,145,925,22,1267,15
令和元,2019,2,13214,国分寺市,Kokubunji-shi,27625,5436,108,3225,71,751,15,655,4
令和元,2019,2,13215,国立市,Kunitachi-shi,17871,3590,79,2044,50,394,8,449,2
令和元,2019,2,13218,福生市,Fussa-shi,14864,2269,65,1310,37,172,3,483,7
令和元,2019,2,13219,狛江市,Komae-shi,20105,4197,79,2664,54,438,8,483,4
令和元,2019,2,13220,東大和市,Higashiyamato-shi,23157,4303,83,2389,48,281,3,611,5
令和元,2019,2,13221,清瀬市,Kiyose-shi,20876,4369,92,2621,42,372,9,655,10
令和元,2019,2,13222,東久留米市,Higashikurume-shi,33268,6134,112,3622,76,617,8,813,6
令和元,2019,2,13223,武蔵村山市,Musashimurayama-shi,18950,2807,77,1663,53,337,8,500,7
令和元,2019,2,13224,多摩市,Tama-shi,42301,5756,146,3843,106,695,7,797,10
令和元,2019,2,13225,稲城市,Inagi-shi,19427,2792,88,1637,61,373,6,427,5
令和元,2019,2,13227,羽村市,Hamura-shi,14311,2160,52,1122,26,145,2,414,2
令和元,2019,2,13228,あきる野市,Akiruno-shi,23230,3575,78,1839,50,342,10,885,9
令和元,2019,2,13229,西東京市,Nishitokyo-shi,49027,10209,224,6606,149,1418,17,1337,9
令和元,2019,1,13300,郡部,All gun,17731,2740,67,1302,43,232,3,734,8
令和元,2019,1,13350,島部,All islands,9016,1724,29,884,12,200,3,395,2
,,,,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,
18-9  介護保険被保険者数 ・認定者・受給者の状況（平成29～令和元年度） 18-9  PERSONS INSURED BY LONG-TERM CARE (LTC) INSURANCE， CERTIFIED FOR LTC/SUPPORT， AND BENEFICIARIES OF LTC SERVICES ( Fiscal Years 2017-2019 ) ,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG    ,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,
