男女別階層,男女,Gender,年齢別階層,年齢(歳),Age(years old),総数 Total,脳血管疾患 Cerebro-vascular disease,悪性新生物〈腫瘍〉Malignant neoplasm,心疾患 Heart diseases,肺炎 Pneumonia ,肝疾患 Liver disease,老衰 Senility,不慮の事故 Unforeseen accident,自殺 Suicide,その他の全死因 All other causes of death
0,総数 ,Total,0,総数,Total,120870,8873,34082,18473,8158,1827,10534,2914,1920,34089
0,総数 ,Total,1,0～14,0-14,282,3,27,12,7,1,-,12,11,209
0,総数 ,Total,1,15～19,15-19,111,1,11,2,-,-,-,9,68,20
0,総数 ,Total,1,20～24,20-24,201,1,7,4,1,1,-,27,118,42
0,総数 ,Total,1,25～29,25-29,226,1,15,9,2,3,-,19,133,44
0,総数 ,Total,1,30～34,30-34,328,11,47,16,-,13,-,19,138,84
0,総数 ,Total,1,35～39,35-39,496,28,133,37,5,19,-,36,138,100
0,総数 ,Total,1,40～44,40-44,786,65,222,79,8,50,-,36,141,185
0,総数 ,Total,1,45～49,45-49,1486,161,493,157,14,91,-,53,202,315
0,総数 ,Total,1,50～54,50-54,2279,205,838,285,26,147,-,74,193,511
0,総数 ,Total,1,55～59,55-59,2850,225,1212,315,52,166,-,84,150,646
0,総数 ,Total,1,60～64,60-64,3815,243,1764,463,116,164,-,98,110,857
0,総数 ,Total,1,65～69,65-69,6963,439,3215,867,195,227,10,181,121,1708
0,総数 ,Total,1,70～74,70-74,10642,697,4734,1440,402,224,61,238,146,2700
0,総数 ,Total,1,75～79,75-79,15286,1182,5953,2111,839,231,282,346,111,4231
0,総数 ,Total,1,80～,80 and over,75118,5611,15411,12675,6491,490,10181,1682,140,22437
0,総数 ,Total,1,不詳,Unreported,1,-,-,1,-,-,-,-,-,-
1,男 ,Male,0,総数,Total,63222,4461,19833,9183,4678,1299,2725,1665,1279,18099
1,男 ,Male,1,0～14,0-14,151,-,20,5,3,1,-,7,4,111
1,男 ,Male,1,15～19,15-19,76,1,7,1,-,-,-,8,47,12
1,男 ,Male,1,20～24,20-24,135,1,5,4,-,-,-,22,77,26
1,男 ,Male,1,25～29,25-29,134,1,11,7,1,2,-,14,70,28
1,男 ,Male,1,30～34,30-34,211,6,23,13,-,8,-,13,96,52
1,男 ,Male,1,35～39,35-39,292,15,43,29,4,15,-,28,90,68
1,男 ,Male,1,40～44,40-44,498,43,93,58,5,36,-,27,102,134
1,男 ,Male,1,45～49,45-49,918,118,196,126,9,71,-,36,139,223
1,男 ,Male,1,50～54,50-54,1508,147,409,249,16,113,-,56,140,378
1,男 ,Male,1,55～59,55-59,1927,153,679,260,41,143,-,61,98,492
1,男 ,Male,1,60～64,60-64,2649,180,1080,365,89,141,-,65,75,654
1,男 ,Male,1,65～69,65-69,4952,314,2120,676,159,187,3,126,85,1282
1,男 ,Male,1,70～74,70-74,7280,461,3158,1019,295,178,40,171,97,1861
1,男 ,Male,1,75～79,75-79,9751,733,3826,1338,605,166,145,196,75,2667
1,男 ,Male,1,80～,80 and over,32739,2288,8163,5032,3451,238,2537,835,84,10111
1,男 ,Male,1,不詳,Unreported,1,-,-,1,-,-,-,-,-,-
1,女 ,Female,0,総数,Total,57648,4412,14249,9290,3480,528,7809,1249,641,15990
1,女 ,Female,1,0～14,0-14,131,3,7,7,4,-,-,5,7,98
1,女 ,Female,1,15～19,15-19,35,-,4,1,-,-,-,1,21,8
1,女 ,Female,1,20～24,20-24,66,-,2,-,1,1,-,5,41,16
1,女 ,Female,1,25～29,25-29,92,-,4,2,1,1,-,5,63,16
1,女 ,Female,1,30～34,30-34,117,5,24,3,-,5,-,6,42,32
1,女 ,Female,1,35～39,35-39,204,13,90,8,1,4,-,8,48,32
1,女 ,Female,1,40～44,40-44,288,22,129,21,3,14,-,9,39,51
1,女 ,Female,1,45～49,45-49,568,43,297,31,5,20,-,17,63,92
1,女 ,Female,1,50～54,50-54,771,58,429,36,10,34,-,18,53,133
1,女 ,Female,1,55～59,55-59,923,72,533,55,11,23,-,23,52,154
1,女 ,Female,1,60～64,60-64,1166,63,684,98,27,23,-,33,35,203
1,女 ,Female,1,65～69,65-69,2011,125,1095,191,36,40,7,55,36,426
1,女 ,Female,1,70～74,70-74,3362,236,1576,421,107,46,21,67,49,839
1,女 ,Female,1,75～79,75-79,5535,449,2127,773,234,65,137,150,36,1564
1,女 ,Female,1,80～,80 and over,42379,3323,7248,7643,3040,252,7644,847,56,12326
1,女 ,Female,1,不詳,Unreported,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,
19-4  年齢(5歳階級)，主要死因別死亡数 (平成31・令和元年) 19-4  DEATHS BY AGE ( FIVE-YEAR GROUPS ) AND PRINCIPAL CAUSES ( 2019 ),,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,
男女別階層（0:総数　1:男・女）,,,,,,,,,,,,,,,
年齢階層（0:総数　1:各年齢）,,,,,,,,,,,,,,,
