年次,Year,原因,Cause,区分,Classification,発生件数 Accidents／総数 Total,発生件数 Accidents／死亡事故 Killed,発生件数 Accidents／重傷事故 Serious injury,発生件数 Accidents／軽傷事故 Minor injury,死傷者数 Killed or injured／総数 Total,死傷者数 Killed or injured／死者 Killed,死傷者数 Killed or injured／重傷者 Serious injury,死傷者数 Killed or injured／軽傷者 Minor injury
平成27,2015,総数,Total,,,190,31,21,138,202,31,25,146
平成28,2016,総数,Total,,,129,18,17,94,147,18,18,111
平成29,2017,総数,Total,,,186,30,54,102,199,30,57,112
平成30,2018,総数,Total,,,141,19,37,85,152,19,40,93
平成31･令和元,2019,総数,Total,,,179,15,39,125,197,15,42,140
平成31･令和元,2019,信号無視,Ignoring traffic light signals,,,68,5,16,47,73,5,16,52
平成31･令和元,2019,通行区分,Lane violation,左側通行,Walking on the left side of the road,1,-,-,1,1,-,-,1
平成31･令和元,2019,通行区分,Lane violation,車道通行,Walking on roadways,2,-,-,2,3,-,-,3
平成31･令和元,2019,通行区分,Lane violation,その他,Others,-,-,-,-,-,-,-,-
平成31･令和元,2019,横断,Crossing,横断歩道外横断,Crossing outside pedestrian crossings,15,1,2,12,16,1,2,13
平成31･令和元,2019,横断,Crossing,斜め横断,Diagonal crossing,4,-,-,4,4,-,-,4
平成31･令和元,2019,横断,Crossing,駐停車車両の直前直後,Crossing immediately in front of or behind a parked vehicle,-,-,-,-,-,-,-,-
平成31･令和元,2019,横断,Crossing,走行車両の直前直後,Crossing immediately in front of or behind a vehicle in motion,2,-,1,1,3,-,1,2
平成31･令和元,2019,横断,Crossing,横断禁止場所横断,Crossing at prohibited places,41,3,12,26,48,3,13,32
平成31･令和元,2019,幼児のひとり歩き,Toddlers walking alone,,,3,-,-,3,4,-,-,4
平成31･令和元,2019,踏切不注意,Lack of caution at railroad crossings,,,2,1,1,-,2,1,1,-
平成31･令和元,2019,道路における禁止行為,Prohibited acts on roads,めいていはいかい，寝そべり等,Drunk， wandering， lying on the road， etc.,3,1,1,1,3,1,1,1
平成31･令和元,2019,道路における禁止行為,Prohibited acts on roads,路上遊戯,Playing on road,3,-,-,3,3,-,-,3
平成31･令和元,2019,無許可道路使用,Use of roads without permission,路上作業,Working on roads,-,-,-,-,-,-,-,-
平成31･令和元,2019,飛び出し,Rushing out into the street　,,,23,1,2,20,23,1,2,20
平成31･令和元,2019,その他の違反,Others,,,8,2,1,5,8,2,1,5
平成31･令和元,2019,調査不能,Cause undetermined,,,4,1,3,-,6,1,5,-
,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,
20-14  歩行者がわの事故原因による人身事故発生件数及び死傷者数 （平成27～平成31･令和元年） 20-14 TRAFFIC ACCIDENTS CAUSED BY PEDESTRIANS RESULTING IN INJURY OR DEATH AND PERSONS KILLED OR INJURED IN THE ACCIDENTS ( 2015-2019 ),,,,,,,,,,,,,
注 1) 発生件数及び死傷者数とも第1当事者からみた数である。,,,,,,,,,,,,,
2) 第1当事者とは，過失（違反）がより重いか又は過失（違反）が同程度の場合にあっては，被害がより小さい方の当事者をいう。,,,,,,,,,,,,,
3) 調査不能とは，違反行為の種別が不明な場合をいう。,,,,,,,,,,,,,
"Note: 1) ""Accidents"" and ""Killed or injured"" are counted from the first party perspective.",,,,,,,,,,,,,
2) The party whose degree of negligence (violation) is more serious than the other party is the first party. When the degree of negligence (violation) is the same， the party that suffers less damage is the first party.,,,,,,,,,,,,,
"3) ""Cause undetermined"" refers to cases for which the kind of violation committed is unknown.",,,,,,,,,,,,,
資料：警視庁総務部文書課 「警視庁の統計」 Source: Metropolitan Police Department， TMG,,,,,,,,,,,,,
