年度,Fiscal year,月次 ,Month,受給者実人員 Beneficiaries／総数 Total,受給者実人員 Beneficiaries／男 Male,受給者実人員 Beneficiaries／女 Female,雇用保険支給金額 Benefits paid／総数Total,雇用保険支給金額 Benefits paid／男Male,雇用保険支給金額 Benefits paid／女Female,1人1か月当たり平均支給金額 (円) Average monthly benefits per person (yen)
平成27,2015,総数,Total,40175,17166,23009,64676787,30501446,34175342,134156
平成28,2016,総数,Total,36764,15452,21312,58360087,27008902,31351185,132284
平成29,2017,総数,Total,35447,14549,20898,57318403,25863197,31455206,134751
平成30,2018,総数,Total,35678,14805,20873,59319945,27023390,32296555,138553
令和元,2019,総数,Total,37613,16064,21549,64630559,30365658,34264901,143191
平成31,2019,4,Apr.,33594,14327,19267,4788008,2221203,2566804,142525
令和元,2019,5,May,37306,15860,21446,5421151,2547548,2873603,145315
令和元,2019,6,June,35202,14901,20301,4693074,2190817,2502256,133318
令和元,2019,7,July,39148,16554,22594,5915119,2756377,3158741,151096
令和元,2019,8,Aug.,39832,16727,23105,5549640,2596112,2953528,139326
令和元,2019,9,Sept.,39354,16482,22872,5552017,2580124,2971893,141078
令和元,2019,10,Oct.,38995,16351,22644,5960696,2735278,3225417,152857
令和元,2019,11,Nov.,37931,16058,21873,5251124,2425633,2825491,138438
令和元,2019,12,Dec.,38768,16565,22203,5059324,2374570,2684753,130502
令和2,2020,1,Jan.,38783,16838,21945,6327620,3018564,3309055,163154
令和2,2020,2,Feb.,36101,15884,20217,4831849,2327783,2504066,133842
令和2,2020,3,Mar.,36344,16225,20119,5280931,2591645,2689286,145304
,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　7  労働 7  LABOR,,,,,,,,,,
7-4  雇用保険  (一般) 支給状況  (平成27～令和元年度）7-4  PAYMENT OF ( GENERAL ) EMPLOYMENT INSURANCE BENEFITS ( Fiscal Years 2015-2019 ),,,,,,,,,,
注) 年度別「受給者実人員」は月平均である。,,,,,,,,,,
Note: Fiscal year “Beneficiaries” are monthly averages.,,,,,,,,,,
資料：東京労働局 Source: Tokyo Labor Bureau,,,,,,,,,,
（単位　金額　千円）(In thousands of yen),,,,,,,,,,
