地域階層,地域コード,項番 Item number,地域,District,出生 Livebirths／計 Total,出生 Livebirths／男 Male,出生 Livebirths／女 Female,死亡 Deaths／計 Total,死亡 Deaths／男 Male,死亡 Deaths／女 Female,自然増減 Natural change／計 Total,自然増減 Natural change／男 Male,自然増減 Natural change／女 Female,(再掲)乳児死亡 (relisted) Infant deaths／計 Total,(再掲)乳児死亡 (relisted) Infant deaths／男 Male,(再掲)乳児死亡 (relisted) Infant deaths／女 Female,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／計 Total,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／男 Male,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／女 Female,死産 Foetal deaths／計 Total,死産 Foetal deaths／自然 Spontaneous,死産 Foetal deaths／人工 Artificial,合計特殊出生率 Total fertility rate,婚姻 Marriages,離婚 Divorces
0,13000,,総数,Tokyo-to,101818,52032,49786,120870,63222,57648,-19052,-11190,-7862,146,75,71,59,33,26,2303,966,1337,1.15,86059,22707
1,13100,,区部,All ku,73454,37514,35940,81032,42422,38610,-7578,-4908,-2670,110,55,55,49,26,23,1674,685,989,1.13,67298,16310
2,13101,1,千代田区,Chiyoda-ku,625,317,308,381,194,187,244,123,121,-,-,-,-,-,-,10,4,6,1.26,684,134
2,13102,2,中央区,Chuo-ku,2056,1054,1002,925,430,495,1131,624,507,1,1,-,-,-,-,33,13,20,1.38,1790,377
2,13103,3,港区,Minato-ku,2744,1415,1329,1554,750,804,1190,665,525,3,3,-,1,1,-,66,18,48,1.35,2178,559
2,13104,4,新宿区,Shinjuku-ku,2348,1162,1186,2695,1418,1277,-347,-256,-91,3,1,2,2,1,1,69,30,39,0.97,2786,572
2,13105,5,文京区,Bunkyo-ku,1991,1038,953,1677,796,881,314,242,72,4,-,4,2,-,2,37,14,23,1.17,1781,308
2,13106,6,台東区,Taito-ku,1555,803,752,1914,1059,855,-359,-256,-103,1,-,1,-,-,-,32,14,18,1.17,1921,397
2,13107,7,墨田区,Sumida-ku,2354,1209,1145,2474,1350,1124,-120,-141,21,4,2,2,2,2,-,49,26,23,1.17,2560,498
2,13108,8,江東区,Koto-ku,4027,2021,2006,4133,2224,1909,-106,-203,97,4,2,2,-,-,-,83,42,41,1.22,3227,915
2,13109,9,品川区,Shinagawa-ku,3718,1817,1901,3200,1682,1518,518,135,383,6,1,5,2,-,2,83,36,47,1.19,3452,657
2,13110,10,目黒区,Meguro-ku,2415,1290,1125,1989,997,992,426,293,133,3,3,-,1,1,-,76,30,46,1.05,2570,512
2,13111,11,大田区,Ota-ku,5327,2766,2561,6547,3500,3047,-1220,-734,-486,10,7,3,6,6,-,131,58,73,1.1,5059,1216
2,13112,12,世田谷区,Setagaya-ku,6868,3511,3357,6915,3387,3528,-47,124,-171,11,8,3,3,2,1,165,69,96,1.02,6089,1440
2,13113,13,渋谷区,Shibuya-ku,1972,1023,949,1614,756,858,358,267,91,2,-,2,1,-,1,48,21,27,1.04,2109,452
2,13114,14,中野区,Nakano-ku,2354,1175,1179,2794,1437,1357,-440,-262,-178,1,-,1,1,-,1,66,24,42,0.93,2934,595
2,13115,15,杉並区,Suginami-ku,4371,2246,2125,4623,2284,2339,-252,-38,-214,8,4,4,3,1,2,87,36,51,0.99,3947,802
2,13116,16,豊島区,Toshima-ku,1936,1004,932,2347,1196,1151,-411,-192,-219,4,2,2,4,2,2,57,19,38,0.95,2337,484
2,13117,17,北区,Kita-ku,2713,1388,1325,3599,1907,1692,-886,-519,-367,2,1,1,1,-,1,49,24,25,1.18,2385,566
2,13118,18,荒川区,Arakawa-ku,1643,853,790,2132,1163,969,-489,-310,-179,3,1,2,-,-,-,26,12,14,1.24,1518,378
2,13119,19,板橋区,Itabashi-ku,4027,2052,1975,5257,2813,2444,-1230,-761,-469,12,6,6,6,3,3,92,35,57,1.08,3598,898
2,13120,20,練馬区,Nerima-ku,5536,2810,2726,6204,3252,2952,-668,-442,-226,8,3,5,3,2,1,102,42,60,1.12,4225,1126
2,13121,21,足立区,Adachi-ku,4472,2272,2200,7221,3976,3245,-2749,-1704,-1045,11,3,8,6,1,5,121,33,88,1.19,3921,1314
2,13122,22,葛飾区,Katsushika-ku,3160,1640,1520,4863,2548,2315,-1703,-908,-795,6,5,1,4,3,1,69,33,36,1.23,2464,831
2,13123,23,江戸川区,Edogawa-ku,5242,2648,2594,5974,3303,2671,-732,-655,-77,3,2,1,1,1,-,123,52,71,1.32,3763,1279
1,13200,,市部,All shi,27924,14281,13643,38423,20103,18320,-10499,-5822,-4677,36,20,16,10,7,3,622,277,345,1.23,18463,6263
2,13201,1,八王子市,Hachioji-shi,3100,1595,1505,5530,2933,2597,-2430,-1338,-1092,4,3,1,1,1,-,75,31,44,1.15,2078,887
2,13202,2,立川市,Tachikawa-shi,1366,673,693,1732,900,832,-366,-227,-139,2,-,2,1,-,1,19,7,12,1.32,997,304
2,13203,3,武蔵野市,Musashino-shi,1116,558,558,1157,569,588,-41,-11,-30,-,-,-,-,-,-,16,9,7,1.09,942,189
2,13204,4,三鷹市,Mitaka-shi,1328,724,604,1557,818,739,-229,-94,-135,-,-,-,-,-,-,32,9,23,1.11,988,228
2,13205,5,青梅市,Ome-shi,676,333,343,1694,858,836,-1018,-525,-493,-,-,-,-,-,-,14,8,6,1.16,446,222
2,13206,6,府中市,Fuchu-shi,1855,976,879,2087,1107,980,-232,-131,-101,-,-,-,-,-,-,41,28,13,1.26,1275,370
2,13207,7,昭島市,Akishima-shi,1875,925,950,1124,584,540,751,341,410,2,1,1,-,-,-,16,10,6,1.34,539,202
2,13208,8,調布市,Chofu-shi,798,396,402,1886,988,898,-1088,-592,-496,3,2,1,1,-,1,36,20,16,1.22,1347,363
2,13209,9,町田市,Machida-shi,2498,1291,1207,4072,2112,1960,-1574,-821,-753,1,1,-,-,-,-,68,26,42,1.21,1511,668
2,13210,10,小金井市,Koganei-shi,1010,500,510,930,507,423,80,-7,87,-,-,-,-,-,-,15,5,10,1.24,679,141
2,13211,11,小平市,Kodaira-shi,1452,746,706,1612,865,747,-160,-119,-41,3,1,2,-,-,-,28,15,13,1.32,814,262
2,13212,12,日野市,Hino-shi,1338,704,634,1651,847,804,-313,-143,-170,2,2,-,2,2,-,22,7,15,1.3,899,299
2,13213,13,東村山市,Higashimurayama-shi,931,474,457,1553,820,733,-622,-346,-276,1,1,-,-,-,-,30,15,15,1.2,615,244
2,13214,14,国分寺市,Kokubunji-shi,987,490,497,985,516,469,2,-26,28,2,-,2,-,-,-,16,8,8,1.28,676,150
2,13215,15,国立市,Kunitachi-shi,456,233,223,660,348,312,-204,-115,-89,-,-,-,-,-,-,16,12,4,1.06,374,115
2,13218,16,福生市,Fussa-shi,352,187,165,625,314,311,-273,-127,-146,1,1,-,1,1,-,9,4,5,1.26,282,110
2,13219,17,狛江市,Komae-shi,708,352,356,732,364,368,-24,-12,-12,1,1,-,-,-,-,14,7,7,1.3,423,125
