年次,Year,地域階層,地域コード,地域,district,項番 Item number,消防署,Fire station,出場件数 Number of dispatches,出場件数 Number of dispatches／うち従事 of which engaged,救助人員 Persons rescued／総数 Total,救助人員 Persons rescued／重症 Severe injury,救助人員 Persons rescued／中等症 Moderate injury,救助人員 Persons rescued／軽症 Minor injury,救助人員 Persons rescued／無症 No injury,救助人員 Persons rescued／死亡 Death,誘導人員 Persons guided to safety,出場車両数 Vehicles deployed／総数 Total,出場車両数 Vehicles deployed／ポンプ車 Pumpers,出場車両数 Vehicles deployed／救助車 Rescue trucks,出場車両数 Vehicles deployed／化学車 Foam pumpers,出場車両数 Vehicles deployed／はしご車 Aerial ladders,出場車両数 Vehicles deployed／救急車 Ambulances,出場車両数 Vehicles deployed／指揮隊車 Command vans,出場車両数 Vehicles deployed／その他 Others 1),従事台数 Vehicles engaged,出場人員 Persons deployed,従事人員 Persons engaged
平成29,2017,0,13000,総数,Tokyo-to,,,,21984,16829,18568,2657,5892,6907,1618,1494,45,69402,22870,7250,3328,304,23226,11100,1324,41957,281640,168130
平成30,2018,0,13000,総数,Tokyo-to,,,,23543,17730,19381,2814,6095,6897,1724,1851,68,75639,24576,8207,3727,313,24710,12230,1876,43807,307763,176655
平成31･令和元,2019,0,13000,総数,Tokyo-to,,,,24327,17852,19435,2899,5961,6718,1815,2042,82,78858,24999,9155,3918,310,25547,13152,1777,43432,320770,175718
平成31･令和元,2019,1,13100,区部,All ku,,,,17176,12434,13646,2000,4071,4731,1373,1471,77,57525,17696,8016,2762,266,18016,9500,1269,30921,236255,126062
平成31･令和元,2019,2,13101,千代田区,Chiyoda-ku,1,丸の内署,Marunouchi F. Sta.,65,44,69,13,16,40,-,-,-,202,79,9,3,-,84,21,6,125,792,483
平成31･令和元,2019,2,13101,千代田区,Chiyoda-ku,2,麹町署,Kojimachi F. Sta．,117,96,115,16,24,65,4,6,-,408,168,38,-,26,125,48,3,286,1639,1135
平成31･令和元,2019,2,13101,千代田区,Chiyoda-ku,3,神田署,Kanda F. Sta.,165,121,134,28,48,39,8,11,-,541,208,74,-,4,173,78,4,330,2294,1378
平成31･令和元,2019,2,13102,中央区,Chuo-ku,4,京橋署,Kyobashi F. Sta.,148,116,134,21,33,65,10,5,-,430,114,40,55,1,167,46,7,272,1707,1034
平成31･令和元,2019,2,13102,中央区,Chuo-ku,5,日本橋署,Nihonbashi F. Sta.,189,152,199,22,32,120,17,8,-,582,221,56,2,1,217,68,17,392,2319,1532
平成31･令和元,2019,2,13102,中央区,Chuo-ku,6,臨港署,Rinko F. Sta.,136,89,63,11,10,14,7,21,-,738,107,84,93,5,142,131,176,361,3291,1611
平成31･令和元,2019,2,13103,港区,Minato-ku,7,芝署,Shiba F. Sta.,279,213,237,26,46,137,16,12,1,905,302,99,57,8,282,123,34,539,3819,2288
平成31･令和元,2019,2,13103,港区,Minato-ku,8,麻布署,Azabu F. Sta.,157,114,149,15,34,75,23,2,-,481,184,56,-,-,173,67,1,252,1963,1024
