年次,Year,区分階層,項番 Item number,裁判所,Court,総数 Total／新受 Newly received,総数 Total／既済 Disposed,総数 Total／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／通常訴訟 Ordinary litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／通常訴訟 Ordinary litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／通常訴訟 Ordinary litigation／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟 Small claims litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟 Small claims litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟 Small claims litigation／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟判決に対する異議申立て Objection to small claims judgment／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟判決に対する異議申立て Objection to small claims judgment／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟判決に対する異議申立て Objection to small claims judgment／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／手形・小切手訴訟 Action on bills and notes or checks／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／手形・小切手訴訟 Action on bills and notes or checks／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／手形・小切手訴訟 Action on bills and notes or checks／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／行政訴訟 Administrative litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／行政訴訟 Administrative litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／行政訴訟 Administrative litigation／未済 Pending,控訴審通常訴訟 Ordinary appeal to court of second instance／新受 Newly received,控訴審通常訴訟 Ordinary appeal to court of second instance／既済 Disposed,控訴審通常訴訟 Ordinary appeal to court of second instance／未済 Pending,再審 Retrial procedure／新受 Newly received,再審 Retrial procedure／既済 Disposed,再審 Retrial procedure／未済 Pending,調停事件 Conciliation cases／新受 Newly received,調停事件 Conciliation cases／既済 Disposed,調停事件 Conciliation cases／未済 Pending,和解 Settlement／新受 Newly received,和解 Settlement／既済 Disposed,和解 Settlement／未済 Pending,督促 Demand for payment／新受 Newly received,督促 Demand for payment／既済 Disposed,督促 Demand for payment／未済 Pending,保全命令 a)／新受 Newly received,保全命令 a)／既済 Disposed,保全命令 a)／未済 Pending,その他の事件 Other cases／新受 Newly received／労働審判 b),その他の事件 Other cases／新受 Newly received／借地非訟 c),その他の事件 Other cases／新受 Newly received／強制執行 Compulsory execution,その他の事件 Other cases／新受 Newly received／担保権実行 Exercise of security rights,その他の事件 Other cases／新受 Newly received／破産 Bankruptcy,その他の事件 Other cases／新受 Newly received／会社更生 Company rehabilitation,その他の事件 Other cases／新受 Newly received／公示催告 d),その他の事件 Other cases／新受 Newly received／過料 Noncriminal fines,その他の事件 Other cases／新受 Newly received／その他 Others,その他の事件 Other cases／既済 Disposed,その他の事件 Other cases／未済 Pending
平成30,2018,0,,総数,Total,472256,463421,95937,173148,171382,51041,2518,2415,586,39,43,9,20,20,7,609,614,677,921,971,265,41,38,23,6159,6084,2008,419,428,51,140158,135107,7261,5310,5263,342,1218,200,14147,1800,11740,3,194,24486,89126,141056,33667
平成31･令和元,2019,0,,総数,Total,447303,446089,97021,173421,166918,57546,2402,2485,503,56,50,15,10,8,9,658,599,736,740,745,260,42,39,26,6254,6044,2218,441,437,55,126880,132064,2077,5450,5470,322,1150,208,15183,1820,11505,-,164,24147,76772,131230,33254
平成31･令和元,2019,1,,地方裁判所, District courts,108734,106726,59509,38801,36869,28059,-,-,-,-,-,-,6,6,7,658,599,736,740,745,260,38,35,24,532,478,393,-,-,-,-,-,-,4795,4812,314,1150,207,14934,1820,11505,-,-,9803,23745,63182,29716
平成31･令和元,2019,2,1,東京, Tokyo,94254,92898,51794,35757,33892,26015,-,-,-,-,-,-,5,6,5,658,599,736,740,745,260,37,35,23,517,468,380,-,-,-,-,-,-,4616,4628,304,1059,197,11417,1276,9578,-,-,7827,20570,52525,24071
平成31･令和元,2019,2,2,立川支部, Tachikawa Branch,14480,13828,7715,3044,2977,2044,-,-,-,-,-,-,1,-,2,-,-,-,-,-,-,1,-,1,15,10,13,-,-,-,-,-,-,179,184,10,91,10,3517,544,1927,-,-,1976,3175,10657,5645
平成31･令和元,2019,1,,簡易裁判所, Summary courts,338569,339363,37512,134620,130049,29487,2402,2485,503,56,50,15,4,2,2,-,-,-,-,-,-,4,4,2,5722,5566,1825,441,437,55,126880,132064,2077,655,658,8,-,1,249,-,-,-,164,14344,53027,68048,3538
平成31･令和元,2019,2,1,東京, Tokyo,320512,321487,35652,129781,125285,28300,2099,2156,433,50,45,11,4,2,2,-,-,-,-,-,-,4,4,2,5122,4998,1614,416,412,53,120816,126015,2002,647,650,8,-,-,228,-,-,-,163,10691,50491,61920,3227
平成31･令和元,2019,2,2,八丈島, Hachijojima ,71,72,2,8,10,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,15,15,-,-,-,-,-,-,-,-,-,-,-,42,5,47,-
平成31･令和元,2019,2,3,伊豆大島, Izu-oshima ,48,47,1,6,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,13,-,-,-,-,-,-,-,-,-,-,-,23,6,29,-
平成31･令和元,2019,2,4,新島, Niijima,6,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,1,1,4,-
平成31･令和元,2019,2,5,八王子, Hachioji ,4202,4194,450,1666,1651,403,54,57,10,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,108,99,33,2,2,-,1296,1305,-,2,2,-,-,-,2,-,-,-,1,493,576,1077,3
