年次,Year,区分階層,項番 Item number,種類,Kind,受理 Received／総数 Total,受理 Received／旧受 Previously received,受理 Received／新受 Newly received,既済 Disposed／総数 Total,既済 Disposed／認容 Granted,既済 Disposed／却下 Rejected,既済 Disposed／取下 Withdrawn,既済 Disposed／その他 Others,未済 Pending
平成30,2018,0,,総数,Total,104628,6855,97773,97425,92961,526,2563,1375,7203
平成31･令和元,2019,0,,総数,Total,105505,7202,98303,97426,93281,484,2294,1367,8079
平成31･令和元,2019,1,,別表第一審判事件総数,Total number of cases of adjudication of domestic relations stipulated in Appended Table 1 of the Domestic Relations Case Procedure Act,102266,6044,96222,95321,92328,245,1935,813,6945
平成31･令和元,2019,2,1,後見開始の審判及びその取消し,Adjudication on commencement of guardianship and rescission of such adjudication,3793,295,3498,3448,3324,20,32,72,345
平成31･令和元,2019,2,2,保佐開始の審判・取消しなど,Adjudication on commencement of curatorship， rescission of such adjudication， etc.,2115,225,1890,1888,1725,14,122,27,227
平成31･令和元,2019,2,3,補助開始の審判・取消しなど,Adjudication on commencement of assistance， rescission of such adjudication， etc.,854,75,779,754,710,4,34,6,100
平成31･令和元,2019,2,4,後見人等の選任,Appointment of a guardian， etc.,1754,92,1662,1683,1612,9,33,29,71
平成31･令和元,2019,2,,うち成年後見人の選任,(of which) Appointment of a guardian of an adult,521,27,494,496,468,3,10,15,25
平成31･令和元,2019,2,,うち成年後見監督人の選任,(of which) Appointment of a supervisor for the guardian of an adult,665,14,651,660,651,1,2,6,5
平成31･令和元,2019,2,,うち保佐人の選任,(of which) Appointment of a curator,110,12,98,99,91,1,3,4,11
平成31･令和元,2019,2,,うち保佐監督人の選任,(of which) Appointment of a supervisor for a curator,178,6,172,174,170,-,2,2,4
平成31･令和元,2019,2,,うち補助人の選任,(of which) Appointment of an assistant,32,6,26,28,27,-,1,-,4
平成31･令和元,2019,2,,うち補助監督人の選任,(of which) Appointment of a supervisor for the assistant,49,2,47,48,47,-,1,-,1
平成31･令和元,2019,2,,うち未成年後見人の選任,(of which) Appointment of a guardian of a minor,163,23,140,143,124,4,13,2,20
平成31･令和元,2019,2,,うち未成年後見監督人の選任,(of which) Appointment of a supervisor for the guardian of a minor,36,2,34,35,34,-,1,-,1
平成31･令和元,2019,2,5,離縁後の未成年後見人の選任,Appointment of a guardian of an adopted minor after dissolution of adoptive relation,1,1,-,1,1,-,-,-,-
平成31･令和元,2019,2,6,後見人等の辞任,Resignation of a guardian of an adult， etc.,875,52,823,836,816,1,10,9,39
平成31･令和元,2019,2,7,後見人等の解任,Dismissal of a guardian of an adult， etc.,39,10,29,28,3,20,5,-,11
平成31･令和元,2019,2,,うち職権によるもの,(of which) Dismissal by the family court's authority,8,-,8,3,3,-,-,-,5
平成31･令和元,2019,2,8,後見人の財産目録の作成の期間の伸長,Extension of the period for preparing an inventory of property by the guardian of an adult,-,-,-,-,-,-,-,-,-
平成31･令和元,2019,2,9,後見人等の権限行使についての定め及びその取消し,Determination of the exercise of authority of an adult guardian， etc. and rescission of such determination,398,1,397,397,385,-,1,11,1
平成31･令和元,2019,2,10,居住用不動産の処分についての許可,Permission for disposition of real property used for residence,1619,44,1575,1578,1504,-,62,12,41
平成31･令和元,2019,2,11,特別代理人の選任（利益相反行為）,Appointment of a special agent (for conflict of interest),1246,103,1143,1144,1077,1,54,12,102
平成31･令和元,2019,2,12,郵便物等の配達の嘱託,Redirection of mail， etc.,200,5,195,198,154,1,42,1,2
平成31･令和元,2019,2,13,郵便物等の配達の嘱託取消,Rescission of redirection of mail， etc.,2,-,2,2,2,-,-,-,-
平成31･令和元,2019,2,14,後見人等に対する報酬の付与,Remuneration to a guardian of an adult， etc.,23780,604,23176,23040,23013,4,23,-,740
平成31･令和元,2019,2,15,後見等監督処分,Supervisory disposition of guardianship， etc.,15712,1825,13887,13906,13620,2,5,279,1806
平成31･令和元,2019,2,,うち職権によるもの,(of which) Disposition by the family court's authority,15705,1823,13882,13900,13617,-,5,278,1805
平成31･令和元,2019,2,16,第三者が子等に与えた財産の管理者選任等,Appointment， etc. of a manager of property offered to a child， etc. by a third party,-,-,-,-,-,-,-,-,-
平成31･令和元,2019,2,17,後見終了に伴う管理計算の期間の伸長,Extension of the period of settlement of account at the end of guardianship,5,-,5,5,3,-,2,-,-
平成31･令和元,2019,2,18,成年被後見人死亡後の事務,Administrative process after the death of an adult ward,420,4,416,412,405,-,7,-,8
平成31･令和元,2019,2,19,臨時保佐人等の選任（利益相反行為）,Appointment of a temporary curator， etc. (for conflict of interest),13,-,13,12,9,-,3,-,1
平成31･令和元,2019,2,20,不在者の財産の管理に関する処分,Disposition regarding the administration of property of an absentee,1152,141,1011,1031,820,6,121,84,121
平成31･令和元,2019,2,21,失踪の宣告及びその取消し,Adjudication of disappearance and rescission of such adjudication,670,274,396,406,343,3,54,6,264
平成31･令和元,2019,2,22,夫婦の財産管理者変更・共有財産の分割,Change of an administrator of property under a Matrimonial Property Contract/division of property in co-ownership,-,-,-,-,-,-,-,-,-
平成31･令和元,2019,2,23,特別代理人の選任（嫡出否認）,Appointment of a special agent (rebuttal of presumption of a child in wedlock),-,-,-,-,-,-,-,-,-
平成31･令和元,2019,2,24,子の氏の変更についての許可,Permission for changing the surname of a child,12077,123,11954,11955,11899,5,30,21,122
平成31･令和元,2019,2,25,養子をするについての許可,Permission for adoption,213,49,164,171,99,4,68,-,42
平成31･令和元,2019,2,26,離縁をするについての許可,Permission for dissolution of adoption ,276,12,264,248,236,1,7,4,28
平成31･令和元,2019,2,27,特別養子縁組の成立及びその離縁に関する処分,Disposition on establishment and dissolution of special adoption ,168,73,95,118,108,2,8,-,50
