年度,Fiscal year,地域階層,地域コード,地域,District,総数 Total,大気汚染 Air pollution,水質汚濁 Water pollution,土壌汚染 Soil pollution,騒音 Noises,振動 Vibration,地盤沈下 Ground subsidence,悪臭 Offensive odors,典型7公害以外計 Other pollution
平成27,2015,0,13000,総数,Tokyo-to,6641,1265,56,5,3238,463,2,802,810
平成28,2016,0,13000,総数,Tokyo-to,6408,1199,41,6,2944,518,-,888,812
平成29,2017,0,13000,総数,Tokyo-to,6402,1102,56,12,2948,498,1,909,876
平成30,2018,0,13000,総数,Tokyo-to,6371,1095,41,13,3026,473,3,871,849
令和元,2019,0,13000,総数,Tokyo-to,6273,1102,46,9,3002,423,-,769,922
令和元,2019,1,13100,区部,All ku,3924,465,4,5,2194,350,-,516,390
令和元,2019,2,13101,千代田区,Chiyoda-ku,168,7,-,-,92,5,-,33,31
令和元,2019,2,13102,中央区,Chuo-ku,127,-,-,-,80,9,-,23,15
令和元,2019,2,13103,港区,Minato-ku,288,14,1,-,194,15,-,30,34
令和元,2019,2,13104,新宿区,Shinjuku-ku,156,6,-,-,110,8,-,25,7
令和元,2019,2,13105,文京区,Bunkyo-ku,45,1,-,-,20,18,-,4,2
令和元,2019,2,13106,台東区,Taito-ku,224,27,-,-,76,11,-,7,103
令和元,2019,2,13107,墨田区,Sumida-ku,298,41,-,1,161,24,-,44,27
令和元,2019,2,13108,江東区,Koto-ku,58,21,-,-,10,1,-,25,1
令和元,2019,2,13109,品川区,Shinagawa-ku,135,9,-,-,91,13,-,12,10
令和元,2019,2,13110,目黒区,Meguro-ku,135,13,-,-,67,14,-,16,25
令和元,2019,2,13111,大田区,Ota-ku,131,11,-,-,57,22,-,16,25
令和元,2019,2,13112,世田谷区,Setagaya-ku,223,36,-,-,152,11,-,17,7
令和元,2019,2,13113,渋谷区,Shibuya-ku,87,10,1,-,35,8,-,23,10
令和元,2019,2,13114,中野区,Nakano-ku,34,4,-,-,20,10,-,-,-
令和元,2019,2,13115,杉並区,Suginami-ku,87,27,-,-,39,7,-,14,-
令和元,2019,2,13116,豊島区,Toshima-ku,129,15,1,-,71,23,-,18,1
令和元,2019,2,13117,北区,Kita-ku,196,27,1,-,113,21,-,32,2
令和元,2019,2,13118,荒川区,Arakawa-ku,190,7,-,2,84,10,-,21,66
令和元,2019,2,13119,板橋区,Itabashi-ku,233,37,-,-,119,42,-,30,5
令和元,2019,2,13120,練馬区,Nerima-ku,200,22,-,-,125,22,-,27,4
令和元,2019,2,13121,足立区,Adachi-ku,348,62,-,-,207,27,-,41,11
令和元,2019,2,13122,葛飾区,Katsushika-ku,225,32,-,1,134,15,-,39,4
令和元,2019,2,13123,江戸川区,Edogawa-ku,207,36,-,1,137,14,-,19,-
令和元,2019,1,13200,市部,All shi,2178,632,40,2,799,73,-,246,386
令和元,2019,2,13201,八王子市,Hachioji-shi,249,137,3,-,77,4,-,26,2
令和元,2019,2,13202,立川市,Tachikawa-shi,113,38,-,-,41,1,-,10,23
令和元,2019,2,13203,武蔵野市,Musashino-shi,31,3,-,-,20,7,-,1,-
令和元,2019,2,13204,三鷹市,Mitaka-shi,96,17,-,-,53,3,-,19,4
令和元,2019,2,13205,青梅市,Ome-shi,110,48,1,-,37,-,-,22,2
令和元,2019,2,13206,府中市,Fuchu-shi,129,54,-,-,40,4,-,23,8
令和元,2019,2,13207,昭島市,Akishima-shi,38,-,-,-,4,-,-,2,32
令和元,2019,2,13208,調布市,Chofu-shi,67,18,-,-,45,3,-,1,-
