年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,マーク Mark,人口 (A) Population,総数 Total／施設数 Facilities,総数 Total／計画給水人口 Population planned to be served 3),総数 Total／現在給水人口 (B) Population currently served,総数 Total／給水量（専用水道を除く）Water supplied  (Excluding private waterworks) (1000m3),上水道 Waterworks／施設数 Facilities,上水道 Waterworks／計画給水人口 Population planned to be served,上水道 Waterworks／現在給水人口 Population currently served,上水道 Waterworks／給水量 Water supplied 4) (1000m3),簡易水道 Small-scale waterworks／施設数 Facilities,簡易水道 Small-scale waterworks／計画給水人口 Population planned to be served,簡易水道 Small-scale waterworks／現在給水人口 Population currently served,簡易水道 Small-scale waterworks／給水量 Water supplied 4) (1000m3),専用水道 Private waterworks 2)／施設数 Facilities,専用水道 Private waterworks 2)／確認時給水人口 Population noted in the application,専用水道 Private waterworks 2)／現在給水人口 Population currently served,普及率 (B/A) Coverage rate (%) 
平成27,2015,0,13000,,総数,Tokyo-to,,13575092,138,13701126,13574649,1567917,6,13531550,13534493,1565331,10,23110,16621,2586,122,146466,23535,100
平成28,2016,0,13000,,総数,Tokyo-to,,13687380,139,13673270,13686955,1567906,6,13531550,13647092,1565350,10,23110,16383,2556,123,118610,23480,100
平成29,2017,0,13000,,総数,Tokyo-to,,13785221,130,13723846,13784800,1579458,6,13538380,13750775,1577576,8,16280,12434,1882,116,169186,21591,100
平成30,2018,0,13000,,総数,Tokyo-to,,13886107,127,13674046,13885696,1578477,6,13544380,13851680,1576584,8,16280,12386,1893,113,113386,21630,100
令和元,2019,0,13000,,総数,Tokyo-to,,13983631,125,13673829,13983238,1579798,6,13544380,13949512,1577857,8,16280,12191,1941,111,113169,21535,100
令和元,2019,1,13100,,区部,All ku,,9682088,10,13210966,9682088,1539283,1,13190000,9672867,1539283,-,-,-,-,9,20966,9221,100
令和元,2019,1,13200,,市部,All shi,,4220497,100,423795,4220330,35900,3,331800,4208016,35900,-,-,-,-,97,91995,12314,100
令和元,2019,2,13201,1,八王子市,Hachioji-shi,※,576354,16,7788,576305,-,-,-,572269,-,-,-,-,-,16,7788,4036,99.99
令和元,2019,2,13202,2,立川市,Tachikawa-shi,※,180927,4,-,180927,-,-,-,180927,-,-,-,-,-,4,-,-,100
令和元,2019,2,13203,3,武蔵野市,Musashino-shi,,147519,6,164663,147519,16915,1,151000,147339,16915,-,-,-,-,5,13663,180,100
令和元,2019,2,13204,4,三鷹市,Mitaka-shi,※,193535,4,5504,193535,-,-,-,192169,-,-,-,-,-,4,5504,1366,100
令和元,2019,2,13205,5,青梅市,Ome-shi,※,133134,5,1195,133124,-,-,-,131944,-,-,-,-,-,5,1195,1180,99.99
令和元,2019,2,13206,6,府中市,Fuchu-shi,※,263557,6,13494,263557,-,-,-,263537,-,-,-,-,-,6,13494,20,100
令和元,2019,2,13207,7,昭島市,Akishima-shi,,113610,5,121072,113609,12615,1,120800,113337,12615,-,-,-,-,4,272,272,100
令和元,2019,2,13208,8,調布市,Chofu-shi,※,240276,4,12809,240276,-,-,-,240149,-,-,-,-,-,4,12809,127,100
令和元,2019,2,13209,9,町田市,Machida-shi,※,434200,2,-,434181,-,-,-,434181,-,-,-,-,-,2,-,-,100
令和元,2019,2,13210,10,小金井市,Koganei-shi,※,126087,3,13016,126087,-,-,-,126006,-,-,-,-,-,3,13016,81,100
令和元,2019,2,13211,11,小平市,Kodaira-shi,※,196507,9,8690,196507,-,-,-,194598,-,-,-,-,-,9,8690,1909,100
令和元,2019,2,13212,12,日野市,Hino-shi,※,190391,8,599,190391,-,-,-,189883,-,-,-,-,-,8,599,508,100
令和元,2019,2,13213,13,東村山市,Higashimurayama-shi,※,150395,4,1841,150395,-,-,-,149902,-,-,-,-,-,4,1841,493,100
令和元,2019,2,13214,14,国分寺市,Kokubunji-shi,※,128709,3,-,128709,-,-,-,128709,-,-,-,-,-,3,-,-,100
令和元,2019,2,13215,15,国立市,Kunitachi-shi,※,75169,4,-,75169,-,-,-,75169,-,-,-,-,-,4,-,-,100
令和元,2019,2,13218,16,福生市,Fussa-shi,※,57204,2,-,57204,-,-,-,57204,-,-,-,-,-,2,-,-,100
令和元,2019,2,13219,17,狛江市,Komae-shi,※,84072,-,-,84072,-,-,-,84072,-,-,-,-,-,-,-,-,100
令和元,2019,2,13220,18,東大和市,Higashiyamato-shi,※,84212,-,-,84212,-,-,-,84212,-,-,-,-,-,-,-,-,100
令和元,2019,2,13221,19,清瀬市,Kiyose-shi,※,75195,4,2205,75195,-,-,-,75190,-,-,-,-,-,4,2205,5,100
令和元,2019,2,13222,20,東久留米市,Higashikurume-shi,※,116337,2,2000,116337,-,-,-,115811,-,-,-,-,-,2,2000,526,100
令和元,2019,2,13223,21,武蔵村山市,Musashimurayama-shi,※,71439,2,180,71439,-,-,-,71259,-,-,-,-,-,2,180,180,100
令和元,2019,2,13224,22,多摩市,Tama-shi,※,147802,3,1739,147802,-,-,-,146371,-,-,-,-,-,3,1739,1431,100
令和元,2019,2,13225,23,稲城市,Inagi-shi,※,92016,-,-,92016,-,-,-,92016,-,-,-,-,-,-,-,-,100
令和元,2019,2,13227,24,羽村市,Hamura-shi,,55091,1,60000,55003,6370,1,60000,55003,6370,-,-,-,-,-,-,-,99.84
令和元,2019,2,13228,25,あきる野市,Akiruno-shi,※,79963,2,-,79963,-,-,-,79963,-,-,-,-,-,2,-,-,100
令和元,2019,2,13229,26,西東京市,Nishitokyo-shi,※,206796,1,7000,206796,-,-,-,206796,-,-,-,-,-,1,7000,-,100
令和元,2019,1,13300,,郡部,All gun,,56342,4,3400,56197,346,-,-,54161,-,1,3400,2036,346,3,-,-,99.74
令和元,2019,2,13303,1,瑞穂町,Mizuho-machi,※,32262,1,-,32262,-,-,-,32262,-,-,-,-,-,1,-,-,100
令和元,2019,2,13305,2,日の出町,Hinode-machi,※,17092,-,-,17092,-,-,-,17092,-,-,-,-,-,-,-,-,100
令和元,2019,2,13307,3,檜原村,Hinohara-mura,,2125,2,3400,2036,346,-,-,-,-,1,3400,2036,346,1,-,-,95.81
令和元,2019,2,13308,4,奥多摩町,Okutama-machi,※,4863,1,-,4807,-,-,-,4807,-,-,-,-,-,1,-,-,98.85
令和元,2019,1,13350,,島部,All islands,,24704,11,35668,24623,4269,2,22580,14468,2674,7,12880,10155,1595,2,208,-,99.67
令和元,2019,2,13361,1,大島町,Oshima-machi,,7327,2,10858,7319,1190,1,10650,7319,1190,-,-,-,-,1,208,-,99.89
令和元,2019,2,13362,2,利島村,Toshima-mura,,290,1,350,290,52,-,-,-,-,1,350,290,52,-,-,-,100
