年度,Fiscal year,保険給付費 Insurance benefits／件数 Cases,保険給付費 Insurance benefits／給付費 Benefits,医療給付費 Medical care benefits／件数 Cases,医療給付費 Medical care benefits／給付費 Benefits,医療費 Medical care expenses,診療費 Consultation fees／計 Total／件数 Cases,診療費 Consultation fees／計 Total／日数 Days,診療費 Consultation fees／計 Total／給付費 Benefits,診療費 Consultation fees／計 Total／医療費 Medical care expenses,診療費 Consultation fees／入院 Inpatient care／件数 Cases,診療費 Consultation fees／入院 Inpatient care／日数 Days,診療費 Consultation fees／入院 Inpatient care／給付費 Benefits,診療費 Consultation fees／入院 Inpatient care／医療費 Medical care expenses,診療費 Consultation fees／入院外 Outpatient care／件数 Cases,診療費 Consultation fees／入院外 Outpatient care／日数 Days,診療費 Consultation fees／入院外 Outpatient care／給付費 Benefits,診療費 Consultation fees／入院外 Outpatient care ／医療費 Medical care expenses,診療費 Consultation fees／歯科 Dental／件数 Cases,診療費 Consultation fees／歯科 Dental／日数 Days,診療費 Consultation fees／歯科 Dental／給付費 Benefits,診療費 Consultation fees／歯科 Dental／医療費 Medical care expenses,薬剤支給 Prescription drugs／件数 Cases,薬剤支給 Prescription drugs／給付費 Benefits,薬剤支給 Prescription drugs／医療費 Medical care expenses,入院時食事療養費・生活療養費（標準負担額差額支給を除く） Meals and living expenses during hospitalization (excluding payment covering the difference with standard copayments)／件数 Cases,入院時食事療養費・生活療養費（標準負担額差額支給を除く） Meals and living expenses during hospitalization (excluding payment covering the difference with standard copayments)／給付費 Benefits,入院時食事療養費・生活療養費（標準負担額差額支給を除く） Meals and living expenses during hospitalization (excluding payment covering the difference with standard copayments)／医療費 Medical care expenses,訪問看護療養費 Home-visit nursing care expenses／件数 Cases,訪問看護療養費 Home-visit nursing care expenses／給付費 Benefits,訪問看護療養費 Home-visit nursing care expenses／医療費 Medical care expenses,入院時食事療養費・生活療養費（標準負担額差額支給） Meals and living expenses during hospitalization (payment of the difference with standard copayments)／件数 Cases,入院時食事療養費・生活療養費（標準負担額差額支給） Meals and living expenses during hospitalization (payment of the difference with standard copayments)／給付費 Benefits,療養費 Medical treatment expenses／件数 Cases,療養費 Medical treatment expenses／給付費 Benefits,移送費 Transport expenses／件数 Cases,移送費 Transport expenses／給付費 Benefits,高額療養費 High-cost medical treatment expenses／入院 Inpatient care／件数 Cases,高額療養費 High-cost medical treatment expenses／入院 Inpatient care／給付費 Benefits,高額療養費 High-cost medical treatment expenses／その他 Others／件数 Cases,高額療養費 High-cost medical treatment expenses／その他 Others／給付費 Benefits,その他の現金給付 Other cash benefits／合計 Total／件数 Cases,その他の現金給付 Other cash benefits／合計 Total／給付費 Benefits,その他の現金給付 Other cash benefits／傷病手当金 Sick/injury leave allowances／件数 Cases,その他の現金給付 Other cash benefits／傷病手当金 Sick/injury leave allowances／給付費 Benefits,その他の現金給付 Other cash benefits／埋葬料 Funeral expenses／件数 Cases,その他の現金給付 Other cash benefits／埋葬料 Funeral expenses／給付費 Benefits,その他の現金給付 Other cash benefits／出産育児一時金 Lump-sum allowances for childbirth and childcare／件数 Cases,その他の現金給付 Other cash benefits／出産育児一時金 Lump-sum allowances for childbirth and childcare／給付費 Benefits,その他の現金給付 Other cash benefits／出産手当金 Birth allowances／件数 Cases,その他の現金給付 Other cash benefits／出産手当金 Birth allowances／給付費 Benefits,世帯合算高額療養費 Total household high-cost medical treatment copayment reimbursement ／件数 Cases,世帯合算高額療養費 Total household high-cost medical treatment copayment reimbursement ／給付費 Benefits,高額介護合算 Total household high-cost medical and long-term care insurance copayment reimbursement ／件数 Cases,高額介護合算 Total household high-cost medical and long-term care insurance copayment reimbursement ／給付費 Benefits
平成29,2017,5525592,62941392,5507803,58040796,75384081,3440926,5377525,43551540,55759428,33923,311122,15563589,17813951,2712435,3835466,21988487,29488356,694568,1230937,5999464,8457121,1885006,12796085,17622202,30463,218614,466873,2978,154046,207200,11,63,170634,939042,-,-,2545,212025,495,34527,17789,4900596,11815,2413719,411,20542,3632,1524676,1931,941659,5208,134854,-,-
平成30,2018,6404793,71814629,6384591,66232173,86184284,4032428,6184865,50626395,64841848,39654,355633,18178878,20790669,3146619,4377756,25249802,33906524,846155,1451476,7197715,10144656,2166295,13931918,19165770,36009,173007,530229,3734,196534,264657,27,439,176192,977160,2,54,1924,178284,442,33691,20202,5582456,13102,2627157,451,22549,4736,1986880,1913,945870,3546,114493,1,198
令和元,2019,5614431,70713051.11,5589609,63905916.15,82268639.24,3510857,5406953,48781395,61877921,37512,339833,18422324,20951002,2691820,3717354,23460435,31207309,781525,1349766,6898637,9719610,1872472,13364464,18288532,33705,166235,511106,1671,85516,116716,32,320,196286,1041252,6,429,2827,256832,559,40167,24822,6807135,16906,3411804,354,17700,4703,1972488,2859,1405143,4899,169305,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-8  医療保険 (1) 全国健康保険協会管掌健康保険 b 保険給付費・医療費（平成29～令和元年度）18-8  HEALTH INSURANCE (1) MANAGED BY JAPAN HEALTH INSURANCE ASSOCIATION b INSURANCE BENEFIT PAYMENTS AND MEDICAL CARE EXPENSES ( Fiscal Years 2017-2019 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
各年度3月分の数値である。 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures for March of each fiscal year. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注1) 「保険給付費」及び「医療給付費」の件数には，「入院時食事療養費・生活療養費（標準負担額差額支給分を除く）」は含まれていない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: 1)""Meals and living expenses during hospitalization (excluding payment covering the difference with standard copayments)"" are not included  in the cases of ""insurance benefits"" and ""medical care benefits."" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：全国健康保険協会 Source: Japan Health Insurance Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　金額　円） (Value in thousands of yen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
