年次,Year,月次 ,Month,件数 Total,負債額 (百万円) Liabilities (million yen),業種別件数 Number of cases  by industry／建設業 Construction,業種別件数 Number of cases by industry／製造業 Manufacturing,業種別件数 Number of cases by industry／情報通信業 Information and communications,業種別件数 Number of cases by industry／運輸業，郵便業 Transport and postal services,業種別件数 Number of cases by industry／卸売業 Wholesale,業種別件数 Number of cases by industry／小売業 Retail,業種別件数 Number of cases by industry／不動産業 Real estate,業種別件数 Number of cases by industry／宿泊業，飲食サービス業 Accommodations， eating and drinking services,業種別件数 Number of cases by industry／教育，学習支援業・医療，福祉 Education， learning support， medical， health care and welfare,業種別件数 Number of cases by industry／サービス業 Services,業種別件数 Number of cases by industry／その他 Others,原因別件数 Number of cases by cause／販売不振 Sluggish sales,原因別件数 Number of cases by cause／既往のしわ寄せ (赤字累積) Accumulating deficits,原因別件数 Number of cases by cause／売掛金等回収難 Trouble with account receivable collection,原因別件数 Number of cases by cause／放漫経営 Lax management,原因別件数 Number of cases by cause／過小資本 Insufficient capital,原因別件数 Number of cases by cause／他社倒産の余波 Impact of another company's bankruptcy,原因別件数 Number of cases by cause／信用性低下 Declining credibility,原因別件数 Number of cases by cause／在庫状態悪化 Poor inventory control ,原因別件数 Number of cases by cause／設備投資過大 Excessive capital investment,原因別件数 Number of cases by cause／その他 Others
平成31･令和元,2019,総数,Total,1580,379313,180,133,191,23,288,185,56,129,53,330,12,1175,116,11,106,36,94,6,1,3,32
平成31,2019,1,Jan.,117,89050,6,5,17,2,26,10,6,15,4,24,2,89,10,-,6,1,7,-,-,-,4
平成31,2019,2,Feb.,119,12559,8,5,19,2,19,14,5,14,5,28,-,86,7,1,12,2,8,2,-,-,1
平成31,2019,3,Mar.,127,14896,17,7,12,3,26,14,5,12,2,28,1,95,10,1,7,3,6,1,-,-,4
平成31,2019,4,Apr.,122,43723,14,8,12,1,21,19,5,5,4,30,3,92,7,-,9,3,7,1,-,1,2
令和元,2019,5,May,115,19289,11,14,16,1,18,17,3,10,3,22,-,83,7,-,10,5,8,-,-,-,2
令和元,2019,6,June,147,20152,18,15,15,3,23,14,8,10,7,32,2,104,12,3,10,1,10,1,1,-,5
令和元,2019,7,July,158,16339,21,10,21,1,27,24,8,13,6,27,-,116,18,2,6,5,8,-,-,-,3
令和元,2019,8,Aug.,116,18328,14,11,16,2,24,13,2,8,4,22,-,103,3,-,5,1,1,-,-,1,2
令和元,2019,9,Sept.,142,49896,16,20,10,3,31,16,1,13,5,27,-,112,5,2,13,3,5,1,-,-,1
令和元,2019,10,Oct.,133,16678,17,13,10,-,24,16,7,13,2,29,2,95,15,-,7,3,10,-,-,1,2
令和元,2019,11,Nov.,135,46238,15,9,21,3,25,18,2,5,7,29,1,102,10,-,7,5,9,-,-,-,2
令和元,2019,12,Dec.,149,32165,23,16,22,2,24,10,4,11,4,32,1,98,12,2,14,4,15,-,-,-,4
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,
15-10  企業倒産状況 (平成31・令和元年) 15-10  COMPANY BANKRUPTCIES ( 2019 ),,,,,,,,,,,,,,,,,,,,,,,,,,
倒産した企業のうち負債額1000万円以上のもの。,,,,,,,,,,,,,,,,,,,,,,,,,,
Bankrupt companies with liabilities of 10 million yen or more.,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都産業労働局総務部企画計理課 「東京の企業倒産状況」 ( (株) 東京商工リサーチ調べ) Source: Bureau of Industrial and Labor Affairs， TMG ( Tokyo Shoko Research， Ltd. survey ),,,,,,,,,,,,,,,,,,,,,,,,,,
