地域階層,地域コード,地域,District,総数 Total,一般行政職 General administrative services,税務職 Tax services,医師・歯科医師職 Physicians and dentists,薬剤師医療技術職(栄養士含む） Pharmacists and medical technicians (includes nutritionists),看護保健職 Nursing and public health services,福祉職 Social welfare services,消防職海事職 Firefighting and maritime services,企業職 Public enterprise employees,技能労務職 Vocational labor,教育職 Educational services,臨時職員 Temporary employees
0,13300,郡部,All gun,569,463,42,5,8,29,-,-,5,14,3,-
1,13303,瑞穂町,Mizuho-machi,223,191,18,-,-,6,-,-,5,1,2,-
1,13305,日の出町,Hinode-machi,158,139,13,-,-,-,-,-,-,5,1,-
1,13307,檜原村,Hinohara-mura,61,46,4,1,2,5,-,-,-,3,-,-
1,13308,奥多摩町,Okutama-machi,127,87,7,4,6,18,-,-,-,5,-,-
0,13350,島部,All islands,931,512,37,13,25,60,93,69,87,33,-,2
1,13361,大島町,Oshima-machi,171,104,8,-,2,3,24,23,6,1,-,-
1,13362,利島村,Toshima-mura,29,18,-,1,-,3,5,-,2,-,-,-
1,13363,新島村,Niijima-mura,119,74,4,1,7,13,10,5,-,5,-,-
1,13364,神津島村,Kouzushima-mura,76,57,4,1,2,9,3,-,-,-,-,-
1,13381,三宅村,Miyake-mura,114,63,6,2,4,10,7,15,7,-,-,-
1,13382,御蔵島村,Mikurajima-mura,20,11,1,1,-,-,1,-,-,6,-,-
1,13401,八丈町,Hachijo-machi,252,102,10,-,2,5,24,26,72,9,-,2
1,13402,青ヶ島村,Aogashima-mura,27,15,-,1,-,1,3,-,-,7,-,-
1,13421,小笠原村,Ogasawara-mura,123,68,4,6,8,16,16,-,-,5,-,-
,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,,,
22-5  職員数 (4) 町村 (平成31年4月1日) 22-5  GOVERNMENT EMPLOYEES (4) MACHI AND MURA ( Apr. 1， 2019 ),,,,,,,,,,,,,,,
注) 教育職には、教育長、小・中学校教員は含まない。,,,,,,,,,,,,,,,
Note: Education services figures do not include the Director General ( Office of Education ) or teachers of elementary and junior high schools.,,,,,,,,,,,,,,,
資料：都総務局行政部区政課・市町村課 「東京都区市町村年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,
地域階層（0:郡部・島部　1:区市町村）,,,,,,,,,,,,,,,
