年度,Fiscal year,総数 Total／件数 Cases,総数 Total／金額 Amount,総数 Total／療養の給付 Medical treatment benefits／計 Total／件数 Cases,総数 Total／療養の給付 Medical treatment benefits／計 Total／金額 Amount,総数 Total／療養の給付 Medical treatment benefits／入院 Inpatient care／件数 Cases,総数 Total／療養の給付 Medical treatment benefits／入院 Inpatient care／金額 Amount,総数 Total／療養の給付 Medical treatment benefits／入院外 Outpatient care／件数 Cases,総数 Total／療養の給付 Medical treatment benefits／入院外 Outpatient care／金額 Amount,総数 Total／療養の給付 Medical treatment benefits／歯科 Dental／件数 Cases,総数 Total／療養の給付 Medical treatment benefits／歯科 Dental／金額 Amount,総数 Total／療養の給付 Medical treatment benefits／調剤 Prescription drugs／件数 Cases,総数 Total／療養の給付 Medical treatment benefits／調剤 Prescription drugs／金額 Amount,総数 Total／療養の給付 Medical treatment benefits／食事療養 Meals／件数 Cases 1),総数 Total／療養の給付 Medical treatment benefits／食事療養 Meals／金額 Amount,総数 Total／療養の給付 Medical treatment benefits／訪問看護 Home-visit nursing care／件数 Cases,総数 Total／療養の給付 Medical treatment benefits／訪問看護 Home-visit nursing care／金額 Amount,総数 Total／療養費等 Medical treatment expenses， etc.／計 Total／件数 Cases,総数 Total／療養費等 Medical treatment expenses， etc.／計 Total／金額 Amount,総数 Total／療養費等 Medical treatment expenses， etc.／診療費 Consultation fees／件数 Cases,総数 Total／療養費等 Medical treatment expenses， etc.／診療費 Consultation fees／金額 Amount,総数 Total／療養費等 Medical treatment expenses， etc.／食事療養 Meals／件数 Cases,総数 Total／療養費等 Medical treatment expenses， etc.／食事療養 Meals／金額 Amount 2),総数 Total／療養費等 Medical treatment expenses， etc.／移送費 Transfer expenses／件数 Cases,総数 Total／療養費等 Medical treatment expenses， etc.／移送費 Transfer expenses／金額 Amount,総数 Total／療養費等 Medical treatment expenses， etc.／その他 Others／件数 Cases,総数 Total／療養費等 Medical treatment expenses， etc.／その他 Others／金額 Amount,高額療養費 High-cost medical treatment expenses／件数 Cases,高額療養費 High-cost medical treatment expenses／金額 Amount,公営 Public／件数 Cases,公営 Public／金額 Amount,組合 National health insurance association／件数 Cases,組合 National health insurance association／金額 Amount
平成28,2016,69890498,1290304934,67457698,1267054428,744275,409424606,34384325,466871187,8701784,107608950,23518502,258823202,694706,16945653,108812,7380830,2432800,23250506,51588,929531,743,-,30,5894,2380439,22315081,1922659,116896575,53538810,1036547212,16351688,253757722
平成29,2017,67532581,1264532286,65297437,1243340004,719611,404181921,33148215,458641712,8474127,104156189,22831443,251418567,674881,16460249,124041,8481366,2235144,21192282,50854,977082,888,-,46,1973,2183356,20213227,1944480,114584812,51225280,1010959237,16307301,253573048
平成30,2018,66092376,1237223279,64000771,1217441977,697864,398751187,32424609,453875407,8293744,101620642,22445764,237705834,653935,15896062,138790,9592845,2091605,19781302,54212,1043640,1520,-,32,9194,2035841,18728468,1887572,113841889,49834403,985858709,16257973,251364569
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-8  医療保険 (2) 国民健康保険 b 給付決定状況 (療養諸費) (平成28～30年度) 18-8  HEALTH INSURANCE (2) NATIONAL HEALTH INSURANCE  b BENEFIT PAYMENTS  ( Medical Treatment Related Expenses ) ( Fiscal Years 2016-2018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注 1) 入院の食事療養に係る件数の再掲である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) 「療養費等」の食事療養の金額については，「療養の給付」の食事療養に計上されている。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1）Figures in parentheses are a relisting of inpatients receiving meal benefits.　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) The meal expenses of ""medical treatment expenses， etc."" are tabulated under the meals of ""medical treatment benefits.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　金額　千円） (Value in thousands of yen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
