年度,Fiscal year,会計階層,会計,Account,当初予算額 Original budget,最終予算額 Final budget 1) ,決算額 Settlement
平成27,2015,0,総数,Total,13870594,14391307,13413243
平成28,2016,0,総数,Total,13655995,13839109,12934488
平成29,2017,0,総数,Total,13054164,13526161,12659949
平成30,2018,0,総数,Total,14443951,15103097,14402079
令和元,2019,0,総数,Total,14959438,15373303,14614086
令和元,2019,1,一般会計,General account,7461000,7804519,7444627
令和元,2019,1,特別会計,Special accounts,5550462,5536281,5410739
令和元,2019,2,特別区財政調整,Financial adjustments for ku,1081976,1099226,1099226
令和元,2019,2,地方消費税清算,Local consumption tax adjustment,1836485,1812712,1751580
令和元,2019,2,小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,372,372,15
令和元,2019,2,国民健康保険事業,National health insurance program,1105244,1105244,1095125
令和元,2019,2,母子父子福祉貸付資金,Single parent welfare loan funds,3936,3936,2607
令和元,2019,2,心身障害者扶養年金,Annuity for the mentally or physically impaired,4341,4341,4121
令和元,2019,2,中小企業設備導入等資金,"Small to medium-sized enterprises capital
investment， etc.， funds",865,865,723
令和元,2019,2,林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,52,52,-
令和元,2019,2,沿岸漁業改善資金助成,Coastal fishery improvement subsidies,48,48,3
令和元,2019,2,と場,Slaughter house,5553,5553,5270
令和元,2019,2,都営住宅等事業,Metropolitan public housing， etc.,171431,187532,158142
令和元,2019,2,都営住宅等保証金,Metropolitan public housing， etc.， security deposits,2502,2502,2453
令和元,2019,2,都市開発資金,Urban development funds,4954,4954,3953
令和元,2019,2,用地,Land acquisition,43138,19236,5594
令和元,2019,2,公債費,Debt services,1287454,1287454,1281157
令和元,2019,2,臨海都市基盤整備事業,Waterfront urban infrastructure development,2111,2254,771
令和元,2019,1,公営企業会計,Public enterprise accounts,1947976,2032503,1758719
令和元,2019,2,病院,Hospital,204228,204309,198703
令和元,2019,2,中央卸売市場,Central Wholesale Market,54249,54900,44052
令和元,2019,2,都市再開発事業,Urban redevelopment,14885,14885,7223
令和元,2019,2,臨海地域開発事業,Waterfront area development ,22856,26001,16096
令和元,2019,2,港湾事業,Port and harbor,9393,9393,5147
令和元,2019,2,交通事業,Transportation,87464,87673,75605
令和元,2019,2,高速電車事業,Railway,291373,296773,252973
令和元,2019,2,電気事業,Electric power,1809,1892,1273
令和元,2019,2,水道事業,Waterworks,519401,542601,443559
令和元,2019,2,工業用水道事業,Industrial waterworks,6715,6715,3243
令和元,2019,2,下水道事業,Sewerage,735603,787361,710844
,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　21  財政 21  PUBLIC FINANCE,,,,,,,
21-1 会計別予算，決算額 (平成27～令和元年度) (歳出) 21-1  BUDGET AND SETTLEMENT BY ACCOUNT ( Fiscal Years 2015-2019 ) ( EXPENDITURE ),,,,,,,
注1) 最終予算額は，前年度からの繰越額を含む。 ,,,,,,,
2) 公営企業会計は，収益的支出額及び資本的支出額の合算額である。 ,,,,,,,
Note:1) The final budget includes the balance brought forward from the previous fiscal year.,,,,,,,
2) The Public enterprise accounts are the sum of revenue expenditure and capital expenditure.,,,,,,,
資料：都財務局主計部財政課 Source: Bureau of Finance， TMG,,,,,,,
会計階層（0:総数　1:一般会計・特別会計・公営企業会計　2:会計）,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,
