年度,Fiscal year,地域階層,地域コード,地域,District,身体障害者手帳交付台帳  Physical impairment certificate ledger data／年度末現在 As of the end of the fiscal year,身体障害者手帳交付台帳  Physical impairment certificate ledger data／新規交付 New issues,身体障害者手帳交付台帳  Physical impairment certificate ledger data／返還 Returned,身体障害者手帳交付台帳  Physical impairment certificate ledger data／他県より転入 In-migrants from other prefectures,身体障害者手帳交付台帳  Physical impairment certificate ledger data／他県へ転出 Out-migrants to other prefectures,身体障害者手帳交付台帳  Physical impairment certificate ledger data／都内より転入 In-migrants  within Tokyo,身体障害者手帳交付台帳  Physical impairment certificate ledger data／都内へ転出 Out-migrants within Tokyo,「愛の手帳」交付数（年度末現在） Intellectual impairment certificates issued (As of the end of the fiscal year) 1)
平成26,2014,0,13000,総数,Tokyo-to,482223,23484,22099,2845,1535,12555,12555,80369
平成27,2015,0,13000,総数,Tokyo-to,480798,21835,21418,2837,1673,11618,11583,82999
平成28,2016,0,13000,総数,Tokyo-to,482656,22213,21498,2803,1660,11573,11573,85650
平成29,2017,0,13000,総数,Tokyo-to,486563,22082,19163,2688,1980,10314,10359,88168
平成30,2018,0,13000,総数,Tokyo-to,488171,22648,21872,2605,1798,10748,10723,90630
平成30,2018,1,13100,区部,All ku,336152,15214,14848,1794,1254,7480,7651,56892
平成30,2018,2,13101,千代田区,Chiyoda-ku,2387,84,71,21,10,44,42,227
平成30,2018,2,13102,中央区,Chuo-ku,3482,215,182,54,20,148,142,518
平成30,2018,2,13103,港区,Minato-ku,7836,352,214,66,22,211,222,1008
平成30,2018,2,13104,新宿区,Shinjuku-ku,13652,553,642,62,55,361,362,1605
平成30,2018,2,13105,文京区,Bunkyo-ku,6384,291,264,42,34,129,158,996
平成30,2018,2,13106,台東区,Taito-ku,9741,359,419,40,36,192,190,1000
平成30,2018,2,13107,墨田区,Sumida-ku,9278,486,452,53,53,209,214,1725
平成30,2018,2,13108,江東区,Koto-ku,19101,874,722,74,65,365,376,3341
平成30,2018,2,13109,品川区,Shinagawa-ku,14409,597,537,89,53,275,281,2003
平成30,2018,2,13110,目黒区,Meguro-ku,7829,367,213,44,25,136,172,1300
平成30,2018,2,13111,大田区,Ota-ku,27986,1216,1259,142,105,554,553,4511
平成30,2018,2,13112,世田谷区,Setagaya-ku,24852,1230,1334,144,80,603,596,4524
平成30,2018,2,13113,渋谷区,Shibuya-ku,6709,285,300,38,26,160,207,898
平成30,2018,2,13114,中野区,Nakano-ku,10450,515,493,61,34,250,301,1587
平成30,2018,2,13115,杉並区,Suginami-ku,16193,795,956,89,64,367,379,2707
平成30,2018,2,13116,豊島区,Toshima-ku,10007,464,491,61,39,194,249,1358
平成30,2018,2,13117,北区,Kita-ku,17417,637,640,63,47,338,344,2522
平成30,2018,2,13118,荒川区,Arakawa-ku,9662,413,413,44,28,185,180,1347
平成30,2018,2,13119,板橋区,Itabashi-ku,21434,905,900,124,87,530,510,3968
平成30,2018,2,13120,練馬区,Nerima-ku,24413,1122,884,137,98,542,536,5099
平成30,2018,2,13121,足立区,Adachi-ku,30483,1460,1366,139,104,760,699,5761
平成30,2018,2,13122,葛飾区,Katsushika-ku,17580,814,882,69,62,388,398,3453
平成30,2018,2,13123,江戸川区,Edogawa-ku,24867,1180,1214,138,107,539,540,5434
平成30,2018,1,13200,市部,All shi,147435,7272,6855,802,523,3170,2997,32874
平成30,2018,2,13201,八王子市,Hachioji-shi,15584,1049,989,100,84,138,113,4627
平成30,2018,2,13202,立川市,Tachikawa-shi,7430,344,330,41,26,219,191,1532
平成30,2018,2,13203,武蔵野市,Musashino-shi,4293,248,224,21,12,145,110,1219
平成30,2018,2,13204,三鷹市,Mitaka-shi,5788,300,290,42,17,137,148,1241
平成30,2018,2,13205,青梅市,Ome-shi,6572,245,222,28,18,164,119,1194
平成30,2018,2,13206,府中市,Fuchu-shi,8707,416,343,48,36,224,230,1995
平成30,2018,2,13207,昭島市,Akishima-shi,3983,208,219,14,8,104,100,949
平成30,2018,2,13208,調布市,Chofu-shi,8755,370,227,35,17,195,204,1539
平成30,2018,2,13209,町田市,Machida-shi,16128,745,682,108,66,271,251,3771
平成30,2018,2,13210,小金井市,Koganei-shi,3247,195,191,19,13,61,76,717
平成30,2018,2,13211,小平市,Kodaira-shi,6758,294,222,29,18,119,123,1541
平成30,2018,2,13212,日野市,Hino-shi,6108,301,229,34,26,108,103,1393
平成30,2018,2,13213,東村山市,Higashimurayama-shi,7468,295,230,22,24,157,134,1389
平成30,2018,2,13214,国分寺市,Kokubunji-shi,3984,198,109,37,10,84,83,821
平成30,2018,2,13215,国立市,Kunitachi-shi,2606,130,118,19,14,102,99,562
