年度,Fiscal year,個人保険 Individual Insurance／件数 Number,個人保険 Individual Insurance／金額 Value,団体保険 Group Insurance／団体数 Number,団体保険 Group Insurance／被保険者数 Persons insured,団体保険 Group Insurance／金額 Value,個人年金保険 Individual Annuity Insurance 1)／件数 Number,個人年金保険 Individual Annuity Insurance 1)／金額 Value
平成27,2015,18525165,108342808,17767,173554788,253645900,2035589,12516425
平成28,2016,19238877,109664651,18012,171514042,255542121,2160840,13222149
平成29,2017,19761820,108898380,17668,177148583,257281220,2107608,12838049
平成30,2018,20573702,109083331,17518,172761172,261557653,2118441,12878993
令和元,2019,21290639,107447291,17387,169680469,265337800,2128533,12852742
,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　15  金融 15  FINANCE,,,,,,,,
15-4  生命保険会社契約高 (3) 保有契約 (平成27～令和元年度) 15-4  CONTRACT AMOUNT OF LIFE INSURANCE COMPANIES (3) POLICIES IN FORCE ( Fiscal Years 2015-2019 ),,,,,,,,
注 1) 年金開始前 (金額は年金支払い開始時における年金原資)。,,,,,,,,
Note: 1) Prior to the start of annuity payments (amount of annuity funds at the start of the payments).,,,,,,,,
資料：（一社）生命保険協会 「生命保険事業概況」 Source: The Life Insurance Association of Japan,,,,,,,,
(単位　金額　百万円) (Value in millions of yen),,,,,,,,
