年度末,End of fiscal year,テレビTV broadcasting facilities／総数 Total,テレビTV broadcasting facilities／登録設備 Registered,テレビTV broadcasting facilities／届出設備 Filed,テレビTV broadcasting facilities／届出設備 Filed／うち小規模施設特定有線一般放送 a) 1)
平成27,2015,3873,64,3809,-
平成28,2016,3365,64,3301,808
平成29,2017,3343,64,3279,797
平成30,2018,4220,64,4156,1691
令和元,2019,7217,65,7152,1721
,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) 5　通信・情報 5  COMMUNICATION AND INFORMATION,,,,,
5-4  有線放送施設数（テレビ） (平成27～令和元年度末) 5-4 CABLE BROADCASTING FACILITIES （ TV ）( End of Fiscal Years 2015-2019 ),,,,,
a) of which general broadcasts via cable transmitted by small-scale facilities,,,,,
注１） 平成28年4月1日に，地域の自主性及び自立性を高めるための改革の推進を図るための関係法律の整備に関する法律（平成26年法律第51号）の施行に伴う放送法の一部改正により，辺地共聴施設等の小規模な共聴施設により行われる地上テレビジョン放送等の再放送を「小規模施設特定有線一般放送」と規定し，その業務に関する事務・権限について，総務大臣から都道府県知事に移譲した。,,,,,
"Note: 1)  On April 1， 2016， the partial amendment of the Broadcasting Act came into effect following the enforcement of the Act Concerning the Establishment of Relevant Acts for the Promotion of Reforms for the Enhancement of Autonomy and Independence of the Regions (Act No. 512014)， in which the retransmission of terrestrial television and other broadcasts using remote-area and other small-scale audio and video reception facilities was defined as ""general broadcasts via cable transmitted by small-scale facilities."" Administrative duties and authority concerning the operation of such broadcasting services were also transferred from the Minister of Internal Affairs and Communications to the prefectural governors.",,,,,
資料：総務省情報流通行政局，都戦略政策情報推進本部ＩＣＴ推進部情報通信運用課 Source: Ministry of Internal Affairs and Communications; Office for Strategic Policy and ICT Promotion， TMG,,,,,
