年度平均,Average of fiscal year,水質状況 ,Water quality,江戸川 Edogawa river／篠崎水門 Shinozaki flood gate,江戸川 Edogawa river／浦安橋 Urayasu bridge,中川 Nakagawa river／潮止橋 Shiodome bridge,中川 Nakagawa river／飯塚橋 Iizuka bridge,中川 Nakagawa river／葛西小橋 Kasai kobashi bridge,綾瀬川 Ayase river／内匠橋 Takumi bridge,綾瀬川 Ayase river／四ツ木小橋 Yotsugi kobashi bridge,荒川 Arakawa river／新荒川大橋 New Arakawaohashi bridge,荒川 Arakawa river／葛西橋 Kasai bridge,新河岸川 Shingashi river／徳丸橋 Tokumaru bridge,新河岸川 Shingashi river／志茂橋 Shimo bridge,隅田川 Sumida river／小台橋 Odai bridge,隅田川 Sumida river／両国橋 Ryogoku bridge,旧中川 Old Nakagawa river／中平井橋 Nakahirai bridge,石神井川 Shakujii river／豊石橋 Hohseki bridge,神田川 Kanda river／柳橋 Yanagi bridge,目黒川 Meguro river／太鼓橋 Taiko bridge,多摩川 Tama river／拝島橋 Haijima bridge,多摩川 Tama river／調布取水堰 Chofu intake weir,多摩川 Tama river／大師橋 Daishi bridge,秋川 Akikawa river／東秋川橋 Higashiakikawa bridge
平成27,2015,生物化学的酸素要求量,Biochemical oxygen demand， BOD,0.9,1.8,1.8,1.8,1.9,1.7,1.9,…,1.4,3.6,3.2,2.1,2.3,1.5,2,2.6,2.6,0.6,1.2,1.5,0.6
平成28,2016,生物化学的酸素要求量,Biochemical oxygen demand， BOD,1.2,1.8,2.8,2.7,1.8,2.1,1.9,…,1.1,4.1,3.3,2.8,2,1.3,1.9,3.1,4.7,0.7,1.2,1.4,0.6
平成29,2017,生物化学的酸素要求量,Biochemical oxygen demand， BOD,1.1,1.7,2.7,2.6,2,2.3,2.5,…,1.3,3.7,3,2.3,2.1,1.7,2.2,2.3,3.4,0.8,1.2,1.7,0.6
平成30,2018,生物化学的酸素要求量,Biochemical oxygen demand， BOD,1.4,1.2,2.7,2.5,1.2,2.6,1.4,…,1.4,3.3,2.3,1.7,1.6,1.5,1.5,2,1.9,0.6,1,1.8,0.6
令和元,2019,生物化学的酸素要求量,Biochemical oxygen demand， BOD,1.5,1.6,2.2,2.2,1.4,1.9,1.7,…,1.1,3.6,3.5,2.2,2.7,2.1,2.6,4.7,3.2,0.6,1.3,1.6,0.5
平成27,2015,溶存酸素量,Dissolved oxygen， DO,9.8,8.7,7.8,7.5,6.8,5.7,6.2,…,6,7.2,6.5,5,4.7,5.7,6.3,4.6,6.4,10,9,7.2,10.8
平成28,2016,溶存酸素量,Dissolved oxygen， DO,9.8,8.6,8.5,8.2,6.5,5.9,7,…,6.3,7.2,6.3,5.3,4.9,5.4,6.5,4.6,4.5,10,9.2,7.2,10.5
平成29,2017,溶存酸素量,Dissolved oxygen， DO,9.8,8.7,8.4,8.1,6.7,6.1,7.2,…,6.1,7.1,6.2,5.3,4.8,6.8,6.2,4.8,5.9,9.6,9.2,7.4,10.4
平成30,2018,溶存酸素量,Dissolved oxygen， DO,9.4,8.4,8.4,8.1,7,6.2,7.1,…,6.2,7.3,6.7,5.7,5.4,7,7.3,5.1,6.4,10,8.5,7.1,10.6
令和元,2019,溶存酸素量,Dissolved oxygen， DO,10,8.6,8.4,8.2,6.3,6.3,6.9,…,5.7,7.1,6.2,5,4.4,6.3,5.8,4.2,6.7,10,9,7.4,10.7
