地域階層,地域コード,項番 Item number,地域,District,マーク Mark,総数 Total,交通事故 Traffic accidents,火災事故 Fire accidents,運動競技事故 Sports accidents,自然災害事故 Natural disasters accidents,水難事故 Drowning accidents,労働災害事故 Labor accidents,一般負傷 General injuries,自損行為 Self-inflicted injuries,加害 Assault,急病 Acute illness,転院搬送 Transported to a different hospital,医師搬送 Doctor transport,資器材等輸送 Transport of equipment， etc.,その他 Other responses
0,13000,,総数,Tokyo-to,,825929,45696,3539,5281,21,880,5404,147601,5317,6112,550306,45179,211,556,9826
1,13100,,区部,All ku,,608688,32591,2670,3491,15,670,4168,108389,3803,4910,407606,32387,172,436,7380
2,13101,1,千代田区,Chiyoda-ku,,15394,789,84,91,-,5,213,3035,59,143,10176,680,-,8,111
2,13102,2,中央区,Chuo-ku,,14511,883,63,54,-,17,192,2608,70,108,9689,688,-,-,139
2,13103,3,港区,Minato-ku,,24589,1433,131,157,-,21,296,4433,128,331,16346,998,-,5,310
2,13104,4,新宿区,Shinjuku-ku,,36579,1500,184,202,-,14,254,6421,301,551,24774,1840,-,9,529
2,13105,5,文京区,Bunkyo-ku,,12737,610,62,117,-,9,72,2260,52,59,7972,1389,-,9,126
2,13106,6,台東区,Taito-ku,,19446,925,71,71,-,28,150,3874,113,234,12981,738,-,-,261
2,13107,7,墨田区,Sumida-ku,,18209,1072,75,71,2,29,100,3170,100,134,11954,1286,2,9,205
2,13108,8,江東区,Koto-ku,,30484,1798,115,289,1,41,397,5104,161,235,20278,1520,132,7,406
2,13109,9,品川区,Shinagawa-ku ,,23438,1139,101,146,-,28,176,4215,116,135,16039,1087,-,1,255
2,13110,10,目黒区,Meguro-ku,,14264,823,62,100,-,4,75,2722,83,84,9279,843,3,26,160
2,13111,11,大田区,Ota-ku ,,41758,2369,156,195,2,65,358,7656,192,245,27922,2098,3,20,477
2,13112,12,世田谷区,Setagaya-ku,,45424,2581,203,406,1,39,269,8261,256,266,30145,2385,10,84,518
2,13113,13,渋谷区,Shibuya-ku,,21419,1089,116,149,-,6,268,3751,113,281,14348,981,21,13,283
2,13114,14,中野区,Nakano-ku,,18875,822,79,79,-,19,78,3339,134,128,13108,798,-,14,277
2,13115,15,杉並区,Suginami-ku,,28007,1609,141,181,1,21,123,5394,220,152,18516,1132,1,62,454
2,13116,16,豊島区,Toshima-ku,,21871,917,120,121,-,14,132,3995,134,247,15115,792,-,5,279
2,13117,17,北区,Kita-ku,,22770,923,101,127,1,27,104,4048,153,141,15620,1240,-,1,284
2,13118,18,荒川区,Arakawa-ku ,,13832,645,53,37,-,23,73,2481,76,113,9039,1059,-,56,177
2,13119,19,板橋区,Itabashi-ku,,33822,1794,162,134,1,34,129,5699,229,238,22875,2075,-,39,413
2,13120,20,練馬区,Nerima-ku,,37413,2123,137,181,-,31,144,6471,263,217,25649,1778,-,16,403
2,13121,21,足立区,Adachi-ku,,45334,2800,172,225,3,61,247,7430,353,332,30171,2989,-,30,521
2,13122,22,葛飾区,Katsushika-ku,,30121,1719,127,156,2,61,139,5267,193,230,19525,2461,-,11,230
2,13123,23,江戸川区,Edogawa-ku ,,38391,2228,155,202,1,73,179,6755,304,306,26085,1530,-,11,562
1,,,消防事務受託地区,Entrusted districts,,216927,13046,867,1790,6,202,1235,39210,1512,1202,142691,12585,16,120,2445
1,,,その他,Others,※,314,59,2,-,-,8,1,2,2,-,9,207,23,-,1
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,
20-19  地域別種類別救急件数 （平成31･令和元年） 20-19  EMERGENCY CASES BY DISTRICT AND KIND ( 2019 ),,,,,,,,,,,,,,,,,,,,
この表は， 区部及び消防事務受託地区で， 東京消防庁が扱った件数である。,,,,,,,,,,,,,,,,,,,,
Figures refer to the number of cases handled by the Tokyo Fire Department in the special ward (ku) area and entrusted districts.,,,,,,,,,,,,,,,,,,,,
注) ※東京消防庁管轄区域以外の地域をいう。,,,,,,,,,,,,,,,,,,,,
Note: ※Districts outside the jurisdiction of the Tokyo Fire Department.,,,,,,,,,,,,,,,,,,,,
資料：東京消防庁企画調整部企画課 Source: Tokyo Fire Department,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部･消防事務受託地区･その他　2:区市町村),,,,,,,,,,,,,,,,,,,,
