年度,Fiscal year,種類 ,Kind,発生量 Generated,有償物量 Valuables recovered,排出量 Discharged,直接再生利用量 Direct recycle use 1,直接最終処分量 Direct final disposal 2,中間処理 Intermediate processing ／処理量 Processed 3,中間処理 Intermediate processing／処理残さ量 Residues 4,中間処理 Intermediate processing／処理後再生利用量 Recycled after processing 5,中間処理 Intermediate processing／最終処分量 Final disposal 6,再生利用量 Recycled 1＋5,減量化量 Reduced disposal 3-4,最終処分量 Final disposal 2＋6
平成26,2014,総数 ,Total,24812,138,24674,36,69,24569,9875,9240,635,9276,14694,704
平成27,2015,総数 ,Total,23811,112,23699,20,34,23645,10176,9604,572,9624,13469,606
平成28,2016,総数 ,Total,27014,91,26923,26,47,26850,10196,9663,533,9689,16654,580
平成29,2017,総数 ,Total,27376,92,27284,14,106,27164,9716,9238,478,9252,17448,584
平成30,2018,総数 ,Total,26685,125,26560,5,241,26314,9202,8788,414,8793,17112,655
平成30,2018,燃えがら ,Cinders,2,-,2,-,-,2,1,-,1,-,1,1
平成30,2018,汚でい ,Sludge,18545,4,18541,1,3,18537,1748,1647,101,1648,16789,104
平成30,2018,廃油 ,Waste oil,23,2,21,-,-,21,9,9,-,9,12,-
平成30,2018,廃酸 ,Waste acid,15,-,15,-,-,15,7,6,1,6,8,1
平成30,2018,廃アルカリ ,Waste alkaline,6,-,6,-,-,6,3,3,-,3,3,-
平成30,2018,廃プラスチック類 ,Waste plastics,362,3,359,-,2,357,285,257,28,257,72,30
平成30,2018,紙くず ,Paper scrap,72,20,52,-,-,52,41,41,-,41,11,-
平成30,2018,木くず ,Wood scrap,430,-,430,-,-,430,399,393,6,393,31,6
平成30,2018,繊維くず ,Textile scrap,4,-,4,-,-,4,3,2,1,2,1,1
平成30,2018,動植物性残さ ,Plant and animal scraps,48,12,36,-,-,36,23,23,-,23,13,-
平成30,2018,ゴムくず ,Rubber scrap,-,-,-,-,-,-,-,-,-,-,-,-
平成30,2018,金属くず ,Metal scrap,243,79,164,-,-,164,161,159,2,159,3,2
平成30,2018,ガラス・コンクリート・陶磁器くず ,Glass， concrete， and porcelain scrap,975,3,972,-,148,824,790,723,67,723,34,215
平成30,2018,鉱さい ,Slag,33,-,33,-,1,32,32,30,2,30,-,3
平成30,2018,がれき類 ,Rubble,5397,2,5395,-,4,5391,5354,5236,118,5236,37,122
平成30,2018,ばいじん ,Dust,7,-,7,-,-,7,7,-,7,-,-,7
平成30,2018,動物の糞尿 ,Animal excretions,38,-,38,-,-,38,23,23,-,23,15,-
平成30,2018,動物の死体 ,Animal carcasses,-,-,-,-,-,-,-,-,-,-,-,-
平成30,2018,混合廃棄物 ,Mixed waste,325,-,325,-,20,305,279,208,71,208,26,91
平成30,2018,その他の廃棄物 ,Other waste,79,-,79,-,59,20,18,12,6,12,2,65
平成30,2018,政令13号物 ,Wastes described in Art. 2-13， Cabinet Order on Waste Management & Public Cleansing Act ,1,-,1,-,-,1,1,1,-,1,-,-
平成30,2018,特別管理産業廃棄物 ,Specially controlled industrial waste,80,-,80,4,4,72,18,15,3,19,54,7
,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,
19-10  産業廃棄物処理・処分状況 (平成26～30年度) 19-10  PROCESSING AND DISPOSAL OF INDUSTRIAL WASTES ( Fiscal Years 2014-2018 ),,,,,,,,,,,,,,,
この表は， 推計である。　,,,,,,,,,,,,,,,
Figures are estimates.,,,,,,,,,,,,,,,
資料：都環境局資源循環推進部計画課 「東京都産業廃棄物経年変化実態調査報告書」 Source: Bureau of Environment， TMG,,,,,,,,,,,,,,,
（単位 千トン）(In thousands of tons),,,,,,,,,,,,,,,
