年度,Fiscal year,適用事業所数 Establishments covered (A),被保険者数 Workers insured (B),徴収決定額 Premium decided,収納済額 Premium received,不納欠損額 Deficit from uncollectable accounts,収納未済額 Premium unreceived
平成27,2015,343020,9414674,890142049,882846836,1336812,5958399
平成28,2016,351850,9680535,788695629,782814090,884357,4997181
平成29,2017,360871,9918614,692165383,687217872,803677,4143833
平成30,2018,367534,10152220,706053629,701434089,646284,3973255
令和元,2019,373328,10366793,724355547,719657541,702174,3995830
,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　7  労働 7  LABOR,,,,,,,
7-3  雇用保険 (一般) 適用と労働保険の徴収状況 (平成27～令和元年度) 7-3  COVERAGE BY ( GENERAL ) EMPLOYMENT INSURANCE AND COLLECTION OF LABOR INSURANCE ( Fiscal Years 2015-2019 ),,,,,,,
注) A，B欄の各年の数字は３月末のもの。金額については，単位未満を切り捨ててある。,,,,,,,
Note: Columns A and B： Yearly figures as of March of the year stated.  Figures under thousand are rounded down.,,,,,,,
資料：東京労働局 Source: Tokyo Labor Bureau,,,,,,,
（単位　金額　千円）(In thousands of yen),,,,,,,
