地域階層,地域コード,地域,District,総数 Total,一般行政職 General administrative services,税務職 Tax services,医師・歯科医師職 Physicians and dentists,薬剤師医療技術職(栄養士含む） Pharmacists and medical technicians (includes nutritionists) ,看護保健職 Nursing and public health services,福祉職 Social welfare services,消防職 Firefighting services,企業職 Public enterprise employees,技能労務職 Vocational labor,教育職 Educational services,臨時職員 Temporary employees
0,13200,市部,All shi,24687,15711,1679,58,536,997,2151,110,1804,1539,102,-
1,13201,八王子市,Hachioji-shi,2828,1981,212,3,99,85,122,-,-,315,11,-
1,13202,立川市,Tachikawa-shi,1071,750,72,-,21,35,104,-,-,86,3,-
1,13203,武蔵野市,Musashino-shi,928,665,66,-,17,42,101,-,18,16,3,-
1,13204,三鷹市,Mitaka-shi,989,628,75,-,38,34,148,-,-,63,3,-
1,13205,青梅市,Ome-shi,1480,545,63,-,4,23,-,-,769,74,2,-
1,13206,府中市,Fuchu-shi,1319,844,88,-,28,55,217,-,-,72,15,-
1,13207,昭島市,Akishima-shi,626,463,47,-,7,17,21,-,23,46,2,-
1,13208,調布市,Chofu-shi,1277,879,88,-,30,41,145,-,-,91,3,-
1,13209,町田市,Machida-shi,2968,1658,166,4,55,67,153,-,647,213,5,-
1,13210,小金井市,Koganei-shi,677,401,62,-,18,15,128,-,-,51,2,-
1,13211,小平市,Kodaira-shi,950,625,72,-,13,27,145,-,-,65,3,-
1,13212,日野市,Hino-shi,1405,679,60,51,86,267,150,-,-,92,20,-
1,13213,東村山市,Higashimurayama-shi,790,529,56,-,20,23,120,-,-,39,3,-
1,13214,国分寺市,Kokubunji-shi,654,443,48,-,13,25,75,-,-,48,2,-
1,13215,国立市,Kunitachi-shi,477,317,45,-,14,19,72,-,-,8,2,-
1,13218,福生市,Fussa-shi,389,326,28,-,-,15,-,-,-,18,2,-
1,13219,狛江市,Komae-shi,440,294,32,-,8,13,64,-,-,27,2,-
1,13220,東大和市,Higashiyamato-shi,471,377,38,-,2,14,21,-,-,17,2,-
1,13221,清瀬市,Kiyose-shi,443,310,36,-,4,16,45,-,-,30,2,-
1,13222,東久留米市,Higashikurume-shi,591,368,51,-,17,25,96,-,-,32,2,-
1,13223,武蔵村山市,Musashimurayama-shi,390,314,39,-,3,16,-,-,-,16,2,-
1,13224,多摩市,Tama-shi,844,665,57,-,9,36,26,-,14,34,3,-
1,13225,稲城市,Inagi-shi,869,332,42,-,4,16,31,110,321,11,2,-
1,13227,羽村市,Hamura-shi,374,310,27,-,1,14,-,-,12,8,2,-
1,13228,あきる野市,Akiruno-shi,438,348,39,-,4,15,19,-,-,11,2,-
1,13229,西東京市,Nishitokyo-shi,999,660,70,-,21,42,148,-,-,56,2,-
,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,,,
22-5  職員数 (3) 市 (平成31年4月1日) 22-5  GOVERNMENT EMPLOYEES  (3) SHI ( Apr. 1， 2019 ),,,,,,,,,,,,,,,
注) 教育職には、教育長、小・中学校教員は含まない。,,,,,,,,,,,,,,,
Note: Educational services figures do not include the Director General (Office of Education) or teachers of elementary and junior high schools.,,,,,,,,,,,,,,,
資料：都総務局行政部区政課・市町村課 「東京都区市町村年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,
地域階層（0:市部　1:区市町村）,,,,,,,,,,,,,,,
