年度末,End of fiscal year,事業所数 Establishments／総数 Total,事業所数 Establishments／(再掲) (Relisted)／任意適用 Voluntary coverage,事業所数 Establishments／(再掲) (Relisted)／育児休業あり Childcare leave available,被保険者数 Insured persons／総数 Total,被保険者数 Insured persons／男子 Male,被保険者数 Insured persons／女子 Female,被保険者数 Insured persons／(再掲) (Relisted)／任意適用 Voluntary coverage,被保険者数 Insured persons／(再掲) (Relisted)／任意継続 Voluntary continuous coverage,被保険者数 Insured persons／(再掲) (Relisted)／高齢受給者(一般) Elderly recipients (general) ,被保険者数 Insured persons／(再掲) (Relisted)／高齢受給者(一定以上所得者) Elderly recipients (with incomes exceeding set limits),被扶養者数 Number of dependents／総数 Total,被扶養者数 Number of dependents／男子 Male,被扶養者数 Number of dependents／女子 Female,被扶養者数 Number of dependents／(再掲) (Relisted)／義務教育就学前  Under compulsory school age,被扶養者数 Number of dependents／(再掲) (Relisted)／高齢受給者(一般) Elderly recipients (general),被扶養者数 Number of dependents／(再掲) (Relisted)／高齢受給者(一定以上所得者) Elderly recipients (with incomes exceeding set limits),扶養率 Proportion of dependents,標準報酬月額の平均 Average standard monthly remuneration／平均 Average,標準報酬月額の平均 Average standard monthly remuneration／男子 Male,標準報酬月額の平均 Average standard monthly remuneration／女子 Female
平成29,2017,330652,7047,11356,2971816,1790462,1181354,20055,11727,47976,22886,1695249,566081,1129168,311979,32224,3681,57,318796,360432,255691
平成30,2018,357902,7562,12554,3132908,1870344,1262564,21223,13034,58694,26774,1734654,583674,1150980,319525,34990,4448,55.4,322144,364470,259442
令和元,2019,384818,8128,13668,3679167,2014918,1664249,22616,13748,71456,31088,1825404,623418,1201986,336155,39323,5568,49.6,316109,365710,256056
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,,,,,,,,
18-8  医療保険 (1) 全国健康保険協会管掌健康保険 a 適用状況 (平成29～令和元年度末) 18-8  HEALTH INSURANCE (1) MANAGED BY JAPAN HEALTH INSURANCE ASSOCIATION a COVERAGE ( End of Fiscal Years 2017-2019 ) ,,,,,,,,,,,,,,,,,,,,,
各年度3月分の数値である。  ,,,,,,,,,,,,,,,,,,,,,
Figures for March of each fiscal year.,,,,,,,,,,,,,,,,,,,,,
資料：全国健康保険協会 Source: Japan Health Insurance Association ,,,,,,,,,,,,,,,,,,,,,
（単位　金額　円）(Value in yen),,,,,,,,,,,,,,,,,,,,,
