品目1,Classification 1,品目2,Classification 2,項番 Item number,品目3,Classification 3,銘柄,Specification,単位,Unit,マーク Mark,平成31･令和元年平均 2019 Av.,1月 Jan.,2月 Feb.,3月 Mar.,4月 Apr.,5月 May,6月 June,7月 July,8月 Aug.,9月 Sept.,10月 Oct.,11月 Nov.,12月 Dec.
食料,Food,穀類,Cereals,1,うるち米,Non-glutinous rice,国内産精米単一原料米(産地品種及び産年が同一のもの)袋入り(5kg入り)コシヒカリを除く,"Domestic， polished， single ingredient (those area， year of production and variety are the same)， in bag (5kg)， excluding ""Koshihikari""",1袋,1 bag,,2234,2241,2242,2244,2229,2216,2233,2233,2191,2223,2233,2252,2267
食料,Food,穀類,Cereals,2,食パン,White bread,普通品,Ordinary quality,1kg,1kg,,436,433,434,435,431,436,433,435,428,433,443,443,444
食料,Food,穀類,Cereals,3,カップ麺,Cup noodles,中華タイプ，内容量78g，「カップヌードル」,"Chinese type， net 78g， ""Cup Noodle""",1個,1 cup,※ 11月 Nov.,161,148,151,149,149,151,159,158,160,162,162,164,159
食料,Food,魚介類,Fish & seafood,1,まぐろ,Tuna fish,めばち 又は きはだ，刺身用，さく，赤身,"Big-eyed tuna or Yellowfin tuna， for  ""Sashimi""， not sliced， lean",100g,100g,,454,466,475,468,470,448,449,449,448,436,449,447,448
食料,Food,魚介類,Fish & seafood,2,あじ,Horse mackerel,まあじ丸(長さ約15cm以上）,Jack mackerel， whole (about 15cm or more in length),100g,100g,,110,139,115,106,96,95,102,101,119,111,118,107,108
食料,Food,魚介類,Fish & seafood,3,いか,Cuttlefish,するめいか，丸,Sagittated calamary， whole,100g,100g,,161,143,140,154,165,178,172,152,154,162,182,181,146
食料,Food,肉類,Meats,1,牛肉,Beef ,国産品，ロース,Domestic，loin,100g,100g,,897,922,887,883,886,906,888,900,920,892,897,894,895
食料,Food,肉類,Meats,2,豚肉,Pork,もも（黒豚を除く）,Legs (excluding Berkshire),100g,100g,,202,201,201,199,202,205,203,201,207,201,205,199,199
食料,Food,肉類,Meats,3,鶏肉,Chicken,ブロイラー，もも肉,Broiler， legs,100g,100g,,130,134,134,134,129,129,131,131,129,125,130,133,129
食料,Food,肉類,Meats,4,ハム,Ham,ロースハム， ＪＡＳ格付けなし， 普通品,Ham (Loin)， not Japanese Agricultural Standard (JAS) certified， ordinary quality,100g,100g,,203,204,201,201,201,203,200,201,205,204,203,205,205
食料,Food,乳卵類,Dairy products & eggs,1,牛乳,Fresh milk ,牛乳，店頭売り，紙容器入り（1000mL入り）,Fresh milk， sold in stores， in carton （1000mL）,1本,1 carton,,214,207,209,210,214,217,217,217,216,218,217,216,215
食料,Food,乳卵類,Dairy products & eggs,2,鶏卵,Hen eggs,白色卵，パック詰（10個入り），サイズ混合，〔卵重〕「MS52g～LL76g未満」，「MS52g～L70g未満」又は「M58g～L70g未満」,White eggs， packed (10 eggs)， size mixture， [Egg weight]「MS52g-LL76g」， 「MS52g-L70g」 and 「M58g-L70g」,1パック,1 pack,,223,226,221,220,224,225,224,223,221,221,222,223,222
食料,Food,野菜・海草,Vegetables & seaweeds,1,キャベツ,Cabbage,,,1kg,1kg,,169,177,186,139,177,191,168,154,188,177,154,161,154
食料,Food,野菜・海草,Vegetables & seaweeds,2,だいこん,Radishes,　　　　　　　　　　　　　　　　　　　　　,,1kg,1kg,,160,137,151,136,164,160,165,159,171,175,169,177,151
食料,Food,野菜・海草,Vegetables & seaweeds,3,豆腐,"""Tofu""，bean curd",木綿豆腐，並,"""Momen-tofu""，ordinary quality",1kg,1kg,,243,240,241,245,242,247,245,244,246,245,243,241,240
食料,Food,果物,Fruits,1,りんご,Apples ,ふじ， 1個  200～400g,"""Fuji""，200-400g each",1kg,1kg,,537,493,469,470,480,566,648,683,…,…,…,513,511
食料,Food,果物,Fruits,2,みかん,Mandarin oranges,温州みかん(ﾊｳｽみかんを除く)，1個 70～130g,"""Satsuma mandarins (excluding greenhouse stuff)""， 70 - 130g each",1kg,1kg,,686,697,765,879,…,…,…,…,…,663,588,587,623
食料,Food,果物,Fruits,3,いちご,Strawberries,国産品,Domestic,1kg,1kg,,1919,2073,1936,1907,1736,1587,…,…,…,…,…,…,2275
食料,Food,油脂・調味料,Oils， fats & seasonings,1,食用油,Edible oil,キャノーラ（なたね）油，ポリ容器入り（1000g入り）,Canola oil， in polyethylene container (1000g),1本,1 bottle,,291,291,288,287,289,290,286,293,292,296,294,296,290
食料,Food,油脂・調味料,Oils， fats & seasonings,2,みそ,Soybean paste,米みそ，カップ入り （750g入り），並,Fermented with rice malt， in cups (750g)， ordinary quality,1個,1 cup,,329,323,322,328,329,330,331,328,332,333,335,332,330
食料,Food,菓子類,Cakes & candies,1,ケーキ,Cakes ,いちごショートケーキ，1個(70～120g),Sponge cakes with cream and strawberry， 1 piece (70 -120g),1個,1 piece,,449,434,446,446,448,448,448,451,451,451,451,454,454
食料,Food,菓子類,Cakes & candies,2,チョコレート,Chocolate,板チョコレート，50～55g，「明治ミルクチョコレート」，「ロッテガーナミルクチョコレート」又は「森永ミルクチョコレート」,"Chocolate bar， 50 - 55g， ""Meiji milk chocolate""， ""LOTTE Ghana milk chocolate"" or ""Morinaga milk chocolate""",100g,100g,※ 10月 Oct.,212,102,101,105,105,105,105,105,106,107,214,214,208
