事業階層,事業,Program,施設総数 Total facilities,公営 Public management／施設数 Facilities,公営 Public management／定員 Capacity,公営 Public management／在所者数 Service users,私営 Private management／施設数 Facilities,私営 Private management／定員 Capacity,私営 Private management／在所者数 Service users
0,総数,Total,6760,1488,77489,96224,5272,298261,223945
1,保護施設,Public assistance facilities,37,-,-,-,37,2221,2200
2,救護施設,Relief facilities,10,-,-,-,10,911,995
2,更生施設,Rehabilitation facilities,11,-,-,-,11,850,954
2,医療保護施設,Medical facilities for persons requiring public assistance,10,-,…,…,10,…,…
2,授産施設（生活保護法）,Vocational facilities (Public Assistance Act),-,-,-,-,-,-,-
2,宿所提供施設（生活保護法）,Facilities providing accommodation (Public Assistance Act),6,-,-,-,6,460,251
1,老人福祉施設,Welfare facilities for the elderly,354,111,-,-,243,7424,7193
2,養護老人ホーム(一般）,Nursing homes (general),31,-,-,-,31,3331,3168
2,養護老人ホーム(盲),Nursing homes (visually impaired),1,-,-,-,1,100,98
2,軽費老人ホーム（A型),Low-cost homes (type A),8,-,-,-,8,600,593
2,軽費老人ホーム（B型),Low-cost homes (type B),-,-,-,-,-,-,-
2,軽費老人ホーム （ケアハウス）,Low-cost homes (care house),44,-,-,-,44,2137,2093
2,都市型軽費老人ホーム,Urban-style low-cost homes ,72,-,-,-,72,1256,1241
2,老人福祉センター（特A型）,Welfare centers (special type A),-,-,…,…,-,…,…
2,老人福祉センター（A型),Welfare centers (type A),67,26,…,…,41,…,…
2,老人福祉センター（B型),Welfare centers (type B),131,85,…,…,46,…,…
1,障害者支援施設等,Support facilities for persons with impairments， etc.,265,7,136,-,258,8199,6292
2,障害者支援施設,Support facilities  ,92,-,-,-,92,5084,6147
2,地域活動支援センター,Local activity support centers,160,7,136,…,153,2961,…
2,福祉ホーム,Group homes ,13,-,-,-,13,154,145
1,身体障害者社会参加支援施設,Support facilities for social participation of  persons with physical impairments,24,5,-,…,19,-,…
2,身体障害者福祉ｾﾝﾀｰ（Ａ型）,Welfare centers (type A),2,-,…,…,2,…,…
2,身体障害者福祉ｾﾝﾀｰ（Ｂ型）,Welfare centers (type B),7,3,…,…,4,…,…
2,障害者更生センター,Recreation and rehabilitation centers ,-,-,-,…,-,-,…
2,補装具製作施設,Prosthetic device making facilities,2,-,…,…,2,…,…
2,盲導犬訓練施設,Training facilities for guide dogs,1,-,…,…,1,…,…
2,点字図書館,Braille libraries,6,2,…,…,4,…,…
2,点字出版施設,Braille publishing facilities,5,-,…,…,5,…,…
