年度,Fiscal year,会社名,Company name,系統,Line,旅客営業キロ Passanger rail length(km),駅数 Stations,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets
平成27,2015,総数,Total,,,406.8,373,33388283,20959882,12428401
平成28,2016,総数,Total,,,406.8,373,33780108,21255283,12524827
平成29,2017,総数,Total,,,406.8,373,34327818,21611883,12715934
平成30,2018,総数,Total,,,406.8,373,34836197,21922207,12913990
令和元,2019,総数,Total,,,406.8,373,34648315,22110976,12537337
令和元,2019,小田急電鉄,Odakyu Electric Railway,,,26.5,23,5096117,3315519,1780598
令和元,2019,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,21.3,20,4978158,3233363,1744795
令和元,2019,小田急電鉄,Odakyu Electric Railway,多摩線,Tama Line,5.2,3,117959,82156,35803
令和元,2019,西武鉄道,Seibu Railway,,,93.4,71,6998687,4739236,2259451
令和元,2019,西武鉄道,Seibu Railway,池袋線,Ikebukuro Line,21.8,16,3282259,2201599,1080660
令和元,2019,西武鉄道,Seibu Railway,西武有楽町線,Seibu Yurakucho Line,2.6,3,138890,91416,47474
令和元,2019,西武鉄道,Seibu Railway,豊島線,Toshima Line,1,2,5220,2841,2379
令和元,2019,西武鉄道,Seibu Railway,山口線,Yamaguchi Line,0.3,1,275,60,215
令和元,2019,西武鉄道,Seibu Railway,新宿線,Shinjuku Line,26,21,2896577,1995479,901098
令和元,2019,西武鉄道,Seibu Railway,拝島線,Haijima Line,14.3,8,345117,229583,115534
令和元,2019,西武鉄道,Seibu Railway,西武園線,Seibuen Line,2.4,2,3154,1686,1468
令和元,2019,西武鉄道,Seibu Railway,国分寺線,Kokubunji Line,7.8,5,186345,130407,55938
令和元,2019,西武鉄道,Seibu Railway,多摩湖線,Tamako Line,9.2,7,79551,46232,33319
令和元,2019,西武鉄道,Seibu Railway,多摩川線,Tamagawa Line,8,6,61299,39933,21366
令和元,2019,東京急行電鉄,Tokyu Corporation,,,60,75,6054373,3930405,2123968
令和元,2019,東京急行電鉄,Tokyu Corporation,東横線,Toyoko Line,9,9,1852327,1125835,726492
令和元,2019,東京急行電鉄,Tokyu Corporation,目黒線,Meguro Line,7.3,9,584159,388099,196060
令和元,2019,東京急行電鉄,Tokyu Corporation,田園都市線,Den-En-Toshi Line,11.8,10,2202903,1519331,683572
令和元,2019,東京急行電鉄,Tokyu Corporation,大井町線,Oimachi Line,10.4,15,806268,504006,302262
令和元,2019,東京急行電鉄,Tokyu Corporation,池上線,Ikegami Line,10.9,15,371989,243827,128162
令和元,2019,東京急行電鉄,Tokyu Corporation,東急多摩川線,Tokyu Tamagawa Line,5.6,7,185782,122054,63728
令和元,2019,東京急行電鉄,Tokyu Corporation,世田谷線,Setagaya Line,5,10,50945,27253,23692
令和元,2019,京浜急行電鉄,Keikyu Corporation,,,18.3,20,2043520,1071347,972173
令和元,2019,京浜急行電鉄,Keikyu Corporation,本線,Main Line,11.8,14,1712560,981494,731066
令和元,2019,京浜急行電鉄,Keikyu Corporation,空港線,Airport Line,6.5,6,330960,89853,241107
令和元,2019,京王電鉄,Keio Corporation,,,77.6,66,7451609,4747335,2704274
令和元,2019,京王電鉄,Keio Corporation,京王線,Keio Line,64.9,50,6309189,4055975,2253214
令和元,2019,京王電鉄,Keio Corporation,井の頭線,Inokashira Line,12.7,17,1142420,691360,451060
令和元,2019,京成電鉄,Keisei Electric Railway,,,23.9,19,1307910,780557,527353
令和元,2019,京成電鉄,Keisei Electric Railway,本線,Main Line,15.7,12,848842,467309,381533
