年度,Fiscal year,総数 Total／計 Total,総数 Total／男 Male,総数 Total／女 Female,養護 Protective care／男 Male,養護 Protective care／女 Female,保健 Health／男 Male,保健 Health／女 Female,肢体不自由 Physical impairment／男 Male,肢体不自由 Physical impairment／女 Female,視聴言語 障害 Visual， auditory， and speech impairments／男 Male,視聴言語 障害 Visual， auditory， and speech impairments／女 Female,知的障害 Intellectual impairment／男 Male,知的障害 Intellectual impairment／女 Female,重症心身障害 Severe motor and intellectual impairments／男 Male,重症心身障害 Severe motor and intellectual impairments／女 Female,発達障害 Developmental impairment／男 Male 1),発達障害 Developmental impairment／女 Female 1),ぐ犯 Pre-delinquency／男 Male,ぐ犯 Pre-delinquency／女 Female,触法行為 Illegal behavior／男 Male,触法行為 Illegal behavior／女 Female,不登校 Truancy／男 Male,不登校 Truancy／女 Female,性格行動 Character/ behavioral problems／男 Male,性格行動 Character/ behavioral problems／女 Female,適性 Academic issues／男 Male,適性 Academic issues／女 Female,しつけ Disciplinary issues／男 Male,しつけ Disciplinary issues／女 Female,その他 Others／男 Male,その他 Others／女 Female
平成26,2014,31761,18608,13153,8340,7142,398,282,78,77,21,6,3659,1728,30,36,204,66,787,350,397,73,330,230,1845,1416,613,396,488,345,1418,1006
平成27,2015,34614,20156,14458,9981,8404,373,267,73,81,17,6,3595,1682,36,34,168,68,808,411,442,93,310,237,1719,1364,650,312,473,429,1511,1070
平成28,2016,35940,20798,15142,10613,9461,333,254,79,70,21,12,3624,1695,45,42,185,69,972,474,479,88,368,150,1684,1035,488,285,388,342,1519,1165
平成29,2017,37479,21549,15930,11136,10169,476,314,92,75,23,7,3657,1706,31,20,322,66,929,490,468,96,397,178,1608,1103,519,305,380,294,1511,1107
平成30,2018,41512,23550,17962,13244,11982,466,277,86,78,18,5,3575,1675,40,21,269,73,1031,550,356,90,365,239,1572,1065,530,467,427,266,1571,1174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-6  児童相談所の相談受付状況 (平成26～30年度）18-6  CASES ASSUMED BY CHILD GUIDANCE OFFICES ( Fiscal Years 2014-2018 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注 1) 平成26年度までは，自閉症の相談受付件数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Number of consultation cases for autism up to FY2014.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
