年末,End of year,地域階層,地域コード,項番 Item number,地域,District,医師数 Physicians／総数 Total,医師数 Physicians／医療施設の従事者 Medical institution personnel,医師数 Physicians／医療施設の従事者 Medical institution personnel／病院の開設者又は法人の代表者 Hospital founder or president,医師数 Physicians／医療施設の従事者 Medical institution personnel／病院(医育機関附属の病院を除く)の勤務者 Hospital employees (excluding university hospitals),医師数 Physicians／医療施設の従事者 Medical institution personnel／医育機関附属の病院の勤務者 University hospital employees,医師数 Physicians／医療施設の従事者 Medical institution personnel／診療所の開設者又は法人の代表者 Clinic founder or president,医師数 Physicians／医療施設の従事者 Medical institution personnel／診療所の勤務者 Clinic employee,医師数 Physicians／介護老人保健施設の従事者 Long-term care health facility personnel,医師数 Physicians／介護老人保健施設の従事者 Long-term care health facility personnel／介護老人保健施設の開設者又は法人の代表者 Long-term care health facility founder or president,医師数 Physicians／介護老人保健施設の従事者 Long-term care health facility personnel／介護老人保健施設の勤務者 Long-term care health facility employee,医師数 Physicians／介護医療院の従事者 Long-term care medical institution personnel 1),医師数 Physicians／医療施設・介護老人保健施設以外の従事者 Personnel other than those in medical institutions， long-term care health facilities and long-term care medical institutions.,医師数 Physicians／その他 Others,医師数 Physicians／不詳/Unknown,歯科医師 Dentist,看護師 Nurse,准看護師 Assistant nurses,薬剤師 Pharmacist,人口10万人あたりの医師数 The number of physicians per population of 100000
平成20,2008,0,13000,,総数,Tokyo-to,38079,35616,352,12024,10388,8653,4199,138,18,120,-,1893,432,-,15620,77897,16825,42535,296.6
平成22,2010,0,13000,,総数,Tokyo-to,39965,37552,355,13004,10741,8894,4558,141,14,127,-,1875,397,-,16054,86033,16822,44356,303.7
平成24,2012,0,13000,,総数,Tokyo-to,41498,39116,348,13612,11172,8848,5136,155,25,130,-,1833,394,-,16045,90336,15377,44718,313.7
平成26,2014,0,13000,,総数,Tokyo-to,43297,40769,348,13840,12167,9049,5365,170,21,149,-,1872,486,-,16395,97383,14702,46343,323.4
平成28,2016,0,13000,,総数,Tokyo-to,44136,41445,339,14297,12278,9101,5430,156,16,140,-,2137,395,3,16639,104744,13476,48813,324
平成30,2018,0,13000,,総数,Tokyo-to,45392,42497,355,14881,12508,9081,5672,161,20,141,-,2289,442,3,16597,109517,12565,50562,328.4
平成30,2018,1,13100,,区部,All ku,36418,33895,229,10998,11057,7031,4580,77,10,67,-,2070,374,2,13371,78189,7738,39911,381.1
平成30,2018,2,13101,1,千代田区,Chiyoda-ku,1759,1300,8,478,196,249,369,-,-,-,-,438,21,-,1654,3216,119,4650,2784.8
平成30,2018,2,13102,2,中央区,Chuo-ku,1414,1288,2,665,-,330,291,1,-,1,-,103,22,-,587,2502,108,4544,878.9
平成30,2018,2,13103,3,港区,Minato-ku,3068,2769,4,846,1030,444,445,1,-,1,-,259,39,-,824,5214,130,3774,1196.5
平成30,2018,2,13104,4,新宿区,Shinjuku-ku,4842,4465,9,797,2722,380,557,-,-,-,-,351,26,-,745,7051,257,2982,1395.6
平成30,2018,2,13105,5,文京区,Bunkyo-ku,4765,4412,2,289,3833,182,106,-,-,-,-,325,28,-,983,6075,82,1985,2070.1
