年次,Year,区分階層,項番 Item number,種類,Kind,受理 Received／総数 Total,受理 Received／旧受 Previously received,受理 Received／新受 Newly received,既済 Disposed／総数 Total,既済 Disposed／調停成立 Successful conciliation,既済 Disposed／調停不成立 Unsuccessful conciliation,既済 Disposed／取下 Withdrawal,既済 Disposed／合意に相当する審判 a),既済 Disposed／調停に代わる審判 b),既済 Disposed／調停をしないもの Non-conciliation,既済 Disposed／その他 Others,未済 Pending,異議 Objection／合意に相当する審判 a),異議 Objection／調停に代わる審判 b)
平成30,2018,0,,総数,Total,24063,8395,15668,15391,7762,3104,2829,249,812,149,486,8672,2,124
平成31･令和元,2019,0,,総数,Total,24617,8672,15945,14937,7515,2942,2572,213,977,176,542,9680,2,143
平成31･令和元,2019,1,,別表第二調停事件総数,Total number of domestic relations conciliation cases stipulated in Appended Table 2 of the Domestic Relations Case Procedure Act,14953,5530,9423,8747,4940,942,1552,1,803,106,403,6206,1,139
平成31･令和元,2019,2,1,夫婦の同居・協力扶助,Cohabitation， cooperation， and mutual assistance between husband and wife,25,7,18,21,1,9,10,-,-,-,1,4,-,-
平成31･令和元,2019,2,2,婚姻費用の分担,Sharing of living expenses arising from marriage,4461,1369,3092,2799,1760,297,469,1,162,8,102,1662,1,46
平成31･令和元,2019,2,3,子の監護者の指定その他の処分,Designation of a child custodian and other dispositions,5782,2101,3681,3468,1957,408,604,-,231,45,223,2314,-,57
平成31･令和元,2019,2,,うち監護者の指定,(of which) Designation of a child custodian,531,210,321,315,129,72,76,-,7,3,28,216,-,-
平成31･令和元,2019,2,,うち養育費請求,(of which) Claim for child support payments,2082,586,1496,1397,845,127,204,-,151,11,59,685,-,23
平成31･令和元,2019,2,,うち面会交流,(of which) Visitation and contacts,2870,1179,1691,1565,919,163,280,-,68,28,107,1305,-,34
平成31･令和元,2019,2,,うち子の引渡し,(of which) Surrender of child custody ,288,120,168,183,62,46,40,-,3,3,29,105,-,-
平成31･令和元,2019,2,4,財産の分与に関する処分,Disposition regarding the distribution of property,370,145,225,206,117,30,45,-,5,-,9,164,-,3
平成31･令和元,2019,2,5,祭祀の承継者の指定,Appointment of a successor of rights relating to rituals,46,13,33,28,9,7,3,-,8,-,1,18,-,-
平成31･令和元,2019,2,6,離縁後の親権者の指定,Designation of person who is to have parental authority upon dissolution of adoptive relationship,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成31･令和元,2019,2,7,親権者の指定又は変更,Designation or change of person having parental authority,577,155,422,414,222,28,98,-,45,10,11,163,-,5
平成31･令和元,2019,2,8,扶養に関する処分,Disposition on support,105,37,68,71,26,10,25,-,3,5,2,34,-,1
平成31･令和元,2019,2,9,遺産の分割に関する処分など,Disposition on division of estate， etc. ,3364,1625,1739,1588,759,129,285,-,333,34,48,1776,-,23
平成31･令和元,2019,2,10,寄与分を定める処分,Disposition to determine an heir's contributory portion,94,50,44,49,20,18,5,-,4,2,-,45,-,-
平成31･令和元,2019,2,11,請求すべき按分割合に関する処分,Disposition regarding the pro rata share to be requested,129,28,101,103,69,6,8,-,12,2,6,26,-,4
