年次,Year,産業 (大分類) Industry ( Division ),産業 (大分類),Industry ( Division ),総数 Total／事務所数 Number of establishments,総数 Total／従業員数 Number of employees 1),総数 Total／従業員数 Number of employees 1)／男 Male,総数 Total／従業員数 Number of employees 1)／女 Female ,総数 Total／売上 (収入) ／Sales (income) 2),総数 Total／付加価値額／ Added value 2)
平成24,2012,,全産業,All industries,627357,8655267,5220831,3396365,…,55638374
平成28,2016,,全産業,All industries,621671,9005511,5277921,3669914,…,61751068
平成28,2016,A・B,農林漁業,Agriculture， forestry and fisheries,467,3684,2755,908,51681,12772
平成28,2016,C,鉱業，採石業，砂利採取業,Mining and quarrying of stone and gravel,78,1846,1466,378,6234,471193
平成28,2016,D,建設業,Construction,40014,456848,377770,77255,…,3643536
平成28,2016,E,製造業,Manufacturing,43569,589948,417129,166887,15302924,4229575
平成28,2016,F,電気・ガス・熱供給・水道業,Electricity， gas， heat supply and water,397,21826,18784,2877,…,380931
平成28,2016,G,情報通信業,Information and communications,21935,849374,625571,217569,…,9743083
平成28,2016,H,運輸業，郵便業,Transport and postal activities,15099,442601,355340,85945,…,2746681
平成28,2016,I,卸売業，小売業,Wholesale and retail trade,150728,1983374,1141144,835547,203144439,14948860
平成28,2016,J,金融業，保険業,Finance and insurance,10601,410915,212427,196961,…,6978132
平成28,2016,K,不動産業，物品賃貸業,Real estate and goods rental and leasing,55758,350194,216227,132501,17958222,3431198
平成28,2016,L,学術研究，専門・技術サービス業,Scientific research， professional and technical services,41129,488426,324064,159701,18765709,8121940
平成28,2016,M,宿泊業，飲食サービス業,Accommodations， eating and drinking services,89160,865996,419404,437868,4484564,1889094
平成28,2016,N,生活関連サービス業，娯楽業,Living-related and personal services and amusement services,46450,332189,151233,175164,10769432,1411438
平成28,2016,O,教育，学習支援業,Education， learning support,18381,348350,177659,169449,…,1507178
平成28,2016,P,医療，福祉,Medical， health care and welfare,48461,802679,242756,553895,20597871,-2107837
平成28,2016,Q,複合サービス事業,Compound services,1720,33114,20506,12608,…,169496
平成28,2016,R,サービス業 (他に分類されないもの),Services， n.e.c.,37724,1024147,573686,444401,…,4173798
,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　8 事業所 8  ESTABLISHMENTS,,,,,,,,,,
8-3  産業 (大分類) 民営事業所数，男女別従業者数，売上 (収入) 金額及び付加価値額 (平成24，28年) 8-3  PRIVATELY-OWNED ESTABLISHMENTS， EMPLOYEES BY GENDER， SALES ( INCOME ) AND ADDED VALUE BY INDUSTRY ( DIVISION ) ( 2012 and 2016 ) ,,,,,,,,,,
売上（収入）金額及び付加価値額は，平成23年、平成27年各１年間の数値である。 ,,,,,,,,,,
売上（収入）金額及び付加価値額は，必要な事項の数値が得られた事業所を対象として集計した。,,,,,,,,,,
Sales (income) and added value figures are the annual totals for 2011 and 2015， respectively.,,,,,,,,,,
Sales (income) and added value figures are only from establishments that provided the necessary figures. ,,,,,,,,,,
注 1) 男女別の不詳を含む。,,,,,,,,,,
2) 外国の会社及び法人でない団体を除く。,,,,,,,,,,
Note: 1) Including gender unknown.,,,,,,,,,,
"2)  Excluding ""foreign enterprises"" and ""organizations other than corporations.""",,,,,,,,,,
資料：総務省統計局・経済産業省，都総務局統計部産業統計課「平成24年経済センサス-活動調査報告」「平成28年経済センサス-活動調査報告」 Source: Statistics Bureau， Ministry of Internal Affairs and Communications; Ministry of Economy， Trade and Industry; Bureau of General Affairs， TMG ,,,,,,,,,,
（単位　金額　百万円）(Value in millions of yen),,,,,,,,,,
