年度末,End of fiscal year,地域階層,地区コード,地域,District,総人口 (A) Total population 1),排水区域 Areas served by sewerage system／人口 (B) Population,排水区域 Areas served by sewerage system／計画面積 Planned area (ha),排水区域 Areas served by sewerage system／面積 Area　(ha),処理区域 Areas served by sewerage system and sewage treatment system／人口 Population,処理区域 Areas served by sewerage system and sewage treatment system／計画面積 Planned area (ha),処理区域Areas served by sewerage system and sewage treatment system／面積 Area (ha),終末処理場数 Number of sewage treatment plants 2) ,終末処理場数 Number of sewage treatment plants,普及率 (B/A) Sewerage system coverage (%)
平成29,2017,0,13000,総数,Tokyo-to,13644816,13606115,109767,105927,13605999,109767,105820,7,27,100
平成30,2018,0,13000,総数,Tokyo-to,13745967,13708281,109767,105971,13708230,109767,105893,7,27,100
令和元,2019,0,13000,総数,Tokyo-to,13843843,13806957,109770,106023,13806905,109770,105941,7,27,100
令和元,2019,1,13100,区部,All ku,9599585,9590025,56375,56228,9590025,56375,56228,-,13,100
令和元,2019,2,13101,千代田区,Chiyoda-ku,66467,66467,1102,1102,66467,1102,1102,-,-,100
令和元,2019,2,13102,中央区,Chuo-ku,169629,169629,903,903,169629,903,903,-,-,100
令和元,2019,2,13103,港区,Minato-ku,261923,261732,1986,1970,261732,1986,1970,-,1,100
令和元,2019,2,13104,新宿区,Shinjuku-ku,347570,347570,1798,1798,347570,1798,1798,-,1,100
令和元,2019,2,13105,文京区,Bunkyo-ku,226933,226933,1138,1138,226933,1138,1138,-,-,100
令和元,2019,2,13106,台東区,Taito-ku,202886,202886,856,856,202886,856,856,-,-,100
令和元,2019,2,13107,墨田区,Sumida-ku,275529,275529,1195,1195,275529,1195,1195,-,-,100
令和元,2019,2,13108,江東区,Koto-ku,525062,523418,3432,3396,523418,3432,3396,-,2,100
令和元,2019,2,13109,品川区,Shinagawa-ku,404823,404439,2051,2045,404439,2051,2045,-,-,100
令和元,2019,2,13110,目黒区,Meguro-ku,282628,282628,1440,1440,282628,1440,1440,-,-,100
令和元,2019,2,13111,大田区,Ota-ku,738128,737796,4804,4798,737796,4804,4798,-,1,100
令和元,2019,2,13112,世田谷区,Setagaya-ku,921556,921046,5726,5709,921046,5726,5709,-,-,100
令和元,2019,2,13113,渋谷区,Shibuya-ku,231043,231043,1511,1511,231043,1511,1511,-,-,100
令和元,2019,2,13114,中野区,Nakano-ku,336424,336424,1566,1566,336424,1566,1566,-,1,100
令和元,2019,2,13115,杉並区,Suginami-ku,576093,575756,3338,3332,575756,3338,3332,-,-,100
令和元,2019,2,13116,豊島区,Toshima-ku,289776,289776,1299,1299,289776,1299,1299,-,-,100
令和元,2019,2,13117,北区,Kita-ku,354222,354222,1836,1836,354222,1836,1836,-,1,100
令和元,2019,2,13118,荒川区,Arakawa-ku,217167,217167,887,887,217167,887,887,-,1,100
令和元,2019,2,13119,板橋区,Itabashi-ku,572490,572417,2997,2994,572417,2997,2994,-,1,100
令和元,2019,2,13120,練馬区,Nerima-ku,741588,741345,4684,4677,741345,4684,4677,-,-,100
令和元,2019,2,13121,足立区,Adachi-ku,692793,689329,4787,4778,689329,4787,4778,-,2,100
令和元,2019,2,13122,葛飾区,Katsushika-ku,465079,463844,2996,2961,463844,2996,2961,-,1,100
令和元,2019,2,13123,江戸川区,Edogawa-ku,699776,698629,4043,4037,698629,4043,4037,-,1,100
令和元,2019,1,13200,市部,All shi,4185120,4159946,51375,48081,4159946,51375,48009,7,12,99
令和元,2019,2,13201,八王子市,Hachioji-shi,561622,557978,8739,8434,557978,8739,8434,1,2,99
令和元,2019,2,13202,立川市,Tachikawa-shi,184195,184195,2278,2173,184195,2278,2173,-,1,100
令和元,2019,2,13203,武蔵野市,Musashino-shi,147519,147519,1073,1073,147519,1073,1073,-,-,100
令和元,2019,2,13204,三鷹市,Mitaka-shi,189478,189478,1650,1650,189478,1650,1650,-,1,100
令和元,2019,2,13205,青梅市,Ome-shi,132593,129885,2379,2172.2,129885,2379,2172,,-,98
令和元,2019,2,13206,府中市,Fuchu-shi,260382,260382,2725,2725,260382,2725,2725,1,1,100
令和元,2019,2,13207,昭島市,Akishima-shi,113610,113530,1504,1440,113530,1504,1440,1,1,100
令和元,2019,2,13208,調布市,Chofu-shi,237506,237506,2037,1955,237506,2037,1955,-,-,100
令和元,2019,2,13209,町田市,Machida-shi,428851,423750,5439,5012,423750,5439,5012,-,2,99
令和元,2019,2,13210,小金井市,Koganei-shi,122542,122542,1133,1133,122542,1133,1133,-,-,100
令和元,2019,2,13211,小平市,Kodaira-shi,194941,194941,2046,2046,194941,2046,2046,-,-,100
令和元,2019,2,13212,日野市,Hino-shi,186731,179150,2397,2251,179150,2397,2251,1,1,96
令和元,2019,2,13213,東村山市,Higashimurayama-shi,151233,151233,1696,1696,151233,1696,1696,-,-,100
令和元,2019,2,13214,国分寺市,Kokubunji-shi,125881,125878,1148,1142,125878,1148,1142,-,-,100
令和元,2019,2,13215,国立市,Kunitachi-shi,76282,76282,792,792,76282,792,792,1,1,100
令和元,2019,2,13218,福生市,Fussa-shi,57378,57378,1000,653,57378,1000,653,-,-,100
令和元,2019,2,13219,狛江市,Komae-shi,83503,83503,582,582,83503,582,582,-,-,100
令和元,2019,2,13220,東大和市,Higashiyamato-shi,85266,85257,1009,989,85257,1009,989,-,-,100
令和元,2019,2,13221,清瀬市,Kiyose-shi,74663,74658,1019,877,74658,1019,877,1,1,100
令和元,2019,2,13222,東久留米市,Higashikurume-shi,116807,116807,1292,1292,116807,1292,1292,-,-,100
令和元,2019,2,13223,武蔵村山市,Musashimurayama-shi,72277,72269,1522,1164,72269,1522,1164,-,-,100
令和元,2019,2,13224,多摩市,Tama-shi,148835,148822,2019,2014,148822,2019,2014,-,-,100
令和元,2019,2,13225,稲城市,Inagi-shi,91706,91018,1747,1101,91018,1747,1093,1,1,99
