年度,Fiscal year,地域階層,地区コード,地域,District,ポンプ所揚水量 Water pumped at pumping station／総数 Total 1) (1000m3),ポンプ所揚水量 Water pumped at pumping station／中継送水量 Water relayed (1000m3),ポンプ所揚水量 Water pumped at pumping station／放水量 Water discharged (1000m3),下水処理量 Treated sewage (1000m3),汚泥量 Sludge (1000m3),脱水汚泥量 Dehydrated sludge (t),汚泥焼却量 Incinerated sludge (t),処理区域面積 Sewage treatment area (ha)
平成29,2017,0,13000,総数,Tokyo-to,790987,724908,63314,1989075,74640,1231568,1192227,97681
平成30,2018,0,13000,総数,Tokyo-to,726354,681091,42057,1883408,78308,1248248,1214172,97686
令和元,2019,0,13000,総数,Tokyo-to,833856,732737,96386,2085635,73210,1231173,1192894,97763
令和元,2019,1,13100,区部,All ku,831924,730805,96386,1710513,61224,966559,928280,56228
令和元,2019,2,,流域下水道,Regional sewerage system,1932,1932,-,375122,11986,264614,264614,41535
,,,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,,,,,
6-8  下水の処理状況（平成29～令和元年度） 6-8  SEWAGE TREATMENT ( Fiscal Years 2017-2019 ),,,,,,,,,,,,,
この表は都下水道局の事業実績である。,,,,,,,,,,,,,
Data here are business figures of the Bureau of Sewerage， TMG.,,,,,,,,,,,,,
注 1) 総数には、雨水貯留量も含む。               ,,,,,,,,,,,,,
2) 流域下水道「野川処理区」の下水は，森ヶ崎水再生センター（区部）へ導入している。,,,,,,,,,,,,,
Note: 1) Includes volume of stored rainwater.　,,,,,,,,,,,,,
"2) Sewage of the regional sewerage system ""Nogawa treatment district"" is sent to Morigasaki Water Reclamation Center (all ku).",,,,,,,,,,,,,
資料：都下水道局総務部広報サービス課 Source: Bureau of Sewerage， TMG      ,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部　2:流域下水道）,,,,,,,,,,,,,
