地域階層,地域コード,地域,District,総数 Total,一般行政職 General administrative services,税務職 Tax services,医師・歯科医師職 Physicians and dentists,薬剤師医療技術職(栄養士含む） Pharmacists and medical technicians,看護保健職 Nursing and public health services,福祉職 Social welfare services,企業職 Public enterprise employees,技能労務職 Vocational labor,教育職 Educational services,その他教育職 Other Educational services,臨時職員 Temporary employees
0,13100,区部,All ku,62259,36313,2002,78,641,1880,13746,-,6495,1049,55,-
1,13101,千代田区,Chiyoda-ku,1116,739,33,2,11,24,125,-,90,92,-,-
1,13102,中央区,Chuo-ku,1557,867,51,3,24,40,272,-,193,106,1,-
1,13103,港区,Minato-ku,2172,1336,68,2,13,52,401,-,210,85,5,-
1,13104,新宿区,Shinjuku-ku,2755,1532,95,5,17,94,668,-,276,65,3,-
1,13105,文京区,Bunkyo-ku,1856,997,64,3,35,56,444,-,187,70,-,-
1,13106,台東区,Taito-ku,1837,1328,44,4,12,59,225,-,105,60,-,-
1,13107,墨田区,Sumida-ku,1878,1200,73,2,17,53,356,-,150,26,1,-
1,13108,江東区,Koto-ku,2705,1435,98,4,19,83,665,-,293,107,1,-
1,13109,品川区,Shinagawa-ku,2639,1401,84,2,22,75,742,-,240,69,4,-
1,13110,目黒区,Meguro-ku,2025,1071,76,3,46,59,551,-,195,23,1,-
1,13111,大田区,Ota-ku,4213,2422,139,5,49,118,982,-,488,8,2,-
1,13112,世田谷区,Setagaya-ku,5346,3187,149,3,53,143,1149,-,603,57,2,-
1,13113,渋谷区,Shibuya-ku,1977,1119,58,3,11,58,382,-,316,24,6,-
1,13114,中野区,Nakano-ku,2077,1249,69,3,22,68,448,-,203,10,5,-
1,13115,杉並区,Suginami-ku,3468,1749,115,5,33,116,979,-,369,96,6,-
1,13116,豊島区,Toshima-ku,1992,1199,79,4,18,66,447,-,165,13,1,-
1,13117,北区,Kita-ku,2688,1465,88,3,13,85,816,-,190,28,-,-
1,13118,荒川区,Arakawa-ku,1702,1110,59,3,21,62,288,-,121,37,1,-
1,13119,板橋区,Itabashi-ku,3600,2116,131,4,42,124,796,-,372,15,-,-
1,13120,練馬区,Nerima-ku,4522,2497,110,3,58,141,1124,-,560,29,-,-
1,13121,足立区,Adachi-ku,3440,2430,118,4,33,114,554,-,170,11,6,-
1,13122,葛飾区,Katsushika-ku,2972,1561,76,5,20,87,784,-,420,9,10,-
1,13123,江戸川区,Edogawa-ku,3722,2303,125,3,52,103,548,-,579,9,-,-
,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,,,
22-5  職員数 (2) 区 (平成31年4月1日)  22-5  GOVERNMENT EMPLOYEES (2) KU ( Apr. 1， 2019 ),,,,,,,,,,,,,,,
注) 教育職には，教育長，小・中学校教員は含まない。 ,,,,,,,,,,,,,,,
Note: Educational services figures do not include the Director General (Office of Education) or teachers of elementary and junior high schools.,,,,,,,,,,,,,,,
資料：都総務局行政部区政課・市町村課 「東京都区市町村年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,
地域階層（0:区部　1:区市町村）,,,,,,,,,,,,,,,
