年度,Fiscal year,区分,Classification,款,Item,当初予算額 Original budget,最終予算額 Final budget 1) ,決算額 Settlement
平成27,2015,歳入,Revenue,総数,Total,6952000,7201711,6913752
平成28,2016,歳入,Revenue,総数,Total,7011000,7048794,6779695
平成29,2017,歳入,Revenue,総数,Total,6954000,7226993,6964118
平成30,2018,歳入,Revenue,総数,Total,7046000,7572458,7515641
令和元,2019,歳入,Revenue,総数,Total,7461000,7804519,7671733
令和元,2019,歳入,Revenue,都税,Metropolitan taxes,5503165,5618326,5631801
令和元,2019,歳入,Revenue,地方譲与税,Local transfer tax,290826,271751,271502
令和元,2019,歳入,Revenue,助成交付金,Subsidies and grants,30,30,34
令和元,2019,歳入,Revenue,地方特例交付金,Special local grants,20314,20314,17777
令和元,2019,歳入,Revenue,特別交付金,Special grants,3007,3007,2622
令和元,2019,歳入,Revenue,分担金及負担金,Beneficiary contribution,15246,14386,10212
令和元,2019,歳入,Revenue,使用料及手数料,Charges and fees,87767,87767,82161
令和元,2019,歳入,Revenue,国庫支出金,National treasury disbursements,362071,350990,327495
令和元,2019,歳入,Revenue,財産収入,Revenue from property,35682,35682,28974
令和元,2019,歳入,Revenue,寄附金,Contributions,61,61,52
令和元,2019,歳入,Revenue,繰入金,Funds transferred,596883,607546,450864
令和元,2019,歳入,Revenue,諸収入,Miscellaneous,336351,343821,455488
令和元,2019,歳入,Revenue,都債,Metropolitan bonds,209595,170017,111930
令和元,2019,歳入,Revenue,繰越金,Balance brought forward,1,280820,280820
平成27,2015,歳出,Expenditure,総数,Total,6952000,7201711,6787125
平成28,2016,歳出,Expenditure,総数,Total,7011000,7048794,6598877
平成29,2017,歳出,Expenditure,総数,Total,6954000,7226993,6693202
平成30,2018,歳出,Expenditure,総数,Total,7046000,7572458,7234822
令和元,2019,歳出,Expenditure,総数,Total,7461000,7804519,7444627
令和元,2019,歳出,Expenditure,議会費,Metropolitan assembly,6044,5502,5024
令和元,2019,歳出,Expenditure,総務費,General services,214339,270394,255539
令和元,2019,歳出,Expenditure,徴税費,Tax collection,70759,67280,66248
令和元,2019,歳出,Expenditure,生活文化費,Citizens and cultural affairs,28810,28574,26428
令和元,2019,歳出,Expenditure,スポーツ振興費,Sports promotion,348238,302434,269977
令和元,2019,歳出,Expenditure,都市整備費,Urban development,138844,156240,137460
令和元,2019,歳出,Expenditure,環境費,Environmental protection,41695,76655,73285
令和元,2019,歳出,Expenditure,福祉保健費,Welfare and public health,1221374,1238413,1197398
令和元,2019,歳出,Expenditure,産業労働費,Industry and labor ,478173,512197,483004
令和元,2019,歳出,Expenditure,土木費,Civil engineering works,575330,523831,425855
令和元,2019,歳出,Expenditure,港湾費,Port and harbor,129855,130166,103864
令和元,2019,歳出,Expenditure,教育費,Education,843366,831374,800716
令和元,2019,歳出,Expenditure,学務費,School affairs,211889,208402,202857
令和元,2019,歳出,Expenditure,警察費,Police,672223,660836,646341
令和元,2019,歳出,Expenditure,消防費,Fire fighting,268492,263376,258338
令和元,2019,歳出,Expenditure,公債費,Debt services,366832,365956,363138
令和元,2019,歳出,Expenditure,諸支出金,Miscellaneous,1839737,2162295,2129155
令和元,2019,歳出,Expenditure,予備費,Reserve funds,5000,594,-
,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　21  財政 21  PUBLIC FINANCE,,,,,,,,
21-2  一般会計款別予算，決算額 (平成27～令和元年度) 21-2  BUDGET AND SETTLEMENT BY GENERAL ACCOUNT ITEM ( Fiscal Years 2015-2019 ),,,,,,,,
注 1) 最終予算額は，前年度からの繰越額を含む。 ,,,,,,,,
2) 歳出における予備費の決算額は各款への充当額の合計であり，再掲である。 ,,,,,,,,
Note:1) The final budget includes the balance brought forward from the previous fiscal year.,,,,,,,,
2) The settlement for reserve funds under Expenditure is the sum of amounts allocated to each of the aforementioned items.　,,,,,,,,
資料：都財務局主計部財政課 Source: Bureau of Finance， TMG,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,
